Year,SeriesCode,Страна ,Type of renewable technology,Value
2018,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2018,EG_EGY_RNEW,Armenia,ALL,478.272
2019,EG_EGY_RNEW,Armenia,ALL,492.563
2019,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2019,EG_EGY_RNEW,Armenia,HYDROPOWER,473.8
2019,EG_EGY_RNEW,Armenia,SOLAR,17.727
2019,EG_EGY_RNEW,Armenia,WIND,1.037
2020,EG_EGY_RNEW,Armenia,WIND,1.043
2020,EG_EGY_RNEW,Armenia,SOLAR,33.861
2020,EG_EGY_RNEW,Armenia,HYDROPOWER,476.332
2020,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2020,EG_EGY_RNEW,Armenia,ALL,511.235
2021,EG_EGY_RNEW,Armenia,ALL,545.356
2021,EG_EGY_RNEW,Armenia,BIOENERGY,0.0
2021,EG_EGY_RNEW,Armenia,HYDROPOWER,478.829
2021,EG_EGY_RNEW,Armenia,SOLAR,65.479
2021,EG_EGY_RNEW,Armenia,WIND,1.048
2000,EG_EGY_RNEW,Chile,SOLAR,0.0
2000,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2000,EG_EGY_RNEW,Chile,ALL,289.999
2000,EG_EGY_RNEW,Chile,HYDROPOWER,288.566
2000,EG_EGY_RNEW,Chile,WIND,0.0
2000,EG_EGY_RNEW,Chile,BIOENERGY,1.433
2001,EG_EGY_RNEW,Chile,WIND,0.129
2001,EG_EGY_RNEW,Chile,HYDROPOWER,285.172
2001,EG_EGY_RNEW,Chile,ALL,286.718
2001,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2001,EG_EGY_RNEW,Chile,SOLAR,0.0
2001,EG_EGY_RNEW,Chile,BIOENERGY,1.417
2002,EG_EGY_RNEW,Chile,SOLAR,0.0
2002,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2002,EG_EGY_RNEW,Chile,ALL,285.4
2002,EG_EGY_RNEW,Chile,HYDROPOWER,283.87
2002,EG_EGY_RNEW,Chile,WIND,0.127
2002,EG_EGY_RNEW,Chile,BIOENERGY,1.402
2003,EG_EGY_RNEW,Chile,WIND,0.126
2003,EG_EGY_RNEW,Chile,HYDROPOWER,281.605
2003,EG_EGY_RNEW,Chile,ALL,283.118
2003,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2003,EG_EGY_RNEW,Chile,SOLAR,0.0
2003,EG_EGY_RNEW,Chile,BIOENERGY,1.387
2004,EG_EGY_RNEW,Chile,SOLAR,0.0
2004,EG_EGY_RNEW,Chile,GEOTHERMAL,0.0
2004,EG_EGY_RNEW,Chile,ALL,327.507
