Year,SeriesCode,GeoAreaName,Age,Sex,Value
2011,SE_ADT_EDUCTRN,Austria,55-64,FEMALE,7.4
2011,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,16.7
2011,SE_ADT_EDUCTRN,Austria,25-54,MALE,14.2
2011,SE_ADT_EDUCTRN,Austria,15-24,FEMALE,67.7
2016,SE_ADT_EDUCTRN,Croatia,15-24,MALE,55.9
2017,SE_ADT_EDUCTRN,Croatia,25-54,BOTHSEX,3.1
2017,SE_ADT_EDUCTRN,Croatia,15-24,MALE,57.7
2017,SE_ADT_EDUCTRN,Croatia,15-64,BOTHSEX,12.6
2017,SE_ADT_EDUCTRN,Croatia,25-54,FEMALE,3.6
2017,SE_ADT_EDUCTRN,Croatia,15-64,FEMALE,13.4
2017,SE_ADT_EDUCTRN,Croatia,15-64,MALE,11.8
2011,SE_ADT_EDUCTRN,Austria,55-64,MALE,5.4
2011,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,65.6
2011,SE_ADT_EDUCTRN,Austria,15-64,FEMALE,23.9
2011,SE_ADT_EDUCTRN,Austria,15-24,MALE,63.5
2011,SE_ADT_EDUCTRN,Austria,25-54,BOTHSEX,15.4
2012,SE_ADT_EDUCTRN,Austria,55-64,FEMALE,7.5
2012,SE_ADT_EDUCTRN,Austria,15-64,MALE,22.2
2017,SE_ADT_EDUCTRN,Croatia,55-64,FEMALE,0.1
2017,SE_ADT_EDUCTRN,Croatia,55-64,BOTHSEX,0.1
2017,SE_ADT_EDUCTRN,Croatia,15-24,BOTHSEX,62.4
2017,SE_ADT_EDUCTRN,Croatia,25-54,MALE,2.7
2017,SE_ADT_EDUCTRN,Croatia,15-24,FEMALE,67.4
2018,SE_ADT_EDUCTRN,Croatia,55-64,MALE,0.4
2018,SE_ADT_EDUCTRN,Croatia,15-24,BOTHSEX,65.3
2010,SE_ADT_EDUCTRN,Albania,25-54,BOTHSEX,1.6
2010,SE_ADT_EDUCTRN,Albania,25-54,FEMALE,1.6
2010,SE_ADT_EDUCTRN,Albania,15-24,MALE,47.8
2010,SE_ADT_EDUCTRN,Albania,15-64,FEMALE,14.3
2010,SE_ADT_EDUCTRN,Albania,25-54,MALE,1.6
2010,SE_ADT_EDUCTRN,Albania,55-64,MALE,1.2
2010,SE_ADT_EDUCTRN,Albania,15-24,BOTHSEX,48.6
2010,SE_ADT_EDUCTRN,Albania,15-64,MALE,15.1
2010,SE_ADT_EDUCTRN,Albania,15-64,BOTHSEX,14.7
2010,SE_ADT_EDUCTRN,Albania,55-64,FEMALE,0.2
2010,SE_ADT_EDUCTRN,Albania,15-24,FEMALE,49.5
2010,SE_ADT_EDUCTRN,Albania,55-64,BOTHSEX,0.7
2011,SE_ADT_EDUCTRN,Albania,15-24,BOTHSEX,44.3
2011,SE_ADT_EDUCTRN,Albania,15-24,MALE,43.1
2012,SE_ADT_EDUCTRN,Austria,15-64,BOTHSEX,23.4
2012,SE_ADT_EDUCTRN,Austria,15-64,FEMALE,24.5
2012,SE_ADT_EDUCTRN,Austria,25-54,BOTHSEX,16.3
2012,SE_ADT_EDUCTRN,Austria,15-24,MALE,64.5
2012,SE_ADT_EDUCTRN,Austria,25-54,FEMALE,17.4
2012,SE_ADT_EDUCTRN,Austria,15-24,BOTHSEX,66.5
2012,SE_ADT_EDUCTRN,Austria,55-64,MALE,5.9
2018,SE_ADT_EDUCTRN,Croatia,25-54,FEMALE,4.5
2018,SE_ADT_EDUCTRN,Croatia,15-64,BOTHSEX,13.5
2018,SE_ADT_EDUCTRN,Croatia,15-64,FEMALE,14.5
2018,SE_ADT_EDUCTRN,Croatia,15-24,FEMALE,70.5
2018,SE_ADT_EDUCTRN,Croatia,25-54,MALE,3.1
2018,SE_ADT_EDUCTRN,Croatia,15-24,MALE,60.4
2018,SE_ADT_EDUCTRN,Croatia,25-54,BOTHSEX,3.8
2012,SE_ADT_EDUCTRN,Austria,15-24,FEMALE,68.4
2012,SE_ADT_EDUCTRN,Austria,55-64,BOTHSEX,6.8
2012,SE_ADT_EDUCTRN,Austria,25-54,MALE,15.1
2013,SE_ADT_EDUCTRN,Austria,25-54,MALE,14.8
2013,SE_ADT_EDUCTRN,Austria,15-24,FEMALE,68.3
2013,SE_ADT_EDUCTRN,Austria,55-64,BOTHSEX,6.7
2013,SE_ADT_EDUCTRN,Austria,55-64,MALE,5.4
2011,SE_ADT_EDUCTRN,Albania,25-54,FEMALE,1.4
2011,SE_ADT_EDUCTRN,Albania,25-54,BOTHSEX,1.4
2011,SE_ADT_EDUCTRN,Albania,25-54,MALE,1.5
2011,SE_ADT_EDUCTRN,Albania,15-24,FEMALE,45.6
2011,SE_ADT_EDUCTRN,Albania,15-64,BOTHSEX,12.9
2011,SE_ADT_EDUCTRN,Albania,15-64,MALE,13.0
2011,SE_ADT_EDUCTRN,Albania,15-64,FEMALE,12.8
2012,SE_ADT_EDUCTRN,Albania,25-54,BOTHSEX,1.3
2018,SE_ADT_EDUCTRN,Croatia,55-64,BOTHSEX,0.4
2018,SE_ADT_EDUCTRN,Croatia,55-64,FEMALE,0.4
2018,SE_ADT_EDUCTRN,Croatia,15-64,MALE,12.5
2019,SE_ADT_EDUCTRN,Croatia,15-64,FEMALE,14.5
2019,SE_ADT_EDUCTRN,Croatia,15-64,MALE,12.7
2019,SE_ADT_EDUCTRN,Croatia,55-64,FEMALE,0.4
2019,SE_ADT_EDUCTRN,Croatia,15-24,BOTHSEX,63.4
2012,SE_ADT_EDUCTRN,Albania,15-24,FEMALE,55.2
2012,SE_ADT_EDUCTRN,Albania,25-54,MALE,1.7
2012,SE_ADT_EDUCTRN,Albania,15-24,BOTHSEX,52.8
