Year,SeriesCode,Country,Mode of transportation,Value
2019,IS_RDP_PFVOL,Serbia,AIR,2821016000
2020,IS_RDP_PFVOL,Serbia,AIR,1029913000
2021,IS_RDP_PFVOL,Serbia,AIR,1481130000
2017,IS_RDP_PFVOL,Slovakia,AIR,15556797
2020,IS_RDP_PFVOL,Slovakia,AIR,1388980
2021,IS_RDP_PFVOL,Slovakia,AIR,7114920
2017,IS_RDP_PFVOL,Viet Nam,AIR,56278077250
2018,IS_RDP_PFVOL,Viet Nam,AIR,63591671940
2019,IS_RDP_PFVOL,Viet Nam,AIR,73958099520
2020,IS_RDP_PFVOL,Viet Nam,AIR,33631930980
2021,IS_RDP_PFVOL,Viet Nam,AIR,13062866186
2017,IS_RDP_PFVOL,Slovenia,AIR,818899680
2018,IS_RDP_PFVOL,Slovenia,AIR,823290190
2019,IS_RDP_PFVOL,Slovenia,AIR,579689112
2020,IS_RDP_PFVOL,Slovenia,AIR,42061520
2021,IS_RDP_PFVOL,Slovenia,AIR,9913990
2017,IS_RDP_PFVOL,Spain,AIR,119073942620
2018,IS_RDP_PFVOL,Spain,AIR,131166432060
2019,IS_RDP_PFVOL,Spain,AIR,145472293129
2020,IS_RDP_PFVOL,Spain,AIR,39851393233
2021,IS_RDP_PFVOL,Spain,AIR,64459096614
2017,IS_RDP_PFVOL,Sweden,AIR,12419652877
2018,IS_RDP_PFVOL,Sweden,AIR,931250000
2019,IS_RDP_PFVOL,Sweden,AIR,1795261357
2020,IS_RDP_PFVOL,Sweden,AIR,198769383
2021,IS_RDP_PFVOL,Sweden,AIR,3363165184
2017,IS_RDP_PFVOL,Switzerland,AIR,54436352610
2018,IS_RDP_PFVOL,Switzerland,AIR,59774977000
2019,IS_RDP_PFVOL,Switzerland,AIR,63015491000
2020,IS_RDP_PFVOL,Switzerland,AIR,16719183400
2021,IS_RDP_PFVOL,Switzerland,AIR,19581938818
2017,IS_RDP_PFVOL,Tajikistan,AIR,1467673000
2018,IS_RDP_PFVOL,Tajikistan,AIR,1338309000
2019,IS_RDP_PFVOL,Tajikistan,AIR,1400797993
2020,IS_RDP_PFVOL,Tajikistan,AIR,696516520
2021,IS_RDP_PFVOL,Tajikistan,AIR,343316013
2017,IS_RDP_PFVOL,United Arab Emirates,AIR,406104768740
2018,IS_RDP_PFVOL,United Arab Emirates,AIR,424604286490
2019,IS_RDP_PFVOL,United Arab Emirates,AIR,414386349822
2020,IS_RDP_PFVOL,United Arab Emirates,AIR,111407819810
2021,IS_RDP_PFVOL,United Arab Emirates,AIR,106901257070
2017,IS_RDP_PFVOL,Türkiye,AIR,183397651320
2018,IS_RDP_PFVOL,Türkiye,AIR,194439274062
2019,IS_RDP_PFVOL,Türkiye,AIR,202496413430
2020,IS_RDP_PFVOL,Türkiye,AIR,73686147890
2021,IS_RDP_PFVOL,Türkiye,AIR,119308380415
2017,IS_RDP_PFVOL,Turkmenistan,AIR,2939647000
2018,IS_RDP_PFVOL,Turkmenistan,AIR,3254535000
2019,IS_RDP_PFVOL,Turkmenistan,AIR,2733505417
2020,IS_RDP_PFVOL,Turkmenistan,AIR,910938462
2021,IS_RDP_PFVOL,Turkmenistan,AIR,318216067
2017,IS_RDP_PFVOL,Ukraine,AIR,12616279254
2018,IS_RDP_PFVOL,Ukraine,AIR,15587857700
2019,IS_RDP_PFVOL,Ukraine,AIR,16038487867
2020,IS_RDP_PFVOL,Ukraine,AIR,3139432970
2021,IS_RDP_PFVOL,Ukraine,AIR,5517955300
2017,IS_RDP_PFVOL,United Kingdom of Great Britain and Northern Ireland,AIR,323349149000
2018,IS_RDP_PFVOL,United Kingdom of Great Britain and Northern Ireland,AIR,356464910000
2019,IS_RDP_PFVOL,United Kingdom of Great Britain and Northern Ireland,AIR,344592149000
2020,IS_RDP_PFVOL,United Kingdom of Great Britain and Northern Ireland,AIR,75331417797
2021,IS_RDP_PFVOL,United Kingdom of Great Britain and Northern Ireland,AIR,60546649000
2017,IS_RDP_PFVOL,Uzbekistan,AIR,7112704720
2018,IS_RDP_PFVOL,Uzbekistan,AIR,8408056220
2019,IS_RDP_PFVOL,Uzbekistan,AIR,10589577620
2020,IS_RDP_PFVOL,Uzbekistan,AIR,2602996660
2021,IS_RDP_PFVOL,Uzbekistan,AIR,4731144110
2021,IS_RDP_PFVOL,Uzbekistan,AIR,4731144110
