Year,SeriesCode,Страна ,Activity,Sex,Value
2018,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,87.7
2018,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,57.24
2018,SL_ISV_IFEM,Colombia,TOTAL,MALE,63.32
2018,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,87.31
2018,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,58.93
2014,SL_ISV_IFEM,Albania,ISIC4_A,FEMALE,99.72
2014,SL_ISV_IFEM,Albania,NONAGR,BOTHSEX,40.96
2014,SL_ISV_IFEM,Albania,TOTAL,MALE,67.4
2014,SL_ISV_IFEM,Albania,TOTAL,BOTHSEX,65.63
2014,SL_ISV_IFEM,Albania,ISIC4_A,MALE,99.51
2014,SL_ISV_IFEM,Albania,NONAGR,MALE,49.12
2014,SL_ISV_IFEM,Albania,NONAGR,FEMALE,27.56
2015,SL_ISV_IFEM,Albania,TOTAL,MALE,65.81
2015,SL_ISV_IFEM,Albania,NONAGR,FEMALE,24.4
2015,SL_ISV_IFEM,Albania,ISIC4_A,MALE,99.49
2009,SL_ISV_IFEM,Greece,NONAGR,FEMALE,9.03
2009,SL_ISV_IFEM,Greece,NONAGR,MALE,4.04
2009,SL_ISV_IFEM,Greece,TOTAL,FEMALE,13.81
2009,SL_ISV_IFEM,Greece,ISIC4_A,FEMALE,50.89
2009,SL_ISV_IFEM,Greece,ISIC4_A,MALE,11.92
2009,SL_ISV_IFEM,Greece,NONAGR,BOTHSEX,6.1
2009,SL_ISV_IFEM,Greece,ISIC4_A,BOTHSEX,27.83
2009,SL_ISV_IFEM,Greece,TOTAL,MALE,4.96
2009,SL_ISV_IFEM,Greece,TOTAL,BOTHSEX,8.62
2015,SL_ISV_IFEM,Albania,NONAGR,MALE,46.51
2015,SL_ISV_IFEM,Albania,TOTAL,FEMALE,60.08
2015,SL_ISV_IFEM,Albania,ISIC4_A,FEMALE,99.5
2015,SL_ISV_IFEM,Albania,TOTAL,BOTHSEX,63.35
2015,SL_ISV_IFEM,Albania,ISIC4_A,BOTHSEX,99.49
2015,SL_ISV_IFEM,Albania,NONAGR,BOTHSEX,38.05
2016,SL_ISV_IFEM,Albania,NONAGR,BOTHSEX,36.35
2016,SL_ISV_IFEM,Albania,TOTAL,BOTHSEX,61.65
2016,SL_ISV_IFEM,Albania,ISIC4_A,BOTHSEX,99.55
2016,SL_ISV_IFEM,Albania,NONAGR,MALE,43.7
2019,SL_ISV_IFEM,Colombia,TOTAL,FEMALE,61.05
2019,SL_ISV_IFEM,Colombia,NONAGR,MALE,55.09
2019,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,87.77
2019,SL_ISV_IFEM,Colombia,TOTAL,MALE,62.58
2019,SL_ISV_IFEM,Colombia,NONAGR,BOTHSEX,56.99
2019,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,87.76
2019,SL_ISV_IFEM,Colombia,TOTAL,BOTHSEX,61.95
2019,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,87.75
2019,SL_ISV_IFEM,Colombia,NONAGR,FEMALE,59.23
2021,SL_ISV_IFEM,Colombia,ISIC4_A,BOTHSEX,87.98
2016,SL_ISV_IFEM,Albania,TOTAL,FEMALE,58.88
2016,SL_ISV_IFEM,Albania,ISIC4_A,MALE,99.53
2016,SL_ISV_IFEM,Albania,TOTAL,MALE,63.81
2016,SL_ISV_IFEM,Albania,NONAGR,FEMALE,25.36
2016,SL_ISV_IFEM,Albania,ISIC4_A,FEMALE,99.57
2017,SL_ISV_IFEM,Albania,TOTAL,BOTHSEX,58.71
2017,SL_ISV_IFEM,Albania,ISIC4_A,BOTHSEX,99.32
2017,SL_ISV_IFEM,Albania,NONAGR,BOTHSEX,33.73
2017,SL_ISV_IFEM,Albania,NONAGR,MALE,40.75
2017,SL_ISV_IFEM,Albania,TOTAL,FEMALE,55.59
2021,SL_ISV_IFEM,Colombia,ISIC4_A,FEMALE,87.3
2021,SL_ISV_IFEM,Colombia,ISIC4_A,MALE,88.12
2021,SL_ISV_IFEM,Colombia,NONAGR,MALE,57.93
