Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2010,ER_RSK_LST,Australia,,,,,0.85007
2011,ER_RSK_LST,Australia,,,,,0.84712
2012,ER_RSK_LST,Australia,,,,,0.84393
2013,ER_RSK_LST,Australia,,,,,0.84111
2014,ER_RSK_LST,Australia,,,,,0.83776
2018,ER_RSK_LST,Germany,,,,,0.98172
2019,ER_RSK_LST,Germany,,,,,0.98175
2020,ER_RSK_LST,Germany,,,,,0.98178
2021,ER_RSK_LST,Germany,,,,,0.98181
2022,ER_RSK_LST,Germany,,,,,0.98185
2023,ER_RSK_LST,Germany,,,,,0.98188
2000,ER_RSK_LST,Greece,,,,,0.83944
2015,ER_RSK_LST,Australia,,,,,0.8345
2016,ER_RSK_LST,Australia,,,,,0.83141
2017,ER_RSK_LST,Australia,,,,,0.82883
2018,ER_RSK_LST,Australia,,,,,0.82457
2019,ER_RSK_LST,Australia,,,,,0.82206
2020,ER_RSK_LST,Australia,,,,,0.8191
2021,ER_RSK_LST,Australia,,,,,0.81665
2009,ER_RSK_LST,China,,,,,0.77302
2010,ER_RSK_LST,China,,,,,0.7698
2011,ER_RSK_LST,China,,,,,0.76684
2012,ER_RSK_LST,China,,,,,0.76349
2013,ER_RSK_LST,China,,,,,0.76016
2014,ER_RSK_LST,China,,,,,0.75626
2015,ER_RSK_LST,China,,,,,0.7531
2022,ER_RSK_LST,Australia,,,,,0.81452
2023,ER_RSK_LST,Australia,,,,,0.81076
2000,ER_RSK_LST,Austria,,,,,0.89451
2001,ER_RSK_LST,Austria,,,,,0.89447
2002,ER_RSK_LST,Austria,,,,,0.89447
2003,ER_RSK_LST,Austria,,,,,0.89447
2004,ER_RSK_LST,Austria,,,,,0.89449
2005,ER_RSK_LST,Austria,,,,,0.89449
2006,ER_RSK_LST,Austria,,,,,0.89453
2007,ER_RSK_LST,Austria,,,,,0.89456
2008,ER_RSK_LST,Austria,,,,,0.8946
2009,ER_RSK_LST,Austria,,,,,0.89461
2010,ER_RSK_LST,Austria,,,,,0.89464
2011,ER_RSK_LST,Austria,,,,,0.89466
2016,ER_RSK_LST,China,,,,,0.75034
2017,ER_RSK_LST,China,,,,,0.74744
2018,ER_RSK_LST,China,,,,,0.74415
2019,ER_RSK_LST,China,,,,,0.73999
2020,ER_RSK_LST,China,,,,,0.73731
2021,ER_RSK_LST,China,,,,,0.73308
2022,ER_RSK_LST,China,,,,,0.729
2012,ER_RSK_LST,Austria,,,,,0.8947
