Year,SeriesCode,GeoAreaName,Activity,Value
2009,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,20.21
2018,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,54.19
2019,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,67.57
2019,EN_ATM_CO2,Viet Nam,TOTAL,283.81
2020,EN_ATM_CO2,Viet Nam,TOTAL,293.92
2020,EN_ATM_CO2,Viet Nam,ISIC4_C10T32X19,88.0
2000,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,2.06
2000,EN_ATM_CO2,Slovenia,TOTAL,14.05
2001,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,1.91
2001,EN_ATM_CO2,Slovenia,TOTAL,14.88
2002,EN_ATM_CO2,Slovenia,TOTAL,15.08
2002,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,1.71
2015,EN_ATM_CO2,Israel,TOTAL,64.02
2015,EN_ATM_CO2,Israel,ISIC4_C10T32X19,4.52
2016,EN_ATM_CO2,Israel,TOTAL,63.19
2016,EN_ATM_CO2,Israel,ISIC4_C10T32X19,4.16
2017,EN_ATM_CO2,Israel,ISIC4_C10T32X19,4.97
2017,EN_ATM_CO2,Israel,TOTAL,63.92
2018,EN_ATM_CO2,Israel,TOTAL,59.65
2018,EN_ATM_CO2,Israel,ISIC4_C10T32X19,4.33
2019,EN_ATM_CO2,Israel,ISIC4_C10T32X19,5.0
2019,EN_ATM_CO2,Israel,TOTAL,61.28
2020,EN_ATM_CO2,Israel,TOTAL,57.44
2009,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.36
2010,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.6
2010,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,20.48
2011,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,23.4
2011,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.78
2012,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.8
2012,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,21.65
2013,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,21.51
2013,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,2.11
2014,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.91
2014,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,19.19
2015,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,19.32
2015,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,2.0
2016,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.9
2016,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,22.04
2017,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,22.35
2017,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,2.0
2018,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,2.23
2018,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,22.24
2019,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,20.76
2019,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,2.18
2020,EN_ATM_CO2,Bosnia and Herzegovina,ISIC4_C10T32X19,1.29
2020,EN_ATM_CO2,Israel,ISIC4_C10T32X19,4.25
2000,EN_ATM_CO2,Italy,TOTAL,420.44
2000,EN_ATM_CO2,Italy,ISIC4_C10T32X19,72.82
2001,EN_ATM_CO2,Italy,ISIC4_C10T32X19,70.41
2001,EN_ATM_CO2,Italy,TOTAL,420.18
2002,EN_ATM_CO2,Italy,TOTAL,427.18
2002,EN_ATM_CO2,Italy,ISIC4_C10T32X19,69.59
2003,EN_ATM_CO2,Italy,ISIC4_C10T32X19,76.05
2003,EN_ATM_CO2,Italy,TOTAL,445.26
2004,EN_ATM_CO2,Italy,TOTAL,455.0
2004,EN_ATM_CO2,Italy,ISIC4_C10T32X19,67.86
2020,EN_ATM_CO2,Bosnia and Herzegovina,TOTAL,20.52
2000,EN_ATM_CO2,Bulgaria,TOTAL,42.21
2000,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,7.76
2001,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,7.65
2001,EN_ATM_CO2,Bulgaria,TOTAL,44.96
2002,EN_ATM_CO2,Bulgaria,TOTAL,42.39
2002,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,7.29
2003,EN_ATM_CO2,Bulgaria,TOTAL,46.66
2003,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,7.87
2004,EN_ATM_CO2,Bulgaria,TOTAL,45.82
2004,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,7.77
2005,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,7.54
2005,EN_ATM_CO2,Bulgaria,TOTAL,46.37
2006,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,7.62
2006,EN_ATM_CO2,Bulgaria,TOTAL,47.41
2007,EN_ATM_CO2,Bulgaria,TOTAL,50.62
2007,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,8.13
2008,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,5.86
2008,EN_ATM_CO2,Bulgaria,TOTAL,48.14
2009,EN_ATM_CO2,Bulgaria,TOTAL,41.93
2009,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,3.27
2010,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,3.57
2005,EN_ATM_CO2,Italy,ISIC4_C10T32X19,66.05
2005,EN_ATM_CO2,Italy,TOTAL,456.43
2006,EN_ATM_CO2,Italy,TOTAL,449.18
2006,EN_ATM_CO2,Italy,ISIC4_C10T32X19,61.37
2007,EN_ATM_CO2,Italy,ISIC4_C10T32X19,60.19
2007,EN_ATM_CO2,Italy,TOTAL,441.46
2008,EN_ATM_CO2,Italy,TOTAL,428.85
2008,EN_ATM_CO2,Italy,ISIC4_C10T32X19,56.62
2009,EN_ATM_CO2,Italy,TOTAL,383.72
2009,EN_ATM_CO2,Italy,ISIC4_C10T32X19,42.92
2010,EN_ATM_CO2,Italy,TOTAL,391.99
2010,EN_ATM_CO2,Bulgaria,TOTAL,43.93
2011,EN_ATM_CO2,Bulgaria,TOTAL,48.85
2011,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,3.46
2012,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,3.15
2012,EN_ATM_CO2,Bulgaria,TOTAL,44.04
2013,EN_ATM_CO2,Bulgaria,TOTAL,38.77
2013,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,3.14
2014,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,3.18
2014,EN_ATM_CO2,Bulgaria,TOTAL,41.14
2015,EN_ATM_CO2,Bulgaria,TOTAL,43.45
2015,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,3.42
2016,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,3.55
2016,EN_ATM_CO2,Bulgaria,TOTAL,40.39
2017,EN_ATM_CO2,Bulgaria,TOTAL,42.65
2017,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,4.21
2018,EN_ATM_CO2,Bulgaria,TOTAL,39.67
2018,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,4.64
2019,EN_ATM_CO2,Bulgaria,TOTAL,38.02
2019,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,4.39
2020,EN_ATM_CO2,Bulgaria,ISIC4_C10T32X19,4.19
2020,EN_ATM_CO2,Bulgaria,TOTAL,33.07
2000,EN_ATM_CO2,Belarus,TOTAL,52.11
2003,EN_ATM_CO2,Slovenia,ISIC4_C10T32X19,2.03
2003,EN_ATM_CO2,Slovenia,TOTAL,14.96
