Year,SeriesCode,GeoAreaName,Age,Education level,Location,Quantile,Sex,Value
2011,FB_BNK_ACCSS,France,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,97.6552
2011,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,BOTHSEX,96.98389
2011,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,FEMALE,96.57256
2011,FB_BNK_ACCSS,France,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,96.90095
2011,FB_BNK_ACCSS,France,15-24,_T,ALLAREA,_T,BOTHSEX,85.67159
2014,FB_BNK_ACCSS,France,25+,_T,ALLAREA,_T,BOTHSEX,99.11544
2014,FB_BNK_ACCSS,France,15-24,_T,ALLAREA,_T,BOTHSEX,78.87185
2014,FB_BNK_ACCSS,France,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,97.3946
2014,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,FEMALE,95.46658
2014,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,BOTHSEX,96.58276
2014,FB_BNK_ACCSS,France,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,83.36391
2014,FB_BNK_ACCSS,France,15+,_T,ALLAREA,B40,BOTHSEX,94.48116
2014,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,MALE,97.78792
2014,FB_BNK_ACCSS,France,15+,_T,ALLAREA,R60,BOTHSEX,97.95702
2017,FB_BNK_ACCSS,France,15+,_T,ALLAREA,R60,BOTHSEX,94.35994
2017,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,MALE,96.97883
2017,FB_BNK_ACCSS,France,15+,_T,ALLAREA,B40,BOTHSEX,93.46918
2017,FB_BNK_ACCSS,France,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,79.81686
2017,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,BOTHSEX,94.00404
2017,FB_BNK_ACCSS,France,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,97.1897
2017,FB_BNK_ACCSS,France,15-24,_T,ALLAREA,_T,BOTHSEX,70.33167
2017,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,FEMALE,91.28713
2017,FB_BNK_ACCSS,France,25+,_T,ALLAREA,_T,BOTHSEX,97.91196
2021,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,FEMALE,100.0
2021,FB_BNK_ACCSS,France,15-24,_T,ALLAREA,_T,BOTHSEX,99.24103
2021,FB_BNK_ACCSS,France,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,99.75761
2021,FB_BNK_ACCSS,France,15+,_T,ALLAREA,_T,BOTHSEX,99.24429
2021,FB_BNK_ACCSS,France,25+,_T,ALLAREA,_T,BOTHSEX,99.24476
2021,FB_BNK_ACCSS,France,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,95.86647
2014,FB_BNK_ACCSS,Albania,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,24.00507
2014,FB_BNK_ACCSS,Albania,25+,_T,ALLAREA,_T,BOTHSEX,40.4027
2014,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,MALE,42.51969
2014,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,BOTHSEX,37.98635
2017,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,FEMALE,38.10296
2017,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,B40,BOTHSEX,22.75103
2017,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,R60,BOTHSEX,51.50628
2017,FB_BNK_ACCSS,Albania,15-24,_T,ALLAREA,_T,BOTHSEX,31.50068
2017,FB_BNK_ACCSS,Albania,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,55.82902
2017,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,BOTHSEX,40.01517
2017,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,MALE,42.0435
2017,FB_BNK_ACCSS,Albania,25+,_T,ALLAREA,_T,BOTHSEX,42.51325
2017,FB_BNK_ACCSS,Albania,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,27.49701
2021,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,R60,BOTHSEX,55.40872
2021,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,B40,BOTHSEX,27.2656
2021,FB_BNK_ACCSS,Albania,15+,_T,RURAL,_T,BOTHSEX,33.07041
2021,FB_BNK_ACCSS,Albania,15+,_T,URBAN,_T,BOTHSEX,50.23685
2021,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,FEMALE,45.68611
2021,FB_BNK_ACCSS,Albania,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,34.35557
2021,FB_BNK_ACCSS,Albania,25+,_T,ALLAREA,_T,BOTHSEX,44.25974
2021,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,MALE,42.58516
2021,FB_BNK_ACCSS,Albania,15+,_T,ALLAREA,_T,BOTHSEX,44.17418
2021,FB_BNK_ACCSS,Albania,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,56.50374
2021,FB_BNK_ACCSS,Albania,15-24,_T,ALLAREA,_T,BOTHSEX,43.8671
2011,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,42.60884
2011,FB_BNK_ACCSS,United Arab Emirates,25+,_T,ALLAREA,_T,BOTHSEX,73.27468
2011,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,B40,BOTHSEX,52.89773
2011,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,BOTHSEX,59.73237
2014,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,MALE,89.98199
2014,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,84.4114
2014,FB_BNK_ACCSS,United Arab Emirates,15-24,_T,ALLAREA,_T,BOTHSEX,66.73925
2014,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,BOTHSEX,83.74332
2014,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,B40,BOTHSEX,77.69296
2014,FB_BNK_ACCSS,United Arab Emirates,25+,_T,ALLAREA,_T,BOTHSEX,88.40415
2014,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,64.42022
2014,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,R60,BOTHSEX,88.01686
2014,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,FEMALE,67.68062
2017,FB_BNK_ACCSS,United Arab Emirates,15-24,_T,ALLAREA,_T,BOTHSEX,60.20962
2017,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,FEMALE,76.41672
2017,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,R60,BOTHSEX,91.67953
2017,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,70.87875
2017,FB_BNK_ACCSS,United Arab Emirates,25+,_T,ALLAREA,_T,BOTHSEX,90.73534
2017,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,B40,BOTHSEX,82.99037
2017,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,BOTHSEX,88.21039
2017,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,88.80617
2017,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,MALE,92.67216
2021,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,MALE,85.39455
2021,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,86.34915
2021,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,BOTHSEX,85.7422
2021,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,B40,BOTHSEX,83.39639
2021,FB_BNK_ACCSS,United Arab Emirates,25+,_T,ALLAREA,_T,BOTHSEX,87.15867
2021,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,75.96777
2021,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,R60,BOTHSEX,87.27476
2021,FB_BNK_ACCSS,United Arab Emirates,15+,_T,ALLAREA,_T,FEMALE,86.68295
2021,FB_BNK_ACCSS,United Arab Emirates,15-24,_T,ALLAREA,_T,BOTHSEX,79.43386
2011,FB_BNK_ACCSS,Türkiye,15+,_T,ALLAREA,_T,MALE,82.05688
2011,FB_BNK_ACCSS,Türkiye,15+,_T,ALLAREA,R60,BOTHSEX,64.58517
2011,FB_BNK_ACCSS,Türkiye,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,50.88652
2011,FB_BNK_ACCSS,Türkiye,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,65.21747
2011,FB_BNK_ACCSS,Türkiye,15-24,_T,ALLAREA,_T,BOTHSEX,43.75285
2011,FB_BNK_ACCSS,Türkiye,15+,_T,ALLAREA,_T,FEMALE,32.67998
2011,FB_BNK_ACCSS,Türkiye,25+,_T,ALLAREA,_T,BOTHSEX,61.89994
2011,FB_BNK_ACCSS,Türkiye,15+,_T,ALLAREA,_T,BOTHSEX,57.60143
2011,FB_BNK_ACCSS,Türkiye,15+,_T,ALLAREA,B40,BOTHSEX,47.10647
2014,FB_BNK_ACCSS,Türkiye,25+,_T,ALLAREA,_T,BOTHSEX,61.15696
2014,FB_BNK_ACCSS,Türkiye,15+,_T,ALLAREA,_T,FEMALE,44.45881
2014,FB_BNK_ACCSS,Türkiye,15-24,_T,ALLAREA,_T,BOTHSEX,41.56965
2014,FB_BNK_ACCSS,Türkiye,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,60.94077
2014,FB_BNK_ACCSS,Türkiye,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,47.51141
2014,FB_BNK_ACCSS,Türkiye,15+,_T,ALLAREA,R60,BOTHSEX,59.42415
