Year,SeriesCode,GeoAreaName,Age,Sex,Type of skill,Value
2012,SE_ADT_FUNS,Sweden,16-65,BOTHSEX,LITE,86.73268
2012,SE_ADT_FUNS,Sweden,16-65,MALE,LITE,87.42948
2012,SE_ADT_FUNS,Sweden,16-65,FEMALE,LITE,86.01511
2015,SE_ADT_FUNS,Türkiye,16-65,FEMALE,LITE,48.77636
2015,SE_ADT_FUNS,Türkiye,16-65,BOTHSEX,LITE,53.34858
2015,SE_ADT_FUNS,Türkiye,16-65,MALE,LITE,57.74121
2015,SE_ADT_FUNS,Türkiye,16-65,FEMALE,NUME,39.38448
2015,SE_ADT_FUNS,Türkiye,16-65,MALE,NUME,57.8292
2015,SE_ADT_FUNS,Türkiye,16-65,BOTHSEX,NUME,48.79158
2012,SE_ADT_FUNS,United Kingdom of Great Britain and Northern Ireland,16-65,MALE,NUME,78.57686
2012,SE_ADT_FUNS,United Kingdom of Great Britain and Northern Ireland,16-65,FEMALE,NUME,72.52913
2012,SE_ADT_FUNS,United Kingdom of Great Britain and Northern Ireland,16-65,BOTHSEX,NUME,75.54326
2012,SE_ADT_FUNS,United Kingdom of Great Britain and Northern Ireland,16-65,MALE,LITE,83.1486
2012,SE_ADT_FUNS,United Kingdom of Great Britain and Northern Ireland,16-65,BOTHSEX,LITE,83.40382
2012,SE_ADT_FUNS,United Kingdom of Great Britain and Northern Ireland,16-65,FEMALE,LITE,83.65742
2012,SE_ADT_FUNS,United Kingdom of Great Britain and Northern Ireland,16-65,FEMALE,LITE,83.65742
