Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2005,SH_PRV_SMOK,Estonia,15+,,MALE,54.9
2005,SH_PRV_SMOK,Estonia,15+,,FEMALE,28.2
2005,SH_PRV_SMOK,Estonia,15+,,BOTHSEX,41.6
2010,SH_PRV_SMOK,Estonia,15+,,BOTHSEX,37.2
2010,SH_PRV_SMOK,Estonia,15+,,FEMALE,26.4
2010,SH_PRV_SMOK,Estonia,15+,,MALE,47.9
2015,SH_PRV_SMOK,Estonia,15+,,MALE,41.8
2015,SH_PRV_SMOK,Estonia,15+,,FEMALE,24.7
2015,SH_PRV_SMOK,Estonia,15+,,BOTHSEX,33.3
2018,SH_PRV_SMOK,Estonia,15+,,MALE,38.5
2018,SH_PRV_SMOK,Estonia,15+,,FEMALE,23.7
2018,SH_PRV_SMOK,Estonia,15+,,BOTHSEX,30.5
2020,SH_PRV_SMOK,Slovakia,15+,,MALE,37.4
2020,SH_PRV_SMOK,Slovakia,15+,,FEMALE,25.6
2000,SH_PRV_SMOK,Viet Nam,15+,,MALE,54.8
2000,SH_PRV_SMOK,Viet Nam,15+,,FEMALE,4.8
2000,SH_PRV_SMOK,Viet Nam,15+,,BOTHSEX,29.8
2005,SH_PRV_SMOK,Viet Nam,15+,,BOTHSEX,28.3
2005,SH_PRV_SMOK,Viet Nam,15+,,MALE,52.7
2005,SH_PRV_SMOK,Viet Nam,15+,,FEMALE,3.9
2019,SH_PRV_SMOK,Austria,15+,,FEMALE,25.6
2020,SH_PRV_SMOK,Austria,15+,,MALE,27.7
2020,SH_PRV_SMOK,Austria,15+,,FEMALE,25.0
2020,SH_PRV_SMOK,Austria,15+,,BOTHSEX,26.4
2000,SH_PRV_SMOK,Armenia,15+,,MALE,61.7
2000,SH_PRV_SMOK,Armenia,15+,,FEMALE,2.2
2000,SH_PRV_SMOK,Armenia,15+,,BOTHSEX,32.0
2005,SH_PRV_SMOK,Armenia,15+,,MALE,58.5
2019,SH_PRV_SMOK,Estonia,15+,,FEMALE,23.5
2019,SH_PRV_SMOK,Estonia,15+,,MALE,37.4
2019,SH_PRV_SMOK,Estonia,15+,,BOTHSEX,30.5
2020,SH_PRV_SMOK,Estonia,15+,,BOTHSEX,29.7
2020,SH_PRV_SMOK,Estonia,15+,,MALE,36.3
2020,SH_PRV_SMOK,Estonia,15+,,FEMALE,23.0
2000,SH_PRV_SMOK,Finland,15+,,FEMALE,24.7
2000,SH_PRV_SMOK,Finland,15+,,BOTHSEX,35.7
2000,SH_PRV_SMOK,Finland,15+,,MALE,46.7
2005,SH_PRV_SMOK,Finland,15+,,MALE,40.5
2005,SH_PRV_SMOK,Finland,15+,,FEMALE,22.2
2005,SH_PRV_SMOK,Finland,15+,,BOTHSEX,31.4
2010,SH_PRV_SMOK,Finland,15+,,MALE,35.5
2010,SH_PRV_SMOK,Finland,15+,,FEMALE,20.1
2010,SH_PRV_SMOK,Finland,15+,,BOTHSEX,27.8
2015,SH_PRV_SMOK,Finland,15+,,MALE,30.9
2010,SH_PRV_SMOK,Viet Nam,15+,,MALE,50.8
2010,SH_PRV_SMOK,Viet Nam,15+,,FEMALE,3.2
