Year,SeriesCode,Страна ,Age,Value
2015,FB_CBK_BRCH,Bulgaria,15+,60.324138235883
2016,FB_CBK_BRCH,Bulgaria,15+,48.51510697884
2017,FB_CBK_BRCH,Bulgaria,15+,51.008904258368
2018,FB_CBK_BRCH,Bulgaria,15+,52.8026401320066
2019,FB_CBK_BRCH,Bulgaria,15+,57.8860842189596
2020,FB_CBK_BRCH,Bulgaria,15+,60.1912937122156
2021,FB_CBK_BRCH,Bulgaria,15+,61.4724407616468
2006,FB_CBK_BRCH,Canada,15+,24.5804714194685
2007,FB_CBK_BRCH,Canada,15+,24.6722704961475
2008,FB_CBK_BRCH,Canada,15+,24.6171841480824
2009,FB_CBK_BRCH,Canada,15+,24.1927408073473
2010,FB_CBK_BRCH,Canada,15+,24.0580602125497
2011,FB_CBK_BRCH,Canada,15+,24.1860995984418
2012,FB_CBK_BRCH,Canada,15+,24.3074443277617
2013,FB_CBK_BRCH,Canada,15+,23.3246048536531
2014,FB_CBK_BRCH,Canada,15+,23.14289060755
2015,FB_CBK_BRCH,Canada,15+,22.8449619257303
2016,FB_CBK_BRCH,Canada,15+,22.2531106608535
2017,FB_CBK_BRCH,Canada,15+,20.7510082615683
2018,FB_CBK_BRCH,Canada,15+,20.1297114091433
2019,FB_CBK_BRCH,Canada,15+,19.7263361155937
2020,FB_CBK_BRCH,Canada,15+,20.1549851874749
2021,FB_CBK_BRCH,Canada,15+,20.6906403543707
2011,FB_CBK_BRCH,Viet Nam,15+,3.53516965512505
2012,FB_CBK_BRCH,Viet Nam,15+,3.10450684141027
2013,FB_CBK_BRCH,Viet Nam,15+,3.64269717039894
2014,FB_CBK_BRCH,Viet Nam,15+,3.83003087834917
2015,FB_CBK_BRCH,Viet Nam,15+,3.75418583660076
2016,FB_CBK_BRCH,Viet Nam,15+,3.83246398933859
2017,FB_CBK_BRCH,Viet Nam,15+,3.44878724819094
2018,FB_CBK_BRCH,Viet Nam,15+,3.91524313271599
2019,FB_CBK_BRCH,Viet Nam,15+,3.98274265457034
2020,FB_CBK_BRCH,Viet Nam,15+,4.0073922208117
2021,FB_CBK_BRCH,Viet Nam,15+,2.9128585548899
2004,FB_CBK_BRCH,Slovenia,15+,40.9685860818858
2005,FB_CBK_BRCH,Slovenia,15+,40.0922004400845
2004,FB_CBK_BRCH,Chile,15+,14.9322499267794
2005,FB_CBK_BRCH,Chile,15+,15.3880415395096
