Year,SeriesCode,GeoAreaName,Age,Freq,Location,Sex,Value
2008,"ER_PTD_FRHWTR","Georgia","","","","",22.46065
2009,"ER_PTD_FRHWTR","Georgia","","","","",22.46065
2010,"ER_PTD_FRHWTR","Georgia","","","","",22.46065
2011,"ER_PTD_FRHWTR","Georgia","","","","",38.946
2012,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2013,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2011,"ER_PTD_FRHWTR","Belgium","","","","",80.9442
2012,"ER_PTD_FRHWTR","Belgium","","","","",80.94429
2013,"ER_PTD_FRHWTR","Belgium","","","","",80.95357
2014,"ER_PTD_FRHWTR","Belgium","","","","",82.5035
2015,"ER_PTD_FRHWTR","Belgium","","","","",82.6631
2016,"ER_PTD_FRHWTR","Belgium","","","","",85.17844
2017,"ER_PTD_FRHWTR","Belgium","","","","",85.17857
2018,"ER_PTD_FRHWTR","Belgium","","","","",85.60136
2019,"ER_PTD_FRHWTR","Belgium","","","","",85.64302
2020,"ER_PTD_FRHWTR","Belgium","","","","",85.65745
2021,"ER_PTD_FRHWTR","Belgium","","","","",85.65745
2022,"ER_PTD_FRHWTR","Belgium","","","","",85.65745
2014,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2015,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2016,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2017,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2018,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2019,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2000,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",33.29167
2001,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",33.29167
2002,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",33.29167
2003,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",33.29167
2004,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",33.29167
2005,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",33.29167
2006,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",33.29167
2007,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",66.62501
2008,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2009,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2010,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2011,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2020,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2021,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2022,"ER_PTD_FRHWTR","Georgia","","","","",38.94615
2000,"ER_PTD_FRHWTR","Germany","","","","",48.52724
2001,"ER_PTD_FRHWTR","Germany","","","","",60.22709
2002,"ER_PTD_FRHWTR","Germany","","","","",60.7913
2004,"ER_PTD_FRHWTR","China","","","","",4.80612
2005,"ER_PTD_FRHWTR","China","","","","",4.80612
2006,"ER_PTD_FRHWTR","China","","","","",6.8774
2007,"ER_PTD_FRHWTR","China","","","","",6.8774
2008,"ER_PTD_FRHWTR","China","","","","",6.8774
2009,"ER_PTD_FRHWTR","China","","","","",6.8774
2010,"ER_PTD_FRHWTR","China","","","","",6.8774
2011,"ER_PTD_FRHWTR","China","","","","",7.9311
2012,"ER_PTD_FRHWTR","China","","","","",7.9311
2013,"ER_PTD_FRHWTR","China","","","","",8.3816
2014,"ER_PTD_FRHWTR","China","","","","",8.3816
2015,"ER_PTD_FRHWTR","China","","","","",8.8202
2012,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2013,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2014,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2015,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2016,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2017,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2003,"ER_PTD_FRHWTR","Germany","","","","",61.40878
2004,"ER_PTD_FRHWTR","Germany","","","","",67.54744
2005,"ER_PTD_FRHWTR","Germany","","","","",68.04166
2006,"ER_PTD_FRHWTR","Germany","","","","",71.88512
2007,"ER_PTD_FRHWTR","Germany","","","","",72.88289
2008,"ER_PTD_FRHWTR","Germany","","","","",75.80821
2016,"ER_PTD_FRHWTR","China","","","","",8.8202
2017,"ER_PTD_FRHWTR","China","","","","",8.82021
2018,"ER_PTD_FRHWTR","China","","","","",9.5843
2019,"ER_PTD_FRHWTR","China","","","","",9.5843
2020,"ER_PTD_FRHWTR","China","","","","",9.5843
2021,"ER_PTD_FRHWTR","China","","","","",9.5843
2022,"ER_PTD_FRHWTR","China","","","","",9.5843
2000,"ER_PTD_FRHWTR","Colombia","","","","",25.24073
2001,"ER_PTD_FRHWTR","Colombia","","","","",25.24073
2002,"ER_PTD_FRHWTR","Colombia","","","","",25.24073
2003,"ER_PTD_FRHWTR","Colombia","","","","",25.24073
2004,"ER_PTD_FRHWTR","Colombia","","","","",25.24076
2009,"ER_PTD_FRHWTR","Germany","","","","",76.33116
2010,"ER_PTD_FRHWTR","Germany","","","","",76.68149
2011,"ER_PTD_FRHWTR","Germany","","","","",76.90283
2012,"ER_PTD_FRHWTR","Germany","","","","",76.91138
2013,"ER_PTD_FRHWTR","Germany","","","","",76.98038
2014,"ER_PTD_FRHWTR","Germany","","","","",77.06016
2018,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2019,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2020,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2021,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2022,"ER_PTD_FRHWTR","Bosnia and Herzegovina","","","","",99.95834
2000,"ER_PTD_FRHWTR","Poland","","","","",53.35881
2005,"ER_PTD_FRHWTR","Colombia","","","","",25.3122
2006,"ER_PTD_FRHWTR","Colombia","","","","",26.57118
2007,"ER_PTD_FRHWTR","Colombia","","","","",26.61643
2008,"ER_PTD_FRHWTR","Colombia","","","","",28.70725
2009,"ER_PTD_FRHWTR","Colombia","","","","",32.03947
2010,"ER_PTD_FRHWTR","Colombia","","","","",32.03947
2011,"ER_PTD_FRHWTR","Colombia","","","","",38.70614
2012,"ER_PTD_FRHWTR","Colombia","","","","",39.23155
2013,"ER_PTD_FRHWTR","Colombia","","","","",40.42511
2014,"ER_PTD_FRHWTR","Colombia","","","","",40.44615
2015,"ER_PTD_FRHWTR","Colombia","","","","",49.95761
2016,"ER_PTD_FRHWTR","Colombia","","","","",49.95761
2015,"ER_PTD_FRHWTR","Germany","","","","",77.21146
2016,"ER_PTD_FRHWTR","Germany","","","","",77.52778
2017,"ER_PTD_FRHWTR","Germany","","","","",77.78733
2018,"ER_PTD_FRHWTR","Germany","","","","",78.25234
2019,"ER_PTD_FRHWTR","Germany","","","","",79.31185
2020,"ER_PTD_FRHWTR","Germany","","","","",79.31185
2001,"ER_PTD_FRHWTR","Poland","","","","",53.7292
2002,"ER_PTD_FRHWTR","Poland","","","","",54.11287
2003,"ER_PTD_FRHWTR","Poland","","","","",56.13114
2004,"ER_PTD_FRHWTR","Poland","","","","",76.28732
2005,"ER_PTD_FRHWTR","Poland","","","","",76.2925
2006,"ER_PTD_FRHWTR","Poland","","","","",76.2925
2017,"ER_PTD_FRHWTR","Colombia","","","","",53.38808
2018,"ER_PTD_FRHWTR","Colombia","","","","",57.18785
2019,"ER_PTD_FRHWTR","Colombia","","","","",60.52119
2020,"ER_PTD_FRHWTR","Colombia","","","","",60.54661
2021,"ER_PTD_FRHWTR","Colombia","","","","",60.54661
2022,"ER_PTD_FRHWTR","Colombia","","","","",60.54661
2021,"ER_PTD_FRHWTR","Germany","","","","",79.31185
2022,"ER_PTD_FRHWTR","Germany","","","","",79.31185
2000,"ER_PTD_FRHWTR","Greece","","","","",30.45508
2001,"ER_PTD_FRHWTR","Greece","","","","",46.92449
2002,"ER_PTD_FRHWTR","Greece","","","","",63.77459
2003,"ER_PTD_FRHWTR","Greece","","","","",65.94621
2007,"ER_PTD_FRHWTR","Poland","","","","",87.64562
2008,"ER_PTD_FRHWTR","Poland","","","","",91.4288
2009,"ER_PTD_FRHWTR","Poland","","","","",91.57093
2010,"ER_PTD_FRHWTR","Poland","","","","",91.57093
2011,"ER_PTD_FRHWTR","Poland","","","","",91.64558
2012,"ER_PTD_FRHWTR","Poland","","","","",91.64558
2004,"ER_PTD_FRHWTR","Greece","","","","",65.94621
2005,"ER_PTD_FRHWTR","Greece","","","","",65.94621
2006,"ER_PTD_FRHWTR","Greece","","","","",65.95023
2007,"ER_PTD_FRHWTR","Greece","","","","",65.95484
2008,"ER_PTD_FRHWTR","Greece","","","","",65.95836
2009,"ER_PTD_FRHWTR","Greece","","","","",67.34894
2000,"ER_PTD_FRHWTR","Costa Rica","","","","",49.72119
2001,"ER_PTD_FRHWTR","Costa Rica","","","","",50.04232
2002,"ER_PTD_FRHWTR","Costa Rica","","","","",50.04232
2003,"ER_PTD_FRHWTR","Costa Rica","","","","",50.04232
2004,"ER_PTD_FRHWTR","Costa Rica","","","","",50.04232
2005,"ER_PTD_FRHWTR","Costa Rica","","","","",50.04232
2013,"ER_PTD_FRHWTR","Poland","","","","",91.64657
