Year,SeriesCode,GeoAreaName,Age,Location,Sex,Value
2009,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.01
2010,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.01
2010,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",32.67
2012,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.01
2014,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.02
2016,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.02
2016,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",36.59
2018,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",34.60
2012,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.04
2016,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",5.92
2017,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",6.53
2019,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",6.68
2020,"SP_DYN_ADKL","Cyprus","10-14","","FEMALE",0.17
2020,"SP_DYN_ADKL","Cyprus","15-19","","FEMALE",7.67
2000,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.09
2001,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.09
2001,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.44
2002,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.46
2002,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.11
2003,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.27
2004,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.19
2005,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.10
2006,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.11
2007,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.11
2008,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.09
2008,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.47
2009,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.11
2009,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.80
2010,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.11
2010,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.49
2011,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.23
2012,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.09
2012,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.92
2013,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.69
2015,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",11.62
2015,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.10
2016,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.10
2018,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.09
2018,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",10.76
2019,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",9.86
2020,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",9.18
2020,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.07
2021,"SP_DYN_ADKL","Czechia","10-14","","FEMALE",0.05
2021,"SP_DYN_ADKL","Czechia","15-19","","FEMALE",8.81
2019,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",36.56
2019,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.03
2020,"SP_DYN_ADKL","Kyrgyzstan","10-14","","FEMALE",0.03
2020,"SP_DYN_ADKL","Kyrgyzstan","15-19","","FEMALE",32.56
2000,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",18.23
2000,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.05
2001,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.07
2001,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",17.18
2002,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",16.01
2002,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.02
2003,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",16.80
2003,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.02
2000,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.01
2001,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.03
2003,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.02
2006,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",5.88
2007,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",5.66
2007,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.03
2009,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.02
2009,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",5.45
2010,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",5.00
2011,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",4.57
2011,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.02
2012,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.01
2012,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",4.40
2013,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",4.24
2014,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",3.64
2015,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",3.40
2015,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.01
2017,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",2.78
2018,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",2.43
2018,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.00
2019,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.01
2019,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",2.02
2020,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",1.64
2020,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.01
2004,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",16.32
2004,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.02
2005,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",16.44
2006,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.08
2007,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.06
2008,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.06
2009,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",16.22
2010,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.04
2012,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.12
2012,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",15.32
2013,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",15.30
2013,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.11
2021,"SP_DYN_ADKL","Denmark","10-14","","FEMALE",0.01
2021,"SP_DYN_ADKL","Denmark","15-19","","FEMALE",1.32
2000,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.13
2000,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",26.33
2001,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",24.79
2001,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.10
2002,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.07
2003,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.14
2004,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.11
2004,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",22.61
2005,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.12
2005,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",22.52
2014,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.08
2014,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",15.43
2018,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",12.11
2019,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",12.55
2019,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.04
2020,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",10.54
2020,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.04
2021,"SP_DYN_ADKL","Latvia","15-19","","FEMALE",10.00
2021,"SP_DYN_ADKL","Latvia","10-14","","FEMALE",0.00
2000,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.04
2000,"SP_DYN_ADKL","Liechtenstein","15-19","","FEMALE",5.95
2001,"SP_DYN_ADKL","Liechtenstein","15-19","","FEMALE",8.88
2006,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.13
2006,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",22.87
2008,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.10
2009,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",21.03
2011,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.06
2012,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.06
2013,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.06
2013,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",16.39
2014,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",15.60
2014,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.06
2015,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.11
2015,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",12.59
2017,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",10.10
2017,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.05
2018,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.10
2018,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",9.58
2019,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",8.52
2019,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.10
2020,"SP_DYN_ADKL","Estonia","10-14","","FEMALE",0.05
2020,"SP_DYN_ADKL","Estonia","15-19","","FEMALE",7.89
2000,"SP_DYN_ADKL","Finland","10-14","","FEMALE",0.03
2001,"SP_DYN_ADKL","Finland","15-19","","FEMALE",10.61
2002,"SP_DYN_ADKL","Finland","10-14","","FEMALE",0.03
2003,"SP_DYN_ADKL","Finland","15-19","","FEMALE",10.37
2001,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.02
2002,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.02
2003,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.00
2004,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.03
2004,"SP_DYN_ADKL","Liechtenstein","15-19","","FEMALE",3.96
2005,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.00
2006,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.02
2006,"SP_DYN_ADKL","Liechtenstein","15-19","","FEMALE",3.86
2007,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.04
2008,"SP_DYN_ADKL","Liechtenstein","10-14","","FEMALE",0.00
