Year,SeriesCode,GeoAreaName,Disability status,Sex,Value
2018,"SL_TLF_UEMDIS_19ICLS","United Kingdom of Great Britain and Northern Ireland","PD","FEMALE",10.83
2018,"SL_TLF_UEMDIS_19ICLS","United Kingdom of Great Britain and Northern Ireland","_T","FEMALE",3.35
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",8.99
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",11.46
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",10.23
2012,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",18.45
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",8.29
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",11.64
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",9.96
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",9.95
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",8.28
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",8.01
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",13.2
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",11.61
2013,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",10.24
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",7.93
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",9.31
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",7.72
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",5.84
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",14.64
2008,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",5.92
2008,"SL_TLF_UEMDIS_19ICLS","Malta","PD","MALE",42.35
2008,"SL_TLF_UEMDIS_19ICLS","Malta","PD","BOTHSEX",36.03
2008,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",5.17
2008,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",5.3
2009,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",6.93
2009,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",6.56
2009,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",6.72
2009,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",6.57
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",11.63
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",7.61
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",5.89
2014,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",9.48
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",6.83
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","FEMALE",4.98
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",4.87
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","BOTHSEX",6.92
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",10.15
2007,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","BOTHSEX",6.85
2007,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","MALE",5.92
2007,"SL_TLF_UEMDIS_19ICLS","Austria","PD","MALE",33.71
2007,"SL_TLF_UEMDIS_19ICLS","Austria","PWD","FEMALE",8.07
2007,"SL_TLF_UEMDIS_19ICLS","Austria","_T","FEMALE",8.74
2007,"SL_TLF_UEMDIS_19ICLS","Austria","_T","MALE",7.15
2007,"SL_TLF_UEMDIS_19ICLS","Austria","PD","FEMALE",25.41
2007,"SL_TLF_UEMDIS_19ICLS","Austria","PD","BOTHSEX",30.39
2007,"SL_TLF_UEMDIS_19ICLS","Austria","_T","BOTHSEX",7.84
2009,"SL_TLF_UEMDIS_19ICLS","Malta","PD","MALE",22.42
2009,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",6.81
2009,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",6.67
2009,"SL_TLF_UEMDIS_19ICLS","Malta","PD","BOTHSEX",18.33
2010,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",4.4
2010,"SL_TLF_UEMDIS_19ICLS","Malta","PD","MALE",20.1
2010,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",6.78
2010,"SL_TLF_UEMDIS_19ICLS","Malta","PD","BOTHSEX",16.79
2010,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",6.9
2010,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",5.96
2010,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",4.46
2010,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",6.05
2011,"SL_TLF_UEMDIS_19ICLS","Malta","_T","BOTHSEX",5.52
2011,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",4.32
2011,"SL_TLF_UEMDIS_19ICLS","Malta","_T","FEMALE",4.31
2011,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","BOTHSEX",5.54
2011,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",6.21
2011,"SL_TLF_UEMDIS_19ICLS","Malta","_T","MALE",6.18
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",8.77
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","FEMALE",8.74
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",8.69
2015,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","MALE",11.54
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","BOTHSEX",6.76
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","PD","BOTHSEX",9.11
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","FEMALE",6.01
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","_T","MALE",7.53
2016,"SL_TLF_UEMDIS_19ICLS","Estonia","PWD","MALE",7.47
2012,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","MALE",6.44
2012,"SL_TLF_UEMDIS_19ICLS","Malta","PWD","FEMALE",3.44
