Year,SeriesCode,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2020,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.56107
2020,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.49987
2020,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.07143
2021,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.8
2021,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.29
2021,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.56
2021,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.49
2021,"SG_DMK_PSRVC","Latvia","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.09
2020,"SG_DMK_PSRVC","Lithuania","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.58284
2020,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","TOTAL_PSP",1.30319
2020,"SG_DMK_PSRVC","United Kingdom of Great Britain and Northern Ireland","ALLAGE","PD","TOTAL","BOTHSEX","TOTAL_PSP",0.78
2020,"SG_DMK_PSRVC","United Kingdom of Great Britain and Northern Ireland","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.74
2020,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.6053
2020,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","SENIORMAN",1.17062
2020,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","OTHERMAN",1.22741
2020,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","ADMINPRO",1.51292
2020,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.00623
2021,"SG_DMK_PSRVC","Lithuania","<35Y","_T","TOTAL","BOTHSEX","TOTAL_PSP",0.30567
2021,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","GENERAL",1.61
2021,"SG_DMK_PSRVC","Lithuania","ALLAGE","_T","TOTAL","FEMALE","ASSOCPRO",1.02
