Year,SeriesCode,GeoAreaName,Fiscal intervention stage,Value
2017,"SI_DST_FISP","Israel","PREFIS_INC",41.261000
2017,"SI_DST_FISP","Israel","POSTFIS_DIS_INC",32.740000
2018,"SI_DST_FISP","Israel","PREFIS_INC",41.613000
2018,"SI_DST_FISP","Israel","POSTFIS_DIS_INC",32.954000
2015,"SI_DST_FISP","Italy","PREFIS_INC",43.867821
2015,"SI_DST_FISP","Italy","POSTFIS_DIS_INC",33.014365
2016,"SI_DST_FISP","Italy","PREFIS_INC",45.218349
2016,"SI_DST_FISP","Italy","POSTFIS_DIS_INC",33.861922
2017,"SI_DST_FISP","Italy","PREFIS_INC",44.061294
2017,"SI_DST_FISP","Italy","POSTFIS_DIS_INC",33.099839
2018,"SI_DST_FISP","Italy","PREFIS_INC",44.110589
2018,"SI_DST_FISP","Italy","POSTFIS_DIS_INC",34.032354
2019,"SI_DST_FISP","Italy","PREFIS_INC",43.332003
2019,"SI_DST_FISP","Italy","POSTFIS_DIS_INC",33.301538
2019,"SI_DST_FISP","Japan","PREFIS_INC",39.200000
2019,"SI_DST_FISP","Japan","POSTFIS_DIS_INC",32.400000
2016,"SI_DST_FISP","Republic of Korea","POSTFIS_DIS_INC",33.700000
2016,"SI_DST_FISP","Republic of Korea","PREFIS_INC",36.700000
2017,"SI_DST_FISP","Republic of Korea","PREFIS_INC",37.100000
2017,"SI_DST_FISP","Republic of Korea","POSTFIS_DIS_INC",33.800000
2018,"SI_DST_FISP","Republic of Korea","PREFIS_INC",37.300000
2018,"SI_DST_FISP","Republic of Korea","POSTFIS_DIS_INC",33.700000
2019,"SI_DST_FISP","Republic of Korea","POSTFIS_DIS_INC",32.500000
2019,"SI_DST_FISP","Republic of Korea","PREFIS_INC",36.600000
2016,"SI_DST_FISP","Kyrgyzstan","PREFIS_INC",23.415730
2016,"SI_DST_FISP","Kyrgyzstan","POSTFIS_DIS_INC",21.434870
2016,"SI_DST_FISP","Kyrgyzstan","POSTFIS_CON_INC",21.881600
2015,"SI_DST_FISP","Latvia","PREFIS_INC",41.950135
2015,"SI_DST_FISP","Latvia","POSTFIS_DIS_INC",33.902096
2016,"SI_DST_FISP","Latvia","PREFIS_INC",41.370295
2016,"SI_DST_FISP","Latvia","POSTFIS_DIS_INC",33.769250
2017,"SI_DST_FISP","Latvia","POSTFIS_DIS_INC",33.291843
2017,"SI_DST_FISP","Latvia","PREFIS_INC",40.590970
2018,"SI_DST_FISP","Latvia","PREFIS_INC",41.582211
2018,"SI_DST_FISP","Latvia","POSTFIS_DIS_INC",34.218942
2019,"SI_DST_FISP","Latvia","PREFIS_INC",41.287472
2019,"SI_DST_FISP","Latvia","POSTFIS_DIS_INC",33.732485
2020,"SI_DST_FISP","Latvia","PREFIS_INC",40.868593
2020,"SI_DST_FISP","Latvia","POSTFIS_DIS_INC",33.372111
2015,"SI_DST_FISP","Lithuania","PREFIS_INC",45.679082
2015,"SI_DST_FISP","Lithuania","POSTFIS_DIS_INC",37.379789
2016,"SI_DST_FISP","Lithuania","PREFIS_INC",44.117992
2016,"SI_DST_FISP","Lithuania","POSTFIS_DIS_INC",36.702737
2017,"SI_DST_FISP","Lithuania","PREFIS_INC",44.516246
2017,"SI_DST_FISP","Lithuania","POSTFIS_DIS_INC",37.230030
2018,"SI_DST_FISP","Lithuania","PREFIS_INC",43.571263
2018,"SI_DST_FISP","Lithuania","POSTFIS_DIS_INC",36.244780
2019,"SI_DST_FISP","Lithuania","PREFIS_INC",42.551115
2019,"SI_DST_FISP","Lithuania","POSTFIS_DIS_INC",35.177718
2020,"SI_DST_FISP","Lithuania","PREFIS_INC",41.871457
2020,"SI_DST_FISP","Lithuania","POSTFIS_DIS_INC",34.683915
2015,"SI_DST_FISP","Luxembourg","PREFIS_INC",43.446474
2015,"SI_DST_FISP","Luxembourg","POSTFIS_DIS_INC",28.649463
2016,"SI_DST_FISP","Luxembourg","POSTFIS_DIS_INC",30.805540
2016,"SI_DST_FISP","Luxembourg","PREFIS_INC",42.678308
2017,"SI_DST_FISP","Luxembourg","PREFIS_INC",44.127737
2017,"SI_DST_FISP","Luxembourg","POSTFIS_DIS_INC",30.824053
2018,"SI_DST_FISP","Luxembourg","PREFIS_INC",45.254017
2018,"SI_DST_FISP","Luxembourg","POSTFIS_DIS_INC",32.958658
2019,"SI_DST_FISP","Luxembourg","PREFIS_INC",44.454323
2019,"SI_DST_FISP","Luxembourg","POSTFIS_DIS_INC",32.095261
2020,"SI_DST_FISP","Luxembourg","PREFIS_INC",44.838406
2020,"SI_DST_FISP","Luxembourg","POSTFIS_DIS_INC",30.845058
2016,"SI_DST_FISP","Mexico","PREFIS_INC",47.851740
2016,"SI_DST_FISP","Mexico","POSTFIS_DIS_INC",46.703940
2018,"SI_DST_FISP","Mexico","PREFIS_INC",42.398040
2018,"SI_DST_FISP","Mexico","POSTFIS_DIS_INC",41.506860
2017,"SI_DST_FISP","Republic of Moldova","POSTFIS_DIS_INC",30.493000
2017,"SI_DST_FISP","Republic of Moldova","PREFIS_INC",34.100000
2017,"SI_DST_FISP","Republic of Moldova","POSTFIS_CON_INC",31.950000
2015,"SI_DST_FISP","Montenegro","PREFIS_INC",29.199760
2015,"SI_DST_FISP","Montenegro","POSTFIS_DIS_INC",25.275360
2015,"SI_DST_FISP","Montenegro","POSTFIS_CON_INC",24.982680
2015,"SI_DST_FISP","Netherlands (Kingdom of the)","PREFIS_INC",42.400000
2015,"SI_DST_FISP","Netherlands (Kingdom of the)","POSTFIS_DIS_INC",30.700000
2016,"SI_DST_FISP","Netherlands (Kingdom of the)","PREFIS_INC",41.000000
2016,"SI_DST_FISP","Netherlands (Kingdom of the)","POSTFIS_DIS_INC",29.400000
2017,"SI_DST_FISP","Netherlands (Kingdom of the)","PREFIS_INC",41.300000
2017,"SI_DST_FISP","Netherlands (Kingdom of the)","POSTFIS_DIS_INC",29.900000
2018,"SI_DST_FISP","Netherlands (Kingdom of the)","PREFIS_INC",40.300000
2018,"SI_DST_FISP","Netherlands (Kingdom of the)","POSTFIS_DIS_INC",29.600000
2019,"SI_DST_FISP","Netherlands (Kingdom of the)","PREFIS_INC",40.100000
2019,"SI_DST_FISP","Netherlands (Kingdom of the)","POSTFIS_DIS_INC",29.600000
2015,"SI_DST_FISP","New Zealand","PREFIS_INC",41.700000
2015,"SI_DST_FISP","New Zealand","POSTFIS_DIS_INC",34.700000
2015,"SI_DST_FISP","Norway","PREFIS_INC",39.549000
2015,"SI_DST_FISP","Norway","POSTFIS_DIS_INC",28.258000
2016,"SI_DST_FISP","Norway","POSTFIS_DIS_INC",27.208000
2016,"SI_DST_FISP","Norway","PREFIS_INC",38.810000
