Year,SeriesCode,GeoAreaName,Type of product,Value
2009,"EN_MAT_DOMCMPC","Albania","WCH",0.00377
2009,"EN_MAT_DOMCMPC","Albania","ALP",11.95179
2009,"EN_MAT_DOMCMPC","Albania","FOF",0.19638
2009,"EN_MAT_DOMCMPC","Albania","NFO",0.14115
2009,"EN_MAT_DOMCMPC","Albania","CPR",0.33895
2010,"EN_MAT_DOMCMPC","Albania","NMC",5.06181
2010,"EN_MAT_DOMCMPC","Albania","NMA",0.0468
2010,"EN_MAT_DOMCMPC","Albania","MEO",0.12611
2010,"EN_MAT_DOMCMPC","Albania","CRO",1.00676
2010,"EN_MAT_DOMCMPC","Albania","PET",0.05342
2010,"EN_MAT_DOMCMPC","Albania","GAS",0.00328
2010,"EN_MAT_DOMCMPC","Albania","GBO",1.3768
2010,"EN_MAT_DOMCMPC","Albania","FOF",0.13937
2010,"EN_MAT_DOMCMPC","Albania","ALP",9.06442
2010,"EN_MAT_DOMCMPC","Albania","WOD",0.09136
2010,"EN_MAT_DOMCMPC","Albania","CPR",0.37159
2010,"EN_MAT_DOMCMPC","Albania","ONT",0
2010,"EN_MAT_DOMCMPC","Albania","WCH",0.00323
2010,"EN_MAT_DOMCMPC","Albania","NFO",0.19449
2010,"EN_MAT_DOMCMPC","Albania","NMM",5.10861
2010,"EN_MAT_DOMCMPC","Albania","BIM",2.84974
2010,"EN_MAT_DOMCMPC","Albania","COL",0.08267
2010,"EN_MAT_DOMCMPC","Albania","FEO",-0.06838
2011,"EN_MAT_DOMCMPC","Albania","FOF",0.20819
2011,"EN_MAT_DOMCMPC","Albania","ALP",9.45897
2011,"EN_MAT_DOMCMPC","Albania","CPR",0.37672
2011,"EN_MAT_DOMCMPC","Albania","PET",0.10132
2011,"EN_MAT_DOMCMPC","Albania","NMC",4.95264
2011,"EN_MAT_DOMCMPC","Albania","CRO",1.04489
2011,"EN_MAT_DOMCMPC","Albania","NMA",0.37584
2011,"EN_MAT_DOMCMPC","Albania","GAS",0.00386
2011,"EN_MAT_DOMCMPC","Albania","FEO",-0.20291
2011,"EN_MAT_DOMCMPC","Albania","BIM",3.08301
2011,"EN_MAT_DOMCMPC","Albania","ONT",0
2011,"EN_MAT_DOMCMPC","Albania","WCH",0.00369
2011,"EN_MAT_DOMCMPC","Albania","NMM",5.32847
2011,"EN_MAT_DOMCMPC","Albania","GBO",1.36237
2011,"EN_MAT_DOMCMPC","Albania","NFO",0.33433
2011,"EN_MAT_DOMCMPC","Albania","MEO",0.13142
2011,"EN_MAT_DOMCMPC","Albania","WOD",0.29535
2011,"EN_MAT_DOMCMPC","Albania","COL",0.10302
2012,"EN_MAT_DOMCMPC","Albania","GBO",1.407
2012,"EN_MAT_DOMCMPC","Albania","NFO",0.2491
2012,"EN_MAT_DOMCMPC","Albania","FEO",-0.07049
2012,"EN_MAT_DOMCMPC","Albania","CRO",1.07193
2012,"EN_MAT_DOMCMPC","Albania","PET",0.03797
2012,"EN_MAT_DOMCMPC","Albania","MEO",0.17861
2012,"EN_MAT_DOMCMPC","Albania","GAS",0.00379
2012,"EN_MAT_DOMCMPC","Albania","NMM",5.32117
2012,"EN_MAT_DOMCMPC","Albania","COL",0.12109
2012,"EN_MAT_DOMCMPC","Albania","ALP",9.3338
2012,"EN_MAT_DOMCMPC","Albania","WCH",0.00441
2012,"EN_MAT_DOMCMPC","Albania","CPR",0.40409
2012,"EN_MAT_DOMCMPC","Albania","NMA",0.36439
2012,"EN_MAT_DOMCMPC","Albania","FOF",0.16285
