Year,SeriesCode,GeoAreaName,Age,Education level,Sex,Value
2014,"FB_BNK_ACCSS_OLF","Kyrgyzstan","15+","","BOTHSEX",13.26001
2017,"FB_BNK_ACCSS_OLF","Kyrgyzstan","15+","","BOTHSEX",32.83601
2021,"FB_BNK_ACCSS_OLF","Kyrgyzstan","15+","","BOTHSEX",38.43134
2011,"FB_BNK_ACCSS_OLF","Latvia","15+","","BOTHSEX",79.13267
2014,"FB_BNK_ACCSS_OLF","Latvia","15+","","BOTHSEX",77.93636
2017,"FB_BNK_ACCSS_OLF","Latvia","15+","","BOTHSEX",85.16068
2021,"FB_BNK_ACCSS_OLF","Latvia","15+","","BOTHSEX",92.83307
2011,"FB_BNK_ACCSS_OLF","Lithuania","15+","","BOTHSEX",53.53973
2014,"FB_BNK_ACCSS_OLF","Lithuania","15+","","BOTHSEX",55.22683
2017,"FB_BNK_ACCSS_OLF","Lithuania","15+","","BOTHSEX",63.56485
2021,"FB_BNK_ACCSS_OLF","Lithuania","15+","","BOTHSEX",86.50912
2011,"FB_BNK_ACCSS_OLF","Luxembourg","15+","","BOTHSEX",91.63826
2014,"FB_BNK_ACCSS_OLF","Luxembourg","15+","","BOTHSEX",93.83595
2017,"FB_BNK_ACCSS_OLF","Luxembourg","15+","","BOTHSEX",96.77826
2011,"FB_BNK_ACCSS_OLF","Malta","15+","","BOTHSEX",93.29142
2014,"FB_BNK_ACCSS_OLF","Malta","15+","","BOTHSEX",94.67278
2017,"FB_BNK_ACCSS_OLF","Malta","15+","","BOTHSEX",95.99545
2021,"FB_BNK_ACCSS_OLF","Malta","15+","","BOTHSEX",94.69704
2011,"FB_BNK_ACCSS_OLF","Mexico","15+","","BOTHSEX",16.70736
2014,"FB_BNK_ACCSS_OLF","Mexico","15+","","BOTHSEX",25.73867
2017,"FB_BNK_ACCSS_OLF","Mexico","15+","","BOTHSEX",25.99456
2011,"FB_BNK_ACCSS_OLF","Republic of Moldova","15+","","BOTHSEX",10.83754
2014,"FB_BNK_ACCSS_OLF","Republic of Moldova","15+","","BOTHSEX",4.68304
2017,"FB_BNK_ACCSS_OLF","Republic of Moldova","15+","","BOTHSEX",43.78565
2021,"FB_BNK_ACCSS_OLF","Republic of Moldova","15+","","BOTHSEX",44.10125
2011,"FB_BNK_ACCSS_OLF","Montenegro","15+","","BOTHSEX",33.71241
2014,"FB_BNK_ACCSS_OLF","Montenegro","15+","","BOTHSEX",45.83846
2017,"FB_BNK_ACCSS_OLF","Montenegro","15+","","BOTHSEX",58.36797
2011,"FB_BNK_ACCSS_OLF","Netherlands (Kingdom of the)","15+","","BOTHSEX",98.32876
2014,"FB_BNK_ACCSS_OLF","Netherlands (Kingdom of the)","15+","","BOTHSEX",99.08033
2017,"FB_BNK_ACCSS_OLF","Netherlands (Kingdom of the)","15+","","BOTHSEX",99.31904
2021,"FB_BNK_ACCSS_OLF","Netherlands (Kingdom of the)","15+","","BOTHSEX",99.23857
2011,"FB_BNK_ACCSS_OLF","New Zealand","15+","","BOTHSEX",98.73132
2014,"FB_BNK_ACCSS_OLF","New Zealand","15+","","BOTHSEX",99.11059
2017,"FB_BNK_ACCSS_OLF","New Zealand","15+","","BOTHSEX",98.07056
2021,"FB_BNK_ACCSS_OLF","New Zealand","15+","","BOTHSEX",97.24171
2014,"FB_BNK_ACCSS_OLF","Norway","15+","","BOTHSEX",100
2017,"FB_BNK_ACCSS_OLF","Norway","15+","","BOTHSEX",99.16561
2021,"FB_BNK_ACCSS_OLF","Norway","15+","","BOTHSEX",98.36501
2011,"FB_BNK_ACCSS_OLF","Poland","15+","","BOTHSEX",52.3745
2014,"FB_BNK_ACCSS_OLF","Poland","15+","","BOTHSEX",62.28894
2017,"FB_BNK_ACCSS_OLF","Poland","15+","","BOTHSEX",67.12283
2021,"FB_BNK_ACCSS_OLF","Poland","15+","","BOTHSEX",91.37944
2011,"FB_BNK_ACCSS_OLF","Portugal","15+","","BOTHSEX",71.54314
2014,"FB_BNK_ACCSS_OLF","Portugal","15+","","BOTHSEX",80.35786
2017,"FB_BNK_ACCSS_OLF","Portugal","15+","","BOTHSEX",87.66882
2021,"FB_BNK_ACCSS_OLF","Portugal","15+","","BOTHSEX",84.36706
2011,"FB_BNK_ACCSS_OLF","Romania","15+","","BOTHSEX",34.73035
2014,"FB_BNK_ACCSS_OLF","Romania","15+","","BOTHSEX",48.56176
2017,"FB_BNK_ACCSS_OLF","Romania","15+","","BOTHSEX",47.83712
2021,"FB_BNK_ACCSS_OLF","Romania","15+","","BOTHSEX",53.90932
2011,"FB_BNK_ACCSS_OLF","Serbia","15+","","BOTHSEX",52.60715
