Year,SeriesCode,GeoAreaName,Education level,Type of skill,Value
2012,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_READ",0.69366
2015,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_READ",0.64297
2015,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_MATH",0.6294
2018,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_MATH",0.59897
2018,"SE_LGP_ACHI","Greece","LOWSEC","SKILL_READ",0.58666
2001,"SE_LGP_ACHI","Hungary","PRIMAR","SKILL_READ",0.87949
2003,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_MATH",0.75174
2003,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_READ",0.5784
2012,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_READ",0.95435
2012,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_MATH",0.98485
2015,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_READ",0.88374
2015,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_MATH",0.91208
2015,"SE_LGP_ACHI","Australia","GRAD23","SKILL_MATH",0.92237
2015,"SE_LGP_ACHI","Australia","PRIMAR","SKILL_MATH",1.12149
2016,"SE_LGP_ACHI","Australia","GRAD23","SKILL_READ",0.9878
2018,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_READ",0.87048
2003,"SE_LGP_ACHI","Hungary","PRIMAR","SKILL_MATH",0.04402
2006,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_READ",0.67179
2006,"SE_LGP_ACHI","Hungary","PRIMAR","SKILL_READ",0.56312
2007,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_MATH",0.74104
2007,"SE_LGP_ACHI","Hungary","PRIMAR","SKILL_MATH",0.51007
2009,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_READ",0.48493
2011,"SE_LGP_ACHI","Hungary","PRIMAR","SKILL_READ",0.57449
2012,"SE_LGP_ACHI","Hungary","LOWSEC","SKILL_READ",0.90345
2018,"SE_LGP_ACHI","Australia","LOWSEC","SKILL_MATH",0.89283
2019,"SE_LGP_ACHI","Australia","PRIMAR","SKILL_MATH",1.09037
2019,"SE_LGP_ACHI","Australia","GRAD23","SKILL_MATH",0.86568
2000,"SE_LGP_ACHI","Austria","LOWSEC","SKILL_MATH",0.62644
