Year,SeriesCode,GeoAreaName,Mode of transportation,Value
2013,"IS_RDP_PORFVOL","Montenegro","SEA",31951
2014,"IS_RDP_PORFVOL","Montenegro","SEA",41442
2015,"IS_RDP_PORFVOL","Montenegro","SEA",45948
2016,"IS_RDP_PORFVOL","Montenegro","SEA",47796
2017,"IS_RDP_PORFVOL","Montenegro","SEA",57524
2018,"IS_RDP_PORFVOL","Montenegro","SEA",23448
2019,"IS_RDP_PORFVOL","Montenegro","SEA",26100
2020,"IS_RDP_PORFVOL","Montenegro","SEA",59553
2010,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",11410060
2011,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",12035600
2012,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",12105136
2013,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",11803800
2014,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",12470000
2015,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",12407000
2016,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",12556000
2017,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",13911000
2018,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",14696000
2019,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",14986800
2020,"IS_RDP_PORFVOL","Netherlands (Kingdom of the)","SEA",14522209
2010,"IS_RDP_PORFVOL","New Zealand","SEA",2330722
2011,"IS_RDP_PORFVOL","New Zealand","SEA",2439005
2012,"IS_RDP_PORFVOL","New Zealand","SEA",2649305
2013,"IS_RDP_PORFVOL","New Zealand","SEA",2867000
2014,"IS_RDP_PORFVOL","New Zealand","SEA",2942741
2015,"IS_RDP_PORFVOL","New Zealand","SEA",3119000
2016,"IS_RDP_PORFVOL","New Zealand","SEA",3161550
2017,"IS_RDP_PORFVOL","New Zealand","SEA",3204100
2018,"IS_RDP_PORFVOL","New Zealand","SEA",3327900
2019,"IS_RDP_PORFVOL","New Zealand","SEA",3229200
2020,"IS_RDP_PORFVOL","New Zealand","SEA",3174304
2010,"IS_RDP_PORFVOL","Norway","SEA",531100
2011,"IS_RDP_PORFVOL","Norway","SEA",561900
2012,"IS_RDP_PORFVOL","Norway","SEA",626525
2013,"IS_RDP_PORFVOL","Norway","SEA",682900
2014,"IS_RDP_PORFVOL","Norway","SEA",735000
2015,"IS_RDP_PORFVOL","Norway","SEA",786500
2016,"IS_RDP_PORFVOL","Norway","SEA",739633
2017,"IS_RDP_PORFVOL","Norway","SEA",763100
2018,"IS_RDP_PORFVOL","Norway","SEA",800802
2019,"IS_RDP_PORFVOL","Norway","SEA",811000
2020,"IS_RDP_PORFVOL","Norway","SEA",808100
