Year,SeriesCode,GeoAreaName,Type of waste treatment,Value
2011,"EN_MWT_TREATV","Armenia","OTHERWM",395500
2012,"EN_MWT_TREATV","Armenia","OTHERWM",408100.006
2012,"EN_MWT_TREATV","Armenia","LANDFIL",408100.006
2012,"EN_MWT_TREATV","Armenia","LANDFILCTL",408100.006
2013,"EN_MWT_TREATV","Armenia","LANDFILCTL",517690.002
2013,"EN_MWT_TREATV","Armenia","LANDFIL",517690.002
2013,"EN_MWT_TREATV","Armenia","OTHERWM",517690.002
2014,"EN_MWT_TREATV","Armenia","LANDFILCTL",517099.976
2014,"EN_MWT_TREATV","Armenia","LANDFIL",517099.976
2014,"EN_MWT_TREATV","Armenia","OTHERWM",517099.976
2015,"EN_MWT_TREATV","Armenia","LANDFIL",492799.988
2015,"EN_MWT_TREATV","Armenia","OTHERWM",492799.988
2015,"EN_MWT_TREATV","Armenia","LANDFILCTL",492799.988
2016,"EN_MWT_TREATV","Armenia","LANDFIL",499700.012
2016,"EN_MWT_TREATV","Armenia","OTHERWM",499700.012
2016,"EN_MWT_TREATV","Armenia","LANDFILCTL",499700.012
2017,"EN_MWT_TREATV","Armenia","OTHERWM",493899.994
2017,"EN_MWT_TREATV","Armenia","LANDFIL",493899.994
2017,"EN_MWT_TREATV","Armenia","LANDFILCTL",493899.994
2018,"EN_MWT_TREATV","Armenia","LANDFIL",469899.994
2018,"EN_MWT_TREATV","Armenia","LANDFILCTL",469899.994
2018,"EN_MWT_TREATV","Armenia","OTHERWM",469899.994
2019,"EN_MWT_TREATV","Armenia","OTHERWM",472799.988
2019,"EN_MWT_TREATV","Armenia","LANDFIL",472799.988
2019,"EN_MWT_TREATV","Armenia","LANDFILCTL",472799.988
2000,"EN_MWT_TREATV","Belgium","INCINRT_EGY",1622000
