Year,SeriesCode,Country,Age,Sex,Value
2008,IC_GEN_MGTL_19ICLS,Canada,,Female,35.99
2009,IC_GEN_MGTL_19ICLS,Canada,,Female,37.01
2010,IC_GEN_MGTL_19ICLS,Canada,,Female,36.76
2011,IC_GEN_MGTL_19ICLS,Canada,,Female,37.1
2012,IC_GEN_MGTL_19ICLS,Canada,,Female,36.43
2003,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,28.76
2004,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,26.7
2005,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,23.77
2006,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,26.76
2007,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,21.17
2008,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,27.52
2009,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,19.0
2010,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,23.91
2011,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,23.42
2012,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,17.98
2013,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,15.01
2013,IC_GEN_MGTL_19ICLS,Canada,,Female,35.78
2014,IC_GEN_MGTL_19ICLS,Canada,,Female,35.52
2015,IC_GEN_MGTL_19ICLS,Canada,,Female,36.25
2017,IC_GEN_MGTL_19ICLS,Canada,,Female,34.54
2018,IC_GEN_MGTL_19ICLS,Canada,,Female,35.08
2019,IC_GEN_MGTL_19ICLS,Canada,,Female,35.28
2020,IC_GEN_MGTL_19ICLS,Canada,,Female,35.82
2021,IC_GEN_MGTL_19ICLS,Canada,,Female,35.59
2000,IC_GEN_MGTL_19ICLS,Chile,,Female,32.59
2002,IC_GEN_MGTL_19ICLS,Chile,,Female,32.72
2003,IC_GEN_MGTL_19ICLS,Chile,,Female,42.66
2014,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,21.96
2015,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,20.58
2016,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,26.55
2017,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,16.97
2018,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,25.52
2019,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,24.78
2020,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,27.63
2021,IC_GEN_MGTL_19ICLS,Luxembourg,,Female,20.6
2011,IC_GEN_MGTL_19ICLS,Malta,,Female,24.22
2012,IC_GEN_MGTL_19ICLS,Malta,,Female,27.07
2013,IC_GEN_MGTL_19ICLS,Malta,,Female,28.41
2006,IC_GEN_MGTL_19ICLS,Chile,,Female,40.19
2009,IC_GEN_MGTL_19ICLS,Chile,,Female,33.32
2010,IC_GEN_MGTL_19ICLS,Chile,,Female,23.79
2011,IC_GEN_MGTL_19ICLS,Chile,,Female,23.56
2012,IC_GEN_MGTL_19ICLS,Chile,,Female,24.0
2013,IC_GEN_MGTL_19ICLS,Chile,,Female,24.98
2014,IC_GEN_MGTL_19ICLS,Chile,,Female,26.94
2015,IC_GEN_MGTL_19ICLS,Chile,,Female,27.41
2016,IC_GEN_MGTL_19ICLS,Chile,,Female,27.39
2017,IC_GEN_MGTL_19ICLS,Chile,,Female,26.45
2018,IC_GEN_MGTL_19ICLS,Chile,,Female,27.26
2019,IC_GEN_MGTL_19ICLS,Chile,,Female,29.88
2020,IC_GEN_MGTL_19ICLS,Chile,,Female,27.37
2021,IC_GEN_MGTL_19ICLS,Chile,,Female,30.37
2017,IC_GEN_MGTL_19ICLS,Costa Rica,,Female,41.05
2018,IC_GEN_MGTL_19ICLS,Costa Rica,,Female,37.14
2019,IC_GEN_MGTL_19ICLS,Costa Rica,,Female,40.46
2021,IC_GEN_MGTL_19ICLS,Costa Rica,,Female,40.24
2014,IC_GEN_MGTL_19ICLS,Malta,,Female,26.33
2015,IC_GEN_MGTL_19ICLS,Malta,,Female,26.69
2016,IC_GEN_MGTL_19ICLS,Malta,,Female,27.56
2017,IC_GEN_MGTL_19ICLS,Malta,,Female,28.71
2018,IC_GEN_MGTL_19ICLS,Malta,,Female,28.9
2019,IC_GEN_MGTL_19ICLS,Malta,,Female,29.94
2020,IC_GEN_MGTL_19ICLS,Malta,,Female,28.22
2021,IC_GEN_MGTL_19ICLS,Malta,,Female,28.88
2006,IC_GEN_MGTL_19ICLS,Moldova,,Female,38.89
2007,IC_GEN_MGTL_19ICLS,Moldova,,Female,40.15
2000,IC_GEN_MGTL_19ICLS,Croatia,,Female,24.66
2001,IC_GEN_MGTL_19ICLS,Croatia,,Female,24.67
2002,IC_GEN_MGTL_19ICLS,Croatia,,Female,27.1
2003,IC_GEN_MGTL_19ICLS,Croatia,,Female,24.59
2004,IC_GEN_MGTL_19ICLS,Croatia,,Female,22.61
2005,IC_GEN_MGTL_19ICLS,Croatia,,Female,24.03
2006,IC_GEN_MGTL_19ICLS,Croatia,,Female,25.64
2007,IC_GEN_MGTL_19ICLS,Croatia,,Female,20.7
2008,IC_GEN_MGTL_19ICLS,Croatia,,Female,25.44
2009,IC_GEN_MGTL_19ICLS,Croatia,,Female,25.15
2010,IC_GEN_MGTL_19ICLS,Croatia,,Female,25.78
2011,IC_GEN_MGTL_19ICLS,Croatia,,Female,23.95
2012,IC_GEN_MGTL_19ICLS,Croatia,,Female,26.05
2013,IC_GEN_MGTL_19ICLS,Croatia,,Female,24.38
2014,IC_GEN_MGTL_19ICLS,Croatia,,Female,23.18
2015,IC_GEN_MGTL_19ICLS,Croatia,,Female,26.67
2016,IC_GEN_MGTL_19ICLS,Croatia,,Female,29.93
2017,IC_GEN_MGTL_19ICLS,Croatia,,Female,29.05
2018,IC_GEN_MGTL_19ICLS,Croatia,,Female,29.98
2019,IC_GEN_MGTL_19ICLS,Croatia,,Female,26.41
2020,IC_GEN_MGTL_19ICLS,Croatia,,Female,28.39
2021,IC_GEN_MGTL_19ICLS,Croatia,,Female,28.77
2000,IC_GEN_MGTL_19ICLS,Cyprus,,Female,14.78
2001,IC_GEN_MGTL_19ICLS,Cyprus,,Female,19.02
2002,IC_GEN_MGTL_19ICLS,Cyprus,,Female,17.55
2003,IC_GEN_MGTL_19ICLS,Cyprus,,Female,17.46
2004,IC_GEN_MGTL_19ICLS,Cyprus,,Female,15.26
2005,IC_GEN_MGTL_19ICLS,Cyprus,,Female,14.76
2006,IC_GEN_MGTL_19ICLS,Cyprus,,Female,16.15
2007,IC_GEN_MGTL_19ICLS,Cyprus,,Female,15.43
2008,IC_GEN_MGTL_19ICLS,Cyprus,,Female,16.12
2009,IC_GEN_MGTL_19ICLS,Cyprus,,Female,12.23
2010,IC_GEN_MGTL_19ICLS,Cyprus,,Female,13.77
2011,IC_GEN_MGTL_19ICLS,Cyprus,,Female,14.99
2012,IC_GEN_MGTL_19ICLS,Cyprus,,Female,15.8
2013,IC_GEN_MGTL_19ICLS,Cyprus,,Female,18.92
2014,IC_GEN_MGTL_19ICLS,Cyprus,,Female,17.33
2015,IC_GEN_MGTL_19ICLS,Cyprus,,Female,22.82
2016,IC_GEN_MGTL_19ICLS,Cyprus,,Female,25.73
2017,IC_GEN_MGTL_19ICLS,Cyprus,,Female,20.69
2018,IC_GEN_MGTL_19ICLS,Cyprus,,Female,16.95
2019,IC_GEN_MGTL_19ICLS,Cyprus,,Female,21.35
2020,IC_GEN_MGTL_19ICLS,Cyprus,,Female,24.18
2021,IC_GEN_MGTL_19ICLS,Cyprus,,Female,21.02
2000,IC_GEN_MGTL_19ICLS,Czechia,,Female,24.85
2001,IC_GEN_MGTL_19ICLS,Czechia,,Female,26.48
2002,IC_GEN_MGTL_19ICLS,Czechia,,Female,25.9
2003,IC_GEN_MGTL_19ICLS,Czechia,,Female,26.87
