Year,SeriesCode,Country,Activity,Sex,Value
2013,SL_ISV_IFEM,Albania,NONAGR,Male,38.62
2013,SL_ISV_IFEM,Albania,TOTAL,Female,63.45
2013,SL_ISV_IFEM,Albania,NONAGR,Both sexes,33.11
2013,SL_ISV_IFEM,Albania,TOTAL,Both sexes,60.98
2013,SL_ISV_IFEM,Albania,ISIC4_A,Both sexes,96.4
2013,SL_ISV_IFEM,Albania,TOTAL,Male,58.95
2013,SL_ISV_IFEM,Albania,ISIC4_A,Male,93.7
2014,SL_ISV_IFEM,Albania,ISIC4_A,Both sexes,99.62
2014,SL_ISV_IFEM,Albania,TOTAL,Female,63.34
2017,SL_ISV_IFEM,Colombia,TOTAL,Female,61.38
2018,SL_ISV_IFEM,Colombia,ISIC4_A,Female,89.55
2018,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,62.42
2018,SL_ISV_IFEM,Colombia,TOTAL,Female,61.14
2018,SL_ISV_IFEM,Colombia,NONAGR,Male,55.8
2018,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,87.7
2018,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,57.24
2018,SL_ISV_IFEM,Colombia,TOTAL,Male,63.32
2018,SL_ISV_IFEM,Colombia,ISIC4_A,Male,87.31
2018,SL_ISV_IFEM,Colombia,NONAGR,Female,58.93
2014,SL_ISV_IFEM,Albania,ISIC4_A,Female,99.72
2014,SL_ISV_IFEM,Albania,NONAGR,Both sexes,40.96
2014,SL_ISV_IFEM,Albania,TOTAL,Male,67.4
2014,SL_ISV_IFEM,Albania,TOTAL,Both sexes,65.63
2014,SL_ISV_IFEM,Albania,ISIC4_A,Male,99.51
2014,SL_ISV_IFEM,Albania,NONAGR,Male,49.12
2014,SL_ISV_IFEM,Albania,NONAGR,Female,27.56
2015,SL_ISV_IFEM,Albania,TOTAL,Male,65.81
2015,SL_ISV_IFEM,Albania,NONAGR,Female,24.4
2015,SL_ISV_IFEM,Albania,ISIC4_A,Male,99.49
2009,SL_ISV_IFEM,Greece,NONAGR,Female,9.03
2009,SL_ISV_IFEM,Greece,NONAGR,Male,4.04
2009,SL_ISV_IFEM,Greece,TOTAL,Female,13.81
2009,SL_ISV_IFEM,Greece,ISIC4_A,Female,50.89
2009,SL_ISV_IFEM,Greece,ISIC4_A,Male,11.92
2009,SL_ISV_IFEM,Greece,NONAGR,Both sexes,6.1
2009,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,27.83
2009,SL_ISV_IFEM,Greece,TOTAL,Male,4.96
2009,SL_ISV_IFEM,Greece,TOTAL,Both sexes,8.62
2015,SL_ISV_IFEM,Albania,NONAGR,Male,46.51
2015,SL_ISV_IFEM,Albania,TOTAL,Female,60.08
2015,SL_ISV_IFEM,Albania,ISIC4_A,Female,99.5
2015,SL_ISV_IFEM,Albania,TOTAL,Both sexes,63.35
2015,SL_ISV_IFEM,Albania,ISIC4_A,Both sexes,99.49
2015,SL_ISV_IFEM,Albania,NONAGR,Both sexes,38.05
2016,SL_ISV_IFEM,Albania,NONAGR,Both sexes,36.35
2016,SL_ISV_IFEM,Albania,TOTAL,Both sexes,61.65
2016,SL_ISV_IFEM,Albania,ISIC4_A,Both sexes,99.55
2016,SL_ISV_IFEM,Albania,NONAGR,Male,43.7
2019,SL_ISV_IFEM,Colombia,TOTAL,Female,61.05
2019,SL_ISV_IFEM,Colombia,NONAGR,Male,55.09
2019,SL_ISV_IFEM,Colombia,ISIC4_A,Female,87.77
2019,SL_ISV_IFEM,Colombia,TOTAL,Male,62.58
2019,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,56.99
2019,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,87.76
2019,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,61.95
2019,SL_ISV_IFEM,Colombia,ISIC4_A,Male,87.75
2019,SL_ISV_IFEM,Colombia,NONAGR,Female,59.23
2021,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,87.98
2016,SL_ISV_IFEM,Albania,TOTAL,Female,58.88
2016,SL_ISV_IFEM,Albania,ISIC4_A,Male,99.53
2016,SL_ISV_IFEM,Albania,TOTAL,Male,63.81
2016,SL_ISV_IFEM,Albania,NONAGR,Female,25.36
2016,SL_ISV_IFEM,Albania,ISIC4_A,Female,99.57
2017,SL_ISV_IFEM,Albania,TOTAL,Both sexes,58.71
2017,SL_ISV_IFEM,Albania,ISIC4_A,Both sexes,99.32
2017,SL_ISV_IFEM,Albania,NONAGR,Both sexes,33.73
2017,SL_ISV_IFEM,Albania,NONAGR,Male,40.75
2017,SL_ISV_IFEM,Albania,TOTAL,Female,55.59
2021,SL_ISV_IFEM,Colombia,ISIC4_A,Female,87.3
2021,SL_ISV_IFEM,Colombia,ISIC4_A,Male,88.12
2021,SL_ISV_IFEM,Colombia,NONAGR,Male,57.93
2021,SL_ISV_IFEM,Colombia,TOTAL,Female,61.21
2021,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,58.55
2021,SL_ISV_IFEM,Colombia,TOTAL,Male,64.57
2021,SL_ISV_IFEM,Colombia,NONAGR,Female,59.36
2021,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,63.24
2011,SL_ISV_IFEM,Costa Rica,TOTAL,Both sexes,37.07
2011,SL_ISV_IFEM,Costa Rica,NONAGR,Female,37.23
2010,SL_ISV_IFEM,Greece,TOTAL,Both sexes,8.62
2010,SL_ISV_IFEM,Greece,ISIC4_A,Female,47.22
2010,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,27.01
2010,SL_ISV_IFEM,Greece,TOTAL,Female,12.76
2010,SL_ISV_IFEM,Greece,NONAGR,Both sexes,6.29
2010,SL_ISV_IFEM,Greece,ISIC4_A,Male,12.13
2010,SL_ISV_IFEM,Greece,NONAGR,Male,4.69
2010,SL_ISV_IFEM,Greece,TOTAL,Male,5.53
2010,SL_ISV_IFEM,Greece,NONAGR,Female,8.42
2017,SL_ISV_IFEM,Albania,NONAGR,Female,23.28
2017,SL_ISV_IFEM,Albania,ISIC4_A,Female,99.5
2017,SL_ISV_IFEM,Albania,TOTAL,Male,61.08
2017,SL_ISV_IFEM,Albania,ISIC4_A,Male,99.16
2018,SL_ISV_IFEM,Albania,TOTAL,Female,54.87
2018,SL_ISV_IFEM,Albania,ISIC4_A,Female,99.35
2018,SL_ISV_IFEM,Albania,NONAGR,Female,22.33
2018,SL_ISV_IFEM,Albania,ISIC4_A,Male,98.38
2018,SL_ISV_IFEM,Albania,NONAGR,Male,41.06
2018,SL_ISV_IFEM,Albania,NONAGR,Both sexes,33.49
2011,SL_ISV_IFEM,Costa Rica,ISIC4_A,Female,81.57
