Year,SeriesCode,Country,Cities,Custom Breakdown,Value
2020,EN_URB_OPENSP,Kazakhstan,KZ_SHYMKENT,,14.5
2020,EN_URB_OPENSP,Kazakhstan,KZ_RYDNYJ,,29.1
2020,EN_URB_OPENSP,Kazakhstan,KZ_SEMEI,,19.8
2020,EN_URB_OPENSP,Kazakhstan,KZ_TARAZ,,24.3
2020,EN_URB_OPENSP,Kazakhstan,KZ_TEMIRTAY,,53.2
2020,EN_URB_OPENSP,Kazakhstan,KZ_TALDYQORGAN,,22.0
2020,EN_URB_OPENSP,Kazakhstan,KZ_TURKISTAN,,32.2
2020,EN_URB_OPENSP,Kazakhstan,KZ_QARAGANDY,,35.4
2020,EN_URB_OPENSP,Kazakhstan,KZ_AQTAY,,42.1
2020,EN_URB_OPENSP,Kazakhstan,KZ_QULSARY,,36.4
2020,EN_URB_OPENSP,Kazakhstan,KZ_ALMATY,,62.5
2020,EN_URB_OPENSP,Kazakhstan,KZ_ASTANA,,26.2
2020,EN_URB_OPENSP,Kazakhstan,KZ_BALQASH,,44.8
2020,EN_URB_OPENSP,Kazakhstan,KZ_AQTOBE,,44.8
2020,EN_URB_OPENSP,Kazakhstan,KZ_ORAL,,33.3
2020,EN_URB_OPENSP,Republic of Korea,KR_BUSAN,,48.7
2020,EN_URB_OPENSP,Republic of Korea,KR_CHEONAN,,31.2
2020,EN_URB_OPENSP,Republic of Korea,KR_GWANGJU,,65.4
2020,EN_URB_OPENSP,Republic of Korea,KR_JINJU,,38.4
2020,EN_URB_OPENSP,Republic of Korea,KR_SEOUL,,48.8
2020,EN_URB_OPENSP,Kyrgyzstan,KG_OS,,46.3
2020,EN_URB_OPENSP,Kyrgyzstan,KG_KYZYL_KYJA,,62.0
2020,EN_URB_OPENSP,Kyrgyzstan,KG_OZGON,,96.1
2020,EN_URB_OPENSP,Kyrgyzstan,KG_TALAS,,71.2
2020,EN_URB_OPENSP,Kyrgyzstan,KG_NARYN,,89.1
2020,EN_URB_OPENSP,Kyrgyzstan,KG_TOKMOK,,66.7
2020,EN_URB_OPENSP,Kyrgyzstan,KG_ZALAL_ABAT,,48.6
2020,EN_URB_OPENSP,Mexico,MX_QUE_SAN_JUAN_DEL_RIO,,71.8
2020,EN_URB_OPENSP,Mexico,MX_SON_SAN_LUIS_RIO_COLORADO,,26.7
2020,EN_URB_OPENSP,Mexico,MX_PUE_TEHUACAN,,64.3
2020,EN_URB_OPENSP,Mexico,MX_BCN_TIJUANA,,51.9
2020,EN_URB_OPENSP,Mexico,MX_VER_VERACRUZ,,52.5
2020,EN_URB_OPENSP,Mexico,MX_TAM_REYNOSA,,27.8
2020,EN_URB_OPENSP,Mexico,MX_COA_SALTILLO,,52.0
2020,EN_URB_OPENSP,Mexico,MX_TAB_VILLAHERMOSA,,89.6
2020,EN_URB_OPENSP,Mexico,MX_VER_XALAPA,,60.3
2020,EN_URB_OPENSP,Mexico,MX_TAM_RIO_BRAVO,,81.9
2020,EN_URB_OPENSP,Mexico,MX_MIC_APATZINGAN,,53.8
2020,EN_URB_OPENSP,Mexico,MX_PUE_PUEBLA,,33.2
2020,EN_URB_OPENSP,Netherlands (Kingdom of the),NL_ZWOLLE,,91.9
2020,EN_URB_OPENSP,New Zealand,NZ_CHRISTCHURCH,,83.4
2020,EN_URB_OPENSP,New Zealand,NZ_NAPIER,,90.3
2020,EN_URB_OPENSP,New Zealand,NZ_LOWER_HUTT,,78.1
2020,EN_URB_OPENSP,New Zealand,NZ_HAMILTON,,86.4
2020,EN_URB_OPENSP,New Zealand,NZ_DUNEDIN,,76.8
2020,EN_URB_OPENSP,New Zealand,NZ_AUCKLAND,,88.4
2020,EN_URB_OPENSP,New Zealand,NZ_TAURANGA,,83.9
2020,EN_URB_OPENSP,New Zealand,NZ_WELLINGTON,,82.5
2020,EN_URB_OPENSP,New Zealand,NZ_PALMERSTON,,87.1
2018,EN_URB_OPENSP,Norway,NO_ALESUND,,64.0
2018,EN_URB_OPENSP,Norway,NO_DRAMMEN,,52.0
2018,EN_URB_OPENSP,Norway,NO_BERGEN,,58.0
2018,EN_URB_OPENSP,Norway,NO_FREDRIKSTAD_SARPSBORG,,53.0
2018,EN_URB_OPENSP,Norway,NO_KRISTIANSAND,,57.0
2018,EN_URB_OPENSP,Norway,NO_OSLO,,56.0
2018,EN_URB_OPENSP,Norway,NO_PORSGRUNN_SKIEN,,57.0
2018,EN_URB_OPENSP,Norway,NO_TRONDHEIM,,71.0
2018,EN_URB_OPENSP,Norway,NO_STAVANGER,,55.0
2018,EN_URB_OPENSP,Norway,NO_TONSBERG,,46.0
2020,EN_URB_OPENSP,Poland,PL_POZNAN,,61.6
2020,EN_URB_OPENSP,Poland,PL_WARSZAWA,,64.8
2020,EN_URB_OPENSP,Poland,PL_WROCLAW,,56.0
2020,EN_URB_OPENSP,Poland,PL_MIELEC,,52.3
2020,EN_URB_OPENSP,Poland,PL_LUBLIN,,49.1
2020,EN_URB_OPENSP,Poland,PL_LODZ,,49.4
2020,EN_URB_OPENSP,Poland,PL_KATOWICE,,70.8
2020,EN_URB_OPENSP,Poland,PL_LOMZA,,67.1
2020,EN_URB_OPENSP,Romania,RO_ARAD,,51.5
2020,EN_URB_OPENSP,Romania,RO_BUCURESTI,,54.1
2020,EN_URB_OPENSP,Romania,RO_NAVODARI,,19.6
2020,EN_URB_OPENSP,Romania,RO_REGHIN,,48.8
2020,EN_URB_OPENSP,Romania,RO_MANGALIA,,66.8
2020,EN_URB_OPENSP,Romania,RO_CAMPIA_TURZII,,50.2
2020,EN_URB_OPENSP,Romania,RO_CRAIOVA,,60.6
2020,EN_URB_OPENSP,Romania,RO_TARGU_JIU,,36.3
2020,EN_URB_OPENSP,Romania,RO_FALTICENI,,44.5
2020,EN_URB_OPENSP,Serbia,RS_BEOGRAD,,63.8
2020,EN_URB_OPENSP,Serbia,RS_ZRENJANIN,,48.3
2020,EN_URB_OPENSP,Serbia,RS_POZAREVAC,,37.6
2020,EN_URB_OPENSP,Serbia,RS_BORCA,,36.8
2020,EN_URB_OPENSP,Serbia,RS_NIS,,57.2
2020,EN_URB_OPENSP,Serbia,RS_NOVI_PAZAR,,73.2
2020,EN_URB_OPENSP,Serbia,RS_NOVI_SAD,,52.9
2020,EN_URB_OPENSP,Serbia,RS_KIKINDA,,17.7
2020,EN_URB_OPENSP,Serbia,RS_KRAGUJEVAC,,45.0
2020,EN_URB_OPENSP,Viet Nam,VN_THANH_PHO_HO_CHI_MINH,,30.4
2020,EN_URB_OPENSP,Viet Nam,VN_VINH_LONG,,6.7
2020,EN_URB_OPENSP,Spain,ES_MADRID,,63.1
2020,EN_URB_OPENSP,Switzerland,CH_NEUCHATEL,,70.1
2020,EN_URB_OPENSP,Switzerland,CH_LAUSANNE,,76.9
2020,EN_URB_OPENSP,Switzerland,CH_BERN,,77.1
2020,EN_URB_OPENSP,Switzerland,CH_BASEL,,81.8
2020,EN_URB_OPENSP,Switzerland,CH_WETZIKON,,85.4
2020,EN_URB_OPENSP,Switzerland,CH_WINTERTHUR,,81.9
2020,EN_URB_OPENSP,Switzerland,CH_FRIBOURG,,80.3
2020,EN_URB_OPENSP,Switzerland,CH_EMMEN,,87.8
2020,EN_URB_OPENSP,Switzerland,CH_ST_GALLEN,,82.9
2020,EN_URB_OPENSP,Switzerland,CH_ZURICH,,67.6
2020,EN_URB_OPENSP,Tajikistan,TJ_KONIBODOM,,51.4
2020,EN_URB_OPENSP,Tajikistan,TJ_KHOROG,,83.4
2020,EN_URB_OPENSP,Tajikistan,TJ_ISFARA,,54.8
2020,EN_URB_OPENSP,Tajikistan,TJ_BOKHTAR,,60.8
2020,EN_URB_OPENSP,Tajikistan,TJ_DUSANBE,,38.7
2020,EN_URB_OPENSP,Tajikistan,TJ_KULOB,,42.7
2020,EN_URB_OPENSP,Tajikistan,TJ_NORAK,,51.6
2020,EN_URB_OPENSP,Tajikistan,TJ_PANCAKENT,,41.0
2020,EN_URB_OPENSP,Tajikistan,TJ_TURSUNZODA,,30.5
2020,EN_URB_OPENSP,Tajikistan,TJ_VAHDAT,,38.9
2020,EN_URB_OPENSP,Tajikistan,TJ_ISTARAVSAN,,40.4
2020,EN_URB_OPENSP,Tajikistan,TJ_KHUJAND,,56.5
2020,EN_URB_OPENSP,Tajikistan,TJ_BUSTON,,86.8
2020,EN_URB_OPENSP,United Arab Emirates,AE_AL_FUJAYRAH,,82.3
2020,EN_URB_OPENSP,United Arab Emirates,AE_ABU_ZABY,,37.6
2020,EN_URB_OPENSP,United Arab Emirates,AE_AL_AYN,,41.3
2020,EN_URB_OPENSP,United Arab Emirates,AE_DUBAYY,,40.6
2020,EN_URB_OPENSP,United Arab Emirates,AE_RAS_AL_KHAYMAH,,66.1
2020,EN_URB_OPENSP,Türkiye,TR_BALIKESIR,,90.3
2020,EN_URB_OPENSP,Türkiye,TR_ADIYAMAN,,84.6
2020,EN_URB_OPENSP,Türkiye,TR_AGRI,,70.6
2020,EN_URB_OPENSP,Türkiye,TR_ANKARA,,76.8
2020,EN_URB_OPENSP,Türkiye,TR_BURSA,,70.7
2020,EN_URB_OPENSP,Türkiye,TR_ANTALYA,,69.8
2020,EN_URB_OPENSP,Türkiye,TR_VIRANSEHIR,,84.1
2020,EN_URB_OPENSP,Türkiye,TR_NIGDE,,71.5
2020,EN_URB_OPENSP,Türkiye,TR_SAMSUN,,71.2
2020,EN_URB_OPENSP,Türkiye,TR_SANLIURFA,,83.8
2020,EN_URB_OPENSP,Türkiye,TR_TARSUS,,70.3
2020,EN_URB_OPENSP,Türkiye,TR_UZUNKOPRU,,67.2
2020,EN_URB_OPENSP,Türkiye,TR_CARSAMBA,,77.3
2020,EN_URB_OPENSP,Türkiye,TR_CERKEZKOY,,69.2
2020,EN_URB_OPENSP,Türkiye,TR_ELBISTAN,,60.6
2020,EN_URB_OPENSP,Türkiye,TR_IZMIR,,68.9
2020,EN_URB_OPENSP,Türkiye,TR_CORUM,,80.3
2020,EN_URB_OPENSP,Türkiye,TR_DENIZLI,,76.7
2020,EN_URB_OPENSP,Türkiye,TR_MALATYA,,58.8
2020,EN_URB_OPENSP,Türkiye,TR_KONYA,,65.3
