Year,SeriesCode,Country,Age,Disability status,Population Group,Sex,Type of occupation,Value
2019,SG_DMK_JDC,Mexico,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.43
2019,SG_DMK_JDC,Mexico,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.36
2020,SG_DMK_JDC,Mexico,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.76
2020,SG_DMK_JDC,Mexico,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.41
2020,SG_DMK_JDC,Mexico,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.3
2019,SG_DMK_JDC,Moldova,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.61
2019,SG_DMK_JDC,Moldova,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.99
2019,SG_DMK_JDC,Moldova,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,2.03
2019,SG_DMK_JDC,Moldova,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,1.17
2019,SG_DMK_JDC,Moldova,ALLAGE,Persons with disability,TOTAL,Both sexes,REGISTRARS,0.03
2019,SG_DMK_JDC,Moldova,ALLAGE,Persons with disability,TOTAL,Both sexes,JUDGES,0.04
2021,SG_DMK_JDC,Moldova,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,2.01
2021,SG_DMK_JDC,Moldova,ALLAGE,Persons with disability,TOTAL,Both sexes,REGISTRARS,0.03
2021,SG_DMK_JDC,Moldova,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.96
2021,SG_DMK_JDC,Moldova,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.62
2021,SG_DMK_JDC,Moldova,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,1.08
2021,SG_DMK_JDC,Moldova,ALLAGE,Persons with disability,TOTAL,Both sexes,JUDGES,0.04
2020,SG_DMK_JDC,Norway,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.22
2020,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,POP_B,Both sexes,REGISTRARS,0.46
2020,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.12
2020,SG_DMK_JDC,Norway,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.67
2020,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,POP_A,Both sexes,REGISTRARS,1.13
2020,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,POP_A,Both sexes,JUDGES,1.11
2020,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,POP_B,Both sexes,JUDGES,0.54
2020,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.94
2021,SG_DMK_JDC,Norway,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.64
2021,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,POP_A,Both sexes,REGISTRARS,1.1
2021,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.96
2021,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,POP_A,Both sexes,JUDGES,1.11
2021,SG_DMK_JDC,Norway,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.19
