Year,SeriesCode,Страна ,Level_of_government,Value
2020,GB_XPD_CULNAT_PV,Luxembourg,_T,3.51348
2021,GB_XPD_CULNAT_PV,Luxembourg,_T,5.28657
2020,GB_XPD_CULNAT_PV,Malta,_T,140.40001
2018,GB_XPD_CULNAT_PV,Mexico,_T,3.71845
2019,GB_XPD_CULNAT_PV,Mexico,_T,3.26718
2020,GB_XPD_CULNAT_PV,Mexico,_T,1.84118
2021,GB_XPD_CULNAT_PV,Mexico,_T,2.21538
2020,GB_XPD_CULNAT_PV,Norway,_T,1.94013
2021,GB_XPD_CULNAT_PV,Norway,_T,1.29578
2019,GB_XPD_CULNAT_PV,Poland,_T,32.78944
2020,GB_XPD_CULNAT_PV,Poland,_T,31.91514
2021,GB_XPD_CULNAT_PV,Poland,_T,25.48585
2018,GB_XPD_CULNAT_PV,Portugal,_T,18.67804
2019,GB_XPD_CULNAT_PV,Portugal,_T,19.87684
2020,GB_XPD_CULNAT_PV,Portugal,_T,7.64429
2017,GB_XPD_CULNAT_PV,Spain,_T,27.66104
2018,GB_XPD_CULNAT_PV,Spain,_T,30.44706
2019,GB_XPD_CULNAT_PV,Spain,_T,32.84265
2020,GB_XPD_CULNAT_PV,Spain,_T,14.77883
2018,GB_XPD_CULNAT_PV,Sweden,_T,23.13189
2019,GB_XPD_CULNAT_PV,Sweden,_T,22.60368
2020,GB_XPD_CULNAT_PV,Sweden,_T,16.68971
2021,GB_XPD_CULNAT_PV,Sweden,_T,21.29711
2018,GB_XPD_CULNAT_PV,Switzerland,_T,25.69757
2019,GB_XPD_CULNAT_PV,Switzerland,_T,27.20581
2020,GB_XPD_CULNAT_PV,Switzerland,_T,13.15573
2020,GB_XPD_CULNAT_PBPV,Australia,_T,55.81359
2019,GB_XPD_CULNAT_PBPV,Bosnia and Herzegovina,_T,51.59243
2020,GB_XPD_CULNAT_PBPV,Bosnia and Herzegovina,_T,49.54558
2021,GB_XPD_CULNAT_PBPV,Bosnia and Herzegovina,_T,52.31117
2019,GB_XPD_CULNAT_PBPV,Belarus,_T,72.66149
2018,GB_XPD_CULNAT_PBPV,Colombia,_T,74.21338
2019,GB_XPD_CULNAT_PBPV,Colombia,_T,133.13737
2020,GB_XPD_CULNAT_PBPV,Colombia,_T,79.73568
2018,GB_XPD_CULNAT_PBPV,Czechia,_T,175.71341
2019,GB_XPD_CULNAT_PBPV,Czechia,_T,169.97732
2020,GB_XPD_CULNAT_PBPV,Czechia,_T,160.64985
2019,GB_XPD_CULNAT_PBPV,Denmark,_T,217.78765
2020,GB_XPD_CULNAT_PBPV,Denmark,_T,216.36692
2017,GB_XPD_CULNAT_PBPV,Finland,_T,197.06155
2018,GB_XPD_CULNAT_PBPV,Finland,_T,201.51146
2019,GB_XPD_CULNAT_PBPV,Finland,_T,196.90304
2020,GB_XPD_CULNAT_PBPV,Finland,_T,213.8249
2018,GB_XPD_CULNAT_PBPV,France,_T,116.09027
2019,GB_XPD_CULNAT_PBPV,France,_T,129.62145
2020,GB_XPD_CULNAT_PBPV,France,_T,151.77084
2020,GB_XPD_CULNAT_PBPV,Georgia,_T,8.67626
2021,GB_XPD_CULNAT_PBPV,Georgia,_T,14.62344
2020,GB_XPD_CULNAT_PBPV,Greece,_T,10.75492
2019,GB_XPD_CULNAT_PBPV,Israel,_T,56.72607
2020,GB_XPD_CULNAT_PBPV,Israel,_T,45.76663
2020,GB_XPD_CULNAT_PBPV,Luxembourg,_T,205.28742
2021,GB_XPD_CULNAT_PBPV,Luxembourg,_T,220.75448
2020,GB_XPD_CULNAT_PBPV,Malta,_T,516.64742
2018,GB_XPD_CULNAT_PBPV,Mexico,_T,16.86174
2019,GB_XPD_CULNAT_PBPV,Mexico,_T,13.64489
2020,GB_XPD_CULNAT_PBPV,Mexico,_T,10.30217
2021,GB_XPD_CULNAT_PBPV,Mexico,_T,11.54177
2020,GB_XPD_CULNAT_PBPV,Norway,_T,23.75277
2021,GB_XPD_CULNAT_PBPV,Norway,_T,22.56032
2019,GB_XPD_CULNAT_PBPV,Poland,_T,104.38648
2020,GB_XPD_CULNAT_PBPV,Poland,_T,99.12304
2021,GB_XPD_CULNAT_PBPV,Poland,_T,94.40208
2018,GB_XPD_CULNAT_PBPV,Portugal,_T,50.50849
2019,GB_XPD_CULNAT_PBPV,Portugal,_T,51.39418
2020,GB_XPD_CULNAT_PBPV,Portugal,_T,41.99593
2017,GB_XPD_CULNAT_PBPV,Spain,_T,71.19094
2018,GB_XPD_CULNAT_PBPV,Spain,_T,74.23995
2019,GB_XPD_CULNAT_PBPV,Spain,_T,79.76633
2020,GB_XPD_CULNAT_PBPV,Spain,_T,61.71669
2018,GB_XPD_CULNAT_PBPV,Sweden,_T,108.33964
2019,GB_XPD_CULNAT_PBPV,Sweden,_T,95.37388
2020,GB_XPD_CULNAT_PBPV,Sweden,_T,97.73471
2021,GB_XPD_CULNAT_PBPV,Sweden,_T,130.31396
2018,GB_XPD_CULNAT_PBPV,Switzerland,_T,187.17923
2019,GB_XPD_CULNAT_PBPV,Switzerland,_T,198.18259
2020,GB_XPD_CULNAT_PBPV,Switzerland,_T,195.06636
2020,GB_XPD_CUL_PBPV,Australia,_T,43.0599
2019,GB_XPD_CUL_PBPV,Bosnia and Herzegovina,_T,48.91657
2020,GB_XPD_CUL_PBPV,Bosnia and Herzegovina,_T,46.65249
2021,GB_XPD_CUL_PBPV,Bosnia and Herzegovina,_T,49.27899
2019,GB_XPD_CUL_PBPV,Belarus,_T,72.1187
2018,GB_XPD_CUL_PBPV,Colombia,_T,1.52053
2019,GB_XPD_CUL_PBPV,Colombia,_T,1.54436
2020,GB_XPD_CUL_PBPV,Colombia,_T,1.08632
2018,GB_XPD_CUL_PBPV,Czechia,_T,175.71341
2019,GB_XPD_CUL_PBPV,Czechia,_T,169.97732
2020,GB_XPD_CUL_PBPV,Czechia,_T,160.64985
2019,GB_XPD_CUL_PBPV,Denmark,_T,165.73666
2020,GB_XPD_CUL_PBPV,Denmark,_T,152.75541
2017,GB_XPD_CUL_PBPV,Finland,_T,194.54051
2018,GB_XPD_CUL_PBPV,Finland,_T,194.99073
2019,GB_XPD_CUL_PBPV,Finland,_T,186.78469
2020,GB_XPD_CUL_PBPV,Finland,_T,208.00654
2018,GB_XPD_CUL_PBPV,France,_T,89.63983
2019,GB_XPD_CUL_PBPV,France,_T,102.00467
2020,GB_XPD_CUL_PBPV,France,_T,110.67548
2020,GB_XPD_CUL_PBPV,Georgia,_T,8.67626
2021,GB_XPD_CUL_PBPV,Georgia,_T,4.51852
2020,GB_XPD_CUL_PBPV,Greece,_T,10.75492
2019,GB_XPD_CUL_PBPV,Israel,_T,56.72607
2020,GB_XPD_CUL_PBPV,Israel,_T,45.76663
2020,GB_XPD_CUL_PBPV,Luxembourg,_T,177.84884
2021,GB_XPD_CUL_PBPV,Luxembourg,_T,188.71464
2020,GB_XPD_CUL_PBPV,Malta,_T,231.63667
2020,GB_XPD_CUL_PBPV,Netherlands (Kingdom of the),_T,72.45453
2020,GB_XPD_CUL_PBPV,Norway,_T,23.75277
2021,GB_XPD_CUL_PBPV,Norway,_T,22.56032
2017,GB_XPD_CUL_PBPV,Spain,_T,61.6145
2018,GB_XPD_CUL_PBPV,Spain,_T,63.94991
2019,GB_XPD_CUL_PBPV,Spain,_T,69.13332
2020,GB_XPD_CUL_PBPV,Spain,_T,57.80195
2018,GB_XPD_CUL_PBPV,Sweden,_T,69.09311
2019,GB_XPD_CUL_PBPV,Sweden,_T,66.13996
2020,GB_XPD_CUL_PBPV,Sweden,_T,68.9058
2021,GB_XPD_CUL_PBPV,Sweden,_T,69.98344
2018,GB_XPD_CUL_PBPV,Switzerland,_T,110.15043
2019,GB_XPD_CUL_PBPV,Switzerland,_T,116.52291
2020,GB_XPD_CUL_PBPV,Switzerland,_T,104.8226
2020,GB_XPD_NAT_PBPV,Australia,_T,12.7537
2019,GB_XPD_NAT_PBPV,Bosnia and Herzegovina,_T,2.67585
2020,GB_XPD_NAT_PBPV,Bosnia and Herzegovina,_T,2.89309
2021,GB_XPD_NAT_PBPV,Bosnia and Herzegovina,_T,3.03219
2019,GB_XPD_NAT_PBPV,Belarus,_T,0.5428
2018,GB_XPD_NAT_PBPV,Colombia,_T,72.69286
2019,GB_XPD_NAT_PBPV,Colombia,_T,131.59301
2020,GB_XPD_NAT_PBPV,Colombia,_T,78.64936
2019,GB_XPD_NAT_PBPV,Denmark,_T,52.051
2020,GB_XPD_NAT_PBPV,Denmark,_T,63.61151
2017,GB_XPD_NAT_PBPV,Finland,_T,2.52104
2018,GB_XPD_NAT_PBPV,Finland,_T,6.52073
2019,GB_XPD_NAT_PBPV,Finland,_T,10.11835
2020,GB_XPD_NAT_PBPV,Finland,_T,5.81836
2018,GB_XPD_NAT_PBPV,France,_T,26.45044
2019,GB_XPD_NAT_PBPV,France,_T,27.61678
2020,GB_XPD_NAT_PBPV,France,_T,41.09536
2021,GB_XPD_NAT_PBPV,Georgia,_T,10.10492
2020,GB_XPD_NAT_PBPV,Luxembourg,_T,27.43858
2021,GB_XPD_NAT_PBPV,Luxembourg,_T,32.03984
2020,GB_XPD_NAT_PBPV,Malta,_T,144.61074
2017,GB_XPD_NAT_PBPV,Spain,_T,9.57644
2018,GB_XPD_NAT_PBPV,Spain,_T,10.29004
2019,GB_XPD_NAT_PBPV,Spain,_T,10.63301
