Year,SeriesCode,Страна ,Age,Disability status,Population Group,Sex,Type of occupation,Value
2020,SG_DMK_JDC,Finland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.55
2020,SG_DMK_JDC,Finland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.92
2020,SG_DMK_JDC,Finland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.65
2020,SG_DMK_JDC,Finland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.23
2019,SG_DMK_JDC,Germany,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.93
2020,SG_DMK_JDC,Greece,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.45
2021,SG_DMK_JDC,Israel,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.28
2021,SG_DMK_JDC,Israel,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.39
2021,SG_DMK_JDC,Israel,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,0.33
2021,SG_DMK_JDC,Israel,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.04
2021,SG_DMK_JDC,Israel,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,0.43
2021,SG_DMK_JDC,Israel,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.21
2022,SG_DMK_JDC,Israel,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.06
2022,SG_DMK_JDC,Israel,ALLAGE,_T,POP_A,BOTHSEX,REGISTRARS,0.47
2022,SG_DMK_JDC,Israel,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.41
2022,SG_DMK_JDC,Israel,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.27
2022,SG_DMK_JDC,Israel,ALLAGE,_T,POP_A,BOTHSEX,JUDGES,0.32
2022,SG_DMK_JDC,Israel,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.27
2020,SG_DMK_JDC,Japan,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.75
2020,SG_DMK_JDC,Japan,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.83
2020,SG_DMK_JDC,Japan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,0.72
