Year,Черта бедности,Страна ,Value
2008,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.2
2008,"3,65$ в день (ППС 2017) LMIC",Belarus,1.7
2008,"6,85$ в день (ППС 2017) UMIC",Belarus,16.4
2009,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.1
2009,"3,65$ в день (ППС 2017) LMIC",Belarus,1.8
2009,"6,85$ в день (ППС 2017) UMIC",Belarus,15.6
2010,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2010,"3,65$ в день (ППС 2017) LMIC",Belarus,0.9
2010,"6,85$ в день (ППС 2017) UMIC",Belarus,11.8
2011,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2011,"3,65$ в день (ППС 2017) LMIC",Belarus,0.6
2011,"6,85$ в день (ППС 2017) UMIC",Belarus,10.0
2012,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2012,"3,65$ в день (ППС 2017) LMIC",Belarus,0.1
2012,"6,85$ в день (ППС 2017) UMIC",Belarus,5.9
2013,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2013,"3,65$ в день (ППС 2017) LMIC",Belarus,0.1
2013,"6,85$ в день (ППС 2017) UMIC",Belarus,3.4
2014,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2014,"3,65$ в день (ППС 2017) LMIC",Belarus,0.1
2014,"6,85$ в день (ППС 2017) UMIC",Belarus,3.2
2015,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2015,"3,65$ в день (ППС 2017) LMIC",Belarus,0.1
2015,"6,85$ в день (ППС 2017) UMIC",Belarus,4.1
2016,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2016,"3,65$ в день (ППС 2017) LMIC",Belarus,0.1
2016,"6,85$ в день (ППС 2017) UMIC",Belarus,4.6
2017,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2017,"3,65$ в день (ППС 2017) LMIC",Belarus,0.1
2017,"6,85$ в день (ППС 2017) UMIC",Belarus,3.3
2018,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2018,"3,65$ в день (ППС 2017) LMIC",Belarus,0.1
2018,"6,85$ в день (ППС 2017) UMIC",Belarus,1.9
2019,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2019,"3,65$ в день (ППС 2017) LMIC",Belarus,0.0
2019,"6,85$ в день (ППС 2017) UMIC",Belarus,2.4
2020,"2,15$ в день (ППС 2017) доллар-в-день",Belarus,0.0
2020,"3,65$ в день (ППС 2017) LMIC",Belarus,0.1
2020,"6,85$ в день (ППС 2017) UMIC",Belarus,1.3
