Year,SeriesCode,Country,Hazard type,Value
2014,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,32
2015,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,80
2016,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,44
2017,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,62
2018,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,88
2019,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,41
2020,VC_DSR_MMHN,United Kingdom of Great Britain and Northern Ireland,,110
2019,VC_DSR_MMHN,Uzbekistan,,2
2018,VC_DSR_MMHN,Colombia,,483
2019,VC_DSR_MMHN,Colombia,,422
2020,VC_DSR_MMHN,Colombia,,177
2021,VC_DSR_MMHN,Colombia,,68
2005,VC_DSR_MMHN,Costa Rica,,9
2006,VC_DSR_MMHN,Costa Rica,,7
2007,VC_DSR_MMHN,Costa Rica,,32
2008,VC_DSR_MMHN,Costa Rica,,12
2009,VC_DSR_MMHN,Costa Rica,,35
2010,VC_DSR_MMHN,Costa Rica,,42
2011,VC_DSR_MMHN,Costa Rica,,11
2012,VC_DSR_MMHN,Costa Rica,,17
2013,VC_DSR_MMHN,Costa Rica,,12
2014,VC_DSR_MMHN,Costa Rica,,12
2015,VC_DSR_MMHN,Costa Rica,,8
2016,VC_DSR_MMHN,Costa Rica,,19
2017,VC_DSR_MMHN,Costa Rica,,22
2018,VC_DSR_MMHN,Costa Rica,,5
2019,VC_DSR_MMHN,Costa Rica,,6
2020,VC_DSR_MMHN,Costa Rica,,2352
2021,VC_DSR_MMHN,Costa Rica,,5175
2017,VC_DSR_MMHN,Croatia,,25
2005,VC_DSR_MMHN,Cyprus,,1
2006,VC_DSR_MMHN,Cyprus,,1
2007,VC_DSR_MMHN,Cyprus,,0
2008,VC_DSR_MMHN,Cyprus,,1
2009,VC_DSR_MMHN,Cyprus,,1
2010,VC_DSR_MMHN,Cyprus,,0
2011,VC_DSR_MMHN,Cyprus,,13
2012,VC_DSR_MMHN,Cyprus,,0
2013,VC_DSR_MMHN,Cyprus,,1
2014,VC_DSR_MMHN,Cyprus,,0
2015,VC_DSR_MMHN,Cyprus,,0
2016,VC_DSR_MMHN,Cyprus,,2
2017,VC_DSR_MMHN,Cyprus,,0
2018,VC_DSR_MMHN,Cyprus,,1
2019,VC_DSR_MMHN,Cyprus,,17
2020,VC_DSR_MMHN,Cyprus,,153
2021,VC_DSR_MMHN,Cyprus,,590
2015,VC_DSR_MMHN,Czechia,,2
2016,VC_DSR_MMHN,Czechia,,1
2017,VC_DSR_MMHN,Czechia,,9
2018,VC_DSR_MMHN,Czechia,,2
2015,VC_DSR_MMHN,Denmark,,0
2016,VC_DSR_MMHN,Denmark,,0
2017,VC_DSR_MMHN,Denmark,,0
2018,VC_DSR_MMHN,Denmark,,0
2019,VC_DSR_MMHN,Denmark,,0
2020,VC_DSR_MMHN,Denmark,,1337
2005,VC_DSR_MMHN,Estonia,,15
2006,VC_DSR_MMHN,Estonia,,0
2007,VC_DSR_MMHN,Estonia,,0
2008,VC_DSR_MMHN,Estonia,,0
2009,VC_DSR_MMHN,Estonia,,0
2010,VC_DSR_MMHN,Estonia,,0
2011,VC_DSR_MMHN,Estonia,,10
2012,VC_DSR_MMHN,Estonia,,0
2013,VC_DSR_MMHN,Estonia,,0
2014,VC_DSR_MMHN,Estonia,,0
2015,VC_DSR_MMHN,Estonia,,0
2016,VC_DSR_MMHN,Estonia,,0
2017,VC_DSR_MMHN,Estonia,,0
2018,VC_DSR_MMHN,Estonia,,0
2005,VC_DSR_MMHN,Finland,,22
2006,VC_DSR_MMHN,Finland,,6
2007,VC_DSR_MMHN,Finland,,17
2008,VC_DSR_MMHN,Finland,,18
2009,VC_DSR_MMHN,Finland,,6
2010,VC_DSR_MMHN,Finland,,11
2011,VC_DSR_MMHN,Finland,,3
2012,VC_DSR_MMHN,Finland,,0
2013,VC_DSR_MMHN,Finland,,3
2014,VC_DSR_MMHN,Finland,,19
2015,VC_DSR_MMHN,Finland,,1
2016,VC_DSR_MMHN,Finland,,3
2017,VC_DSR_MMHN,Finland,,0
2018,VC_DSR_MMHN,Finland,,4
2019,VC_DSR_MMHN,Finland,,0
2016,VC_DSR_MMHN,France,,760
2017,VC_DSR_MMHN,France,,550
2018,VC_DSR_MMHN,France,,1576
2005,VC_DSR_MMHN,Georgia,,45
2006,VC_DSR_MMHN,Georgia,,60
2007,VC_DSR_MMHN,Georgia,,74
2008,VC_DSR_MMHN,Georgia,,84
2009,VC_DSR_MMHN,Georgia,,68
2010,VC_DSR_MMHN,Georgia,,54
2011,VC_DSR_MMHN,Georgia,,60
2012,VC_DSR_MMHN,Georgia,,54
2013,VC_DSR_MMHN,Georgia,,59
2014,VC_DSR_MMHN,Georgia,,80
2015,VC_DSR_MMHN,Georgia,,106
2016,VC_DSR_MMHN,Georgia,,59
2017,VC_DSR_MMHN,Georgia,,8
2018,VC_DSR_MMHN,Georgia,,2
2019,VC_DSR_MMHN,Georgia,,57
2020,VC_DSR_MMHN,Georgia,,2516
2021,VC_DSR_MMHN,Georgia,,11395
2020,VC_DSR_MMHN,Hungary,,0
2021,VC_DSR_MMHN,Hungary,,0
2005,VC_DSR_MMHN,India,,8230
2006,VC_DSR_MMHN,India,,5662
2007,VC_DSR_MMHN,India,,8340
2008,VC_DSR_MMHN,India,,7341
2009,VC_DSR_MMHN,India,,6148
2010,VC_DSR_MMHN,India,,7489
2011,VC_DSR_MMHN,India,,6165
2012,VC_DSR_MMHN,India,,5812
2013,VC_DSR_MMHN,India,,10901
2014,VC_DSR_MMHN,India,,6517
2015,VC_DSR_MMHN,India,,7317
2016,VC_DSR_MMHN,India,,6945
2017,VC_DSR_MMHN,India,,7465
2018,VC_DSR_MMHN,India,,6878
2019,VC_DSR_MMHN,India,,7507
2020,VC_DSR_MMHN,India,,6451
2021,VC_DSR_MMHN,India,,2275
2015,VC_DSR_MMHN,Ireland,,0
2016,VC_DSR_MMHN,Ireland,,0
2017,VC_DSR_MMHN,Ireland,,3
2010,VC_DSR_MMHN,Italy,,70
2011,VC_DSR_MMHN,Italy,,60
2012,VC_DSR_MMHN,Italy,,58
2013,VC_DSR_MMHN,Italy,,70
2014,VC_DSR_MMHN,Italy,,58
2015,VC_DSR_MMHN,Italy,,48
2016,VC_DSR_MMHN,Italy,,332
2017,VC_DSR_MMHN,Italy,,58
2018,VC_DSR_MMHN,Italy,,58
2019,VC_DSR_MMHN,Italy,,41
2020,VC_DSR_MMHN,Italy,,20
