Year,SeriesCode,GeoAreaName,Education level,Sex,Type of skill,Value
2019,SE_TOT_PRFL,United Arab Emirates,PRIMAR,BOTHSEX,SKILL_MATH,53.41598
2019,SE_TOT_PRFL,United Arab Emirates,PRIMAR,MALE,SKILL_MATH,55.40924
2019,SE_TOT_PRFL,United Arab Emirates,PRIMAR,FEMALE,SKILL_MATH,51.89699
2019,SE_TOT_PRFL,United Arab Emirates,LOWSEC,BOTHSEX,SKILL_MATH,50.15137
2019,SE_TOT_PRFL,United Arab Emirates,LOWSEC,FEMALE,SKILL_MATH,51.34819
2019,SE_TOT_PRFL,United Arab Emirates,LOWSEC,MALE,SKILL_MATH,49.76982
2001,SE_TOT_PRFL,Türkiye,PRIMAR,BOTHSEX,SKILL_READ,72.3131
2001,SE_TOT_PRFL,Türkiye,PRIMAR,MALE,SKILL_READ,68.24938
2001,SE_TOT_PRFL,Türkiye,PRIMAR,FEMALE,SKILL_READ,76.54031
2003,SE_TOT_PRFL,Türkiye,LOWSEC,FEMALE,SKILL_READ,72.15
2003,SE_TOT_PRFL,Türkiye,LOWSEC,BOTHSEX,SKILL_READ,63.20618
2015,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_MATH,44.61966
2018,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_MATH,57.62715
2018,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_MATH,59.42498
2018,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_MATH,55.90192
2018,SE_TOT_PRFL,Albania,LOWSEC,BOTHSEX,SKILL_READ,47.76432
2018,SE_TOT_PRFL,Albania,LOWSEC,MALE,SKILL_READ,37.90172
2018,SE_TOT_PRFL,Albania,LOWSEC,FEMALE,SKILL_READ,58.04195
2006,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_READ,95.18986
2006,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_MATH,94.04
2009,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_READ,96.8
2009,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_READ,87.0
2009,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_MATH,91.84
2009,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_READ,91.89127
2009,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_MATH,92.47
2009,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_MATH,92.15396
2011,SE_TOT_PRFL,Finland,PRIMAR,FEMALE,SKILL_MATH,84.31278
2011,SE_TOT_PRFL,Finland,PRIMAR,MALE,SKILL_MATH,84.99955
2011,SE_TOT_PRFL,Finland,PRIMAR,MALE,SKILL_READ,98.91158
2011,SE_TOT_PRFL,Finland,PRIMAR,FEMALE,SKILL_READ,99.49656
2011,SE_TOT_PRFL,Finland,PRIMAR,BOTHSEX,SKILL_MATH,84.66516
2011,SE_TOT_PRFL,Finland,PRIMAR,BOTHSEX,SKILL_READ,99.20121
2012,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_MATH,87.73212
2012,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_MATH,89.61
2012,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_READ,95.4
2012,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_READ,82.26
2012,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_MATH,85.95
2012,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_READ,88.65054
2015,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_MATH,88.76214
2019,SE_TOT_PRFL,Albania,PRIMAR,BOTHSEX,SKILL_MATH,61.75175
2019,SE_TOT_PRFL,Albania,PRIMAR,FEMALE,SKILL_MATH,60.54636
2019,SE_TOT_PRFL,Albania,PRIMAR,MALE,SKILL_MATH,62.88525
2006,SE_TOT_PRFL,Azerbaijan,LOWSEC,MALE,SKILL_READ,16.64
2006,SE_TOT_PRFL,Azerbaijan,LOWSEC,MALE,SKILL_MATH,89.15
2006,SE_TOT_PRFL,Azerbaijan,LOWSEC,BOTHSEX,SKILL_READ,20.58498
2006,SE_TOT_PRFL,Azerbaijan,LOWSEC,FEMALE,SKILL_MATH,89.81
2015,SE_TOT_PRFL,Finland,LOWSEC,BOTHSEX,SKILL_MATH,86.43602
2015,SE_TOT_PRFL,Finland,LOWSEC,MALE,SKILL_READ,83.89268
2015,SE_TOT_PRFL,Finland,LOWSEC,FEMALE,SKILL_READ,94.28991
