Year,Пол,Страна ,Value
2005,Всего,Colombia,73.081
2006,Всего,Colombia,73.468
2007,Всего,Colombia,73.837
2008,Всего,Colombia,74.295
2009,Всего,Colombia,74.742
2010,Всего,Colombia,75.033
2011,Всего,Colombia,75.32
2012,Всего,Colombia,75.597
2013,Всего,Colombia,75.827
2014,Всего,Colombia,76.043
2015,Всего,Colombia,76.257
2016,Всего,Colombia,76.471
2017,Всего,Colombia,76.646
2018,Всего,Colombia,76.748
2019,Всего,Colombia,76.752
2020,Всего,Colombia,74.769
2021,Всего,Colombia,72.83
1998,Мужчины,Colombia,66.662
1999,Мужчины,Colombia,66.884
2000,Мужчины,Colombia,67.312
2001,Мужчины,Colombia,67.545
2002,Мужчины,Colombia,68.076
2003,Мужчины,Colombia,68.622
2004,Мужчины,Colombia,69.032
2005,Мужчины,Colombia,69.513
2006,Мужчины,Colombia,69.961
2007,Мужчины,Colombia,70.374
2008,Мужчины,Colombia,70.933
2009,Мужчины,Colombia,71.487
2010,Мужчины,Colombia,71.817
2011,Мужчины,Colombia,72.141
2012,Мужчины,Colombia,72.455
2013,Мужчины,Colombia,72.725
2014,Мужчины,Colombia,72.985
2015,Мужчины,Colombia,73.252
2016,Мужчины,Colombia,73.519
2017,Мужчины,Colombia,73.759
2018,Мужчины,Colombia,73.842
2019,Мужчины,Colombia,73.8
2020,Мужчины,Colombia,71.537
2021,Мужчины,Colombia,69.404
1998,Женщины,Costa Rica,79.253
1999,Женщины,Costa Rica,79.738
2000,Женщины,Costa Rica,80.038
2001,Женщины,Costa Rica,79.893
2002,Женщины,Costa Rica,80.374
2003,Женщины,Costa Rica,80.412
2004,Женщины,Costa Rica,80.635
2005,Женщины,Costa Rica,80.862
2006,Женщины,Costa Rica,81.064
2007,Женщины,Costa Rica,80.934
2008,Женщины,Costa Rica,81.016
2009,Женщины,Costa Rica,81.236
2010,Женщины,Costa Rica,81.083
2011,Женщины,Costa Rica,81.711
2012,Женщины,Costa Rica,81.62
2013,Женщины,Costa Rica,81.762
2014,Женщины,Costa Rica,81.236
2015,Женщины,Costa Rica,81.569
2016,Женщины,Costa Rica,82.008
2017,Женщины,Costa Rica,81.76
2018,Женщины,Costa Rica,82.083
2019,Женщины,Costa Rica,81.953
2020,Женщины,Costa Rica,81.912
2021,Женщины,Costa Rica,79.811
1998,Всего,Costa Rica,76.896
1999,Всего,Costa Rica,77.138
2000,Всего,Costa Rica,77.586
2001,Всего,Costa Rica,77.545
2002,Всего,Costa Rica,77.983
2003,Всего,Costa Rica,78.072
2004,Всего,Costa Rica,78.331
2005,Всего,Costa Rica,78.505
2006,Всего,Costa Rica,78.514
2007,Всего,Costa Rica,78.462
2008,Всего,Costa Rica,78.445
2009,Всего,Costa Rica,78.672
2010,Всего,Costa Rica,78.67
2011,Всего,Costa Rica,79.348
2012,Всего,Costa Rica,79.283
2013,Всего,Costa Rica,79.403
2014,Всего,Costa Rica,78.774
2015,Всего,Costa Rica,79.086
2016,Всего,Costa Rica,79.459
2017,Всего,Costa Rica,79.377
2018,Всего,Costa Rica,79.484
2019,Всего,Costa Rica,79.427
2020,Всего,Costa Rica,79.277
2021,Всего,Costa Rica,77.023
1998,Мужчины,Costa Rica,74.658
1999,Мужчины,Costa Rica,74.695
2000,Мужчины,Costa Rica,75.252
2001,Мужчины,Costa Rica,75.297
2002,Мужчины,Costa Rica,75.692
2003,Мужчины,Costa Rica,75.82
2004,Мужчины,Costa Rica,76.104
2005,Мужчины,Costa Rica,76.231
2006,Мужчины,Costa Rica,76.079
2007,Мужчины,Costa Rica,76.089
2008,Мужчины,Costa Rica,75.99
2009,Мужчины,Costa Rica,76.216
2010,Мужчины,Costa Rica,76.34
2011,Мужчины,Costa Rica,77.048
2012,Мужчины,Costa Rica,77.009
2013,Мужчины,Costa Rica,77.112
2014,Мужчины,Costa Rica,76.409
2015,Мужчины,Costa Rica,76.698
2016,Мужчины,Costa Rica,77.01
2017,Мужчины,Costa Rica,77.07
2018,Мужчины,Costa Rica,76.996
2019,Мужчины,Costa Rica,77.002
2020,Мужчины,Costa Rica,76.751
2021,Мужчины,Costa Rica,74.418
1998,Женщины,India,62.595
1999,Женщины,India,63.111
2000,Женщины,India,63.639
2001,Женщины,India,64.131
2002,Женщины,India,64.729
2003,Женщины,India,65.287
2004,Женщины,India,65.831
2005,Женщины,India,66.379
2006,Женщины,India,66.891
2007,Женщины,India,67.342
2008,Женщины,India,67.786
2009,Женщины,India,68.215
2010,Женщины,India,68.645
2011,Женщины,India,69.106
2012,Женщины,India,69.592
2013,Женщины,India,70.083
2014,Женщины,India,70.602
2015,Женщины,India,71.077
2016,Женщины,India,71.503
2017,Женщины,India,71.856
2018,Женщины,India,72.142
2019,Женщины,India,72.395
2020,Женщины,India,71.824
2021,Женщины,India,68.886
1998,Всего,India,61.792
1999,Всего,India,62.207
2000,Всего,India,62.669
2001,Всего,India,63.091
2002,Всего,India,63.616
2003,Всего,India,64.094
2004,Всего,India,64.524
2005,Всего,India,64.996
2006,Всего,India,65.412
2007,Всего,India,65.788
2008,Всего,India,66.149
2009,Всего,India,66.513
2010,Всего,India,66.909
2011,Всего,India,67.359
2012,Всего,India,67.887
2013,Всего,India,68.46
2014,Всего,India,69.074
2015,Всего,India,69.636
2016,Всего,India,70.117
2017,Всего,India,70.467
2018,Всего,India,70.71
2019,Всего,India,70.91
2020,Всего,India,70.15
2021,Всего,India,67.24
1998,Мужчины,India,61.028
1999,Мужчины,India,61.351
2000,Мужчины,India,61.754
2001,Мужчины,India,62.114
2002,Мужчины,India,62.573
2003,Мужчины,India,62.981
2004,Мужчины,India,63.313
2005,Мужчины,India,63.719
2006,Мужчины,India,64.053
2007,Мужчины,India,64.365
2008,Мужчины,India,64.654
2009,Мужчины,India,64.962
2010,Мужчины,India,65.327
2011,Мужчины,India,65.765
2012,Мужчины,India,66.324
2013,Мужчины,India,66.961
2014,Мужчины,India,67.651
2015,Мужчины,India,68.285
2016,Мужчины,India,68.81
2017,Мужчины,India,69.159
2018,Мужчины,India,69.367
2019,Мужчины,India,69.525
2020,Мужчины,India,68.615
2021,Мужчины,India,65.756
1998,Женщины,Israel,80.3
1999,Женщины,Israel,80.4
2000,Женщины,Israel,80.9
2001,Женщины,Israel,81.2
2002,Женщины,Israel,81.5
2003,Женщины,Israel,81.8
2004,Женщины,Israel,82.4
2005,Женщины,Israel,82.2
2006,Женщины,Israel,82.5
2007,Женщины,Israel,82.4
2008,Женщины,Israel,83.0
2009,Женщины,Israel,83.3
2010,Женщины,Israel,83.6
2011,Женщины,Israel,83.5
2012,Женщины,Israel,83.6
2013,Женщины,Israel,83.9
2014,Женщины,Israel,84.1
2015,Женщины,Israel,84.1
2016,Женщины,Israel,84.2
2017,Женщины,Israel,84.6
2018,Женщины,Israel,84.8
2019,Женщины,Israel,84.7
2020,Женщины,Israel,84.8
2021,Женщины,Israel,84.6
1998,Всего,Israel,78.14878049
1999,Всего,Israel,78.65853659
2000,Всего,Israel,78.95365854
2001,Всего,Israel,79.40731707
2002,Всего,Israel,79.45121951
2003,Всего,Israel,79.64878049
2004,Всего,Israel,80.14634146
2005,Всего,Israel,80.15121951
2006,Всего,Israel,80.55365854
2007,Всего,Israel,80.50487805
2008,Всего,Israel,80.95121951
2009,Всего,Israel,81.40487805
2010,Всего,Israel,81.60243902
2011,Всего,Israel,81.65609756
2012,Всего,Israel,81.70487805
2013,Всего,Israel,82.05609756
2014,Всего,Israel,82.15365854
2015,Всего,Israel,82.05121951
2016,Всего,Israel,82.40731707
2017,Всего,Israel,82.55121951
2018,Всего,Israel,82.80243902
2019,Всего,Israel,82.80487805
2020,Всего,Israel,82.64878049
2021,Всего,Israel,82.5
1998,Мужчины,Israel,76.1
1999,Мужчины,Israel,77.0
2000,Мужчины,Israel,77.1
2001,Мужчины,Israel,77.7
2002,Мужчины,Israel,77.5
2003,Мужчины,Israel,77.6
2004,Мужчины,Israel,78.0
2005,Мужчины,Israel,78.2
2006,Мужчины,Israel,78.7
2007,Мужчины,Israel,78.7
2008,Мужчины,Israel,79.0
2009,Мужчины,Israel,79.6
2010,Мужчины,Israel,79.7
2011,Мужчины,Israel,79.9
2012,Мужчины,Israel,79.9
2013,Мужчины,Israel,80.3
2014,Мужчины,Israel,80.3
2015,Мужчины,Israel,80.1
2016,Мужчины,Israel,80.7
2017,Мужчины,Israel,80.6
2018,Мужчины,Israel,80.9
2019,Мужчины,Israel,81.0
2020,Мужчины,Israel,80.6
2021,Мужчины,Israel,80.5
1998,Женщины,Japan,84.01
1999,Женщины,Japan,83.99
2000,Женщины,Japan,84.6
2001,Женщины,Japan,84.93
2002,Женщины,Japan,85.23
2003,Женщины,Japan,85.33
2004,Женщины,Japan,85.59
2005,Женщины,Japan,85.52
2006,Женщины,Japan,85.81
2007,Женщины,Japan,85.99
2008,Женщины,Japan,86.05
2009,Женщины,Japan,86.44
2010,Женщины,Japan,86.3
2011,Женщины,Japan,85.9
2012,Женщины,Japan,86.41
2013,Женщины,Japan,86.61
2014,Женщины,Japan,86.83
2015,Женщины,Japan,86.99
2016,Женщины,Japan,87.14
2017,Женщины,Japan,87.26
2018,Женщины,Japan,87.32
2019,Женщины,Japan,87.45
2020,Женщины,Japan,87.71
2021,Женщины,Japan,87.57
1998,Всего,Japan,80.50146341
1999,Всего,Japan,80.46097561
2000,Всего,Japan,81.07609756
2001,Всего,Japan,81.41634146
2002,Всего,Japan,81.69073171
2003,Всего,Japan,81.76
2004,Всего,Japan,82.0302439
2005,Всего,Japan,81.95512195
2006,Всего,Japan,82.32195122
2007,Всего,Japan,82.50707317
2008,Всего,Japan,82.58756098
2009,Всего,Japan,82.93146341
2010,Всего,Japan,82.84268293
2011,Всего,Japan,82.59121951
2012,Всего,Japan,83.09609756
2013,Всего,Japan,83.33195122
2014,Всего,Japan,83.58780488
2015,Всего,Japan,83.79390244
2016,Всего,Japan,83.98487805
2017,Всего,Japan,84.0997561
2018,Всего,Japan,84.21097561
2019,Всего,Japan,84.35634146
2020,Всего,Japan,84.56
2021,Всего,Japan,84.44560976
1998,Мужчины,Japan,77.16
1999,Мужчины,Japan,77.1
2000,Мужчины,Japan,77.72
2001,Мужчины,Japan,78.07
2002,Мужчины,Japan,78.32
2003,Мужчины,Japan,78.36
2004,Мужчины,Japan,78.64
2005,Мужчины,Japan,78.56
2006,Мужчины,Japan,79.0
2007,Мужчины,Japan,79.19
2008,Мужчины,Japan,79.29
2009,Мужчины,Japan,79.59
2010,Мужчины,Japan,79.55
2011,Мужчины,Japan,79.44
2012,Мужчины,Japan,79.94
2013,Мужчины,Japan,80.21
2014,Мужчины,Japan,80.5
2015,Мужчины,Japan,80.75
2016,Мужчины,Japan,80.98
2017,Мужчины,Japan,81.09
2018,Мужчины,Japan,81.25
2019,Мужчины,Japan,81.41
2020,Мужчины,Japan,81.56
2021,Мужчины,Japan,81.47
1998,Женщины,Mexico,76.082
1999,Женщины,Mexico,76.308
2000,Женщины,Mexico,76.512
2001,Женщины,Mexico,76.685
2002,Женщины,Mexico,76.826
2003,Женщины,Mexico,76.921
2004,Женщины,Mexico,76.983
2005,Женщины,Mexico,76.986
2006,Женщины,Mexico,76.981
2007,Женщины,Mexico,76.956
2008,Женщины,Mexico,76.952
2009,Женщины,Mexico,76.993
2010,Женщины,Mexico,77.117
2011,Женщины,Mexico,77.311
2012,Женщины,Mexico,77.535
2013,Женщины,Mexico,77.706
2014,Женщины,Mexico,77.782
2015,Женщины,Mexico,77.692
2016,Женщины,Mexico,77.486
2017,Женщины,Mexico,77.303
2018,Женщины,Mexico,77.286
2019,Женщины,Mexico,77.574
2020,Женщины,Mexico,74.314
2021,Женщины,Mexico,74.864
1998,Всего,Mexico,72.845
1999,Всего,Mexico,73.225
2000,Всего,Mexico,73.569
2001,Всего,Mexico,73.867
2002,Всего,Mexico,74.106
2003,Всего,Mexico,74.274
2004,Всего,Mexico,74.372
2005,Всего,Mexico,74.376
2006,Всего,Mexico,74.331
2007,Всего,Mexico,74.238
2008,Всего,Mexico,74.152
2009,Всего,Mexico,74.119
2010,Всего,Mexico,74.19
2011,Всего,Mexico,74.365
2012,Всего,Mexico,74.574
2013,Всего,Mexico,74.739
2014,Всего,Mexico,74.797
2015,Всего,Mexico,74.682
2016,Всего,Mexico,74.412
2017,Всего,Mexico,74.138
2018,Всего,Mexico,74.015
2019,Всего,Mexico,74.202
2020,Всего,Mexico,70.133
2021,Всего,Mexico,70.213
1998,Мужчины,Mexico,69.717
1999,Мужчины,Mexico,70.227
2000,Мужчины,Mexico,70.692
2001,Мужчины,Mexico,71.098
2002,Мужчины,Mexico,71.422
2003,Мужчины,Mexico,71.653
2004,Мужчины,Mexico,71.781
2005,Мужчины,Mexico,71.782
2006,Мужчины,Mexico,71.697
2007,Мужчины,Mexico,71.54
2008,Мужчины,Mexico,71.376
2009,Мужчины,Mexico,71.273
2010,Мужчины,Mexico,71.295
2011,Мужчины,Mexico,71.451
2012,Мужчины,Mexico,71.651
2013,Мужчины,Mexico,71.814
2014,Мужчины,Mexico,71.859
2015,Мужчины,Mexico,71.723
2016,Мужчины,Mexico,71.398
2017,Мужчины,Mexico,71.044
2018,Мужчины,Mexico,70.829
2019,Мужчины,Mexico,70.931
2020,Мужчины,Mexico,66.334
2021,Мужчины,Mexico,66.056
1998,Женщины,New Zealand,80.8
1999,Женщины,New Zealand,80.4
2000,Женщины,New Zealand,81.3
2001,Женщины,New Zealand,81.1
2002,Женщины,New Zealand,81.1
2003,Женщины,New Zealand,81.4
2004,Женщины,New Zealand,81.7
2005,Женщины,New Zealand,81.9
2006,Женщины,New Zealand,82.2
2007,Женщины,New Zealand,82.2
2008,Женщины,New Zealand,82.4
2009,Женщины,New Zealand,82.7
2010,Женщины,New Zealand,82.8
2011,Женщины,New Zealand,83.0
2012,Женщины,New Zealand,83.2
2013,Женщины,New Zealand,83.3
2014,Женщины,New Zealand,83.27
2015,Женщины,New Zealand,83.4
2016,Женщины,New Zealand,83.4
2017,Женщины,New Zealand,83.6
2018,Женщины,New Zealand,83.5
2019,Женщины,New Zealand,83.9
2020,Женщины,New Zealand,84.1
2021,Женщины,New Zealand,84.0
1998,Всего,New Zealand,78.08536585
1999,Всего,New Zealand,77.8902439
2000,Всего,New Zealand,78.63658537
2001,Всего,New Zealand,78.69268293
2002,Всего,New Zealand,78.84634146
2003,Всего,New Zealand,79.14634146
2004,Всего,New Zealand,79.54878049
2005,Всего,New Zealand,79.85121951
2006,Всего,New Zealand,80.04878049
2007,Всего,New Zealand,80.15121951
2008,Всего,New Zealand,80.35121951
2009,Всего,New Zealand,80.70243902
2010,Всего,New Zealand,80.90487805
2011,Всего,New Zealand,81.15609756
2012,Всего,New Zealand,81.40731707
2013,Всего,New Zealand,81.40487805
2014,Всего,New Zealand,81.45682927
2015,Всего,New Zealand,81.61243902
2016,Всего,New Zealand,81.65853659
2017,Всего,New Zealand,81.85853659
2018,Всего,New Zealand,81.70731707
2019,Всего,New Zealand,82.05609756
2020,Всего,New Zealand,82.25609756
2021,Всего,New Zealand,82.20731707
1998,Мужчины,New Zealand,75.5
1999,Мужчины,New Zealand,75.5
2000,Мужчины,New Zealand,76.1
2001,Мужчины,New Zealand,76.4
2002,Мужчины,New Zealand,76.7
2003,Мужчины,New Zealand,77.0
2004,Мужчины,New Zealand,77.5
2005,Мужчины,New Zealand,77.9
2006,Мужчины,New Zealand,78.0
2007,Мужчины,New Zealand,78.2
2008,Мужчины,New Zealand,78.4
2009,Мужчины,New Zealand,78.8
2010,Мужчины,New Zealand,79.1
2011,Мужчины,New Zealand,79.4
2012,Мужчины,New Zealand,79.7
2013,Мужчины,New Zealand,79.6
2014,Мужчины,New Zealand,79.73
2015,Мужчины,New Zealand,79.91
2016,Мужчины,New Zealand,80.0
2017,Мужчины,New Zealand,80.2
2018,Мужчины,New Zealand,80.0
2019,Мужчины,New Zealand,80.3
2020,Мужчины,New Zealand,80.5
2021,Мужчины,New Zealand,80.5
1998,Женщины,"Korea, Rep.",79.0
1999,Женщины,"Korea, Rep.",79.2
2000,Женщины,"Korea, Rep.",79.7
2001,Женщины,"Korea, Rep.",80.1
2002,Женщины,"Korea, Rep.",80.3
2003,Женщины,"Korea, Rep.",80.8
2004,Женщины,"Korea, Rep.",81.2
2005,Женщины,"Korea, Rep.",81.6
2006,Женщины,"Korea, Rep.",82.1
2007,Женщины,"Korea, Rep.",82.5
2008,Женщины,"Korea, Rep.",83.0
2009,Женщины,"Korea, Rep.",83.4
2010,Женщины,"Korea, Rep.",83.6
2011,Женщины,"Korea, Rep.",84.0
2012,Женщины,"Korea, Rep.",84.2
2013,Женщины,"Korea, Rep.",84.6
2014,Женщины,"Korea, Rep.",85.0
2015,Женщины,"Korea, Rep.",85.2
2016,Женщины,"Korea, Rep.",85.4
2017,Женщины,"Korea, Rep.",85.7
2018,Женщины,"Korea, Rep.",85.7
2019,Женщины,"Korea, Rep.",86.3
2020,Женщины,"Korea, Rep.",86.5
2021,Женщины,"Korea, Rep.",86.6
1998,Всего,"Korea, Rep.",75.00487805
1999,Всего,"Korea, Rep.",75.4097561
2000,Всего,"Korea, Rep.",75.9097561
2001,Всего,"Korea, Rep.",76.41219512
2002,Всего,"Korea, Rep.",76.76585366
2003,Всего,"Korea, Rep.",77.21463415
2004,Всего,"Korea, Rep.",77.66585366
2005,Всего,"Korea, Rep.",78.16829268
2006,Всего,"Korea, Rep.",78.66829268
2007,Всего,"Korea, Rep.",79.1195122
2008,Всего,"Korea, Rep.",79.51707317
2009,Всего,"Korea, Rep.",79.96829268
2010,Всего,"Korea, Rep.",80.11707317
2011,Всего,"Korea, Rep.",80.56829268
2012,Всего,"Korea, Rep.",80.8195122
2013,Всего,"Korea, Rep.",81.27073171
2014,Всего,"Korea, Rep.",81.72195122
2015,Всего,"Korea, Rep.",82.02439024
2016,Всего,"Korea, Rep.",82.27560976
2017,Всего,"Korea, Rep.",82.62682927
2018,Всего,"Korea, Rep.",82.62682927
2019,Всего,"Korea, Rep.",83.22682927
2020,Всего,"Korea, Rep.",83.42682927
2021,Всего,"Korea, Rep.",83.52682927
1998,Мужчины,"Korea, Rep.",71.2
1999,Мужчины,"Korea, Rep.",71.8
2000,Мужчины,"Korea, Rep.",72.3
2001,Мужчины,"Korea, Rep.",72.9
2002,Мужчины,"Korea, Rep.",73.4
2003,Мужчины,"Korea, Rep.",73.8
2004,Мужчины,"Korea, Rep.",74.3
2005,Мужчины,"Korea, Rep.",74.9
2006,Мужчины,"Korea, Rep.",75.4
2007,Мужчины,"Korea, Rep.",75.9
2008,Мужчины,"Korea, Rep.",76.2
2009,Мужчины,"Korea, Rep.",76.7
2010,Мужчины,"Korea, Rep.",76.8
2011,Мужчины,"Korea, Rep.",77.3
2012,Мужчины,"Korea, Rep.",77.6
2013,Мужчины,"Korea, Rep.",78.1
2014,Мужчины,"Korea, Rep.",78.6
2015,Мужчины,"Korea, Rep.",79.0
2016,Мужчины,"Korea, Rep.",79.3
2017,Мужчины,"Korea, Rep.",79.7
2018,Мужчины,"Korea, Rep.",79.7
2019,Мужчины,"Korea, Rep.",80.3
2020,Мужчины,"Korea, Rep.",80.5
2021,Мужчины,"Korea, Rep.",80.6
1998,Женщины,United Arab Emirates,75.676
1999,Женщины,United Arab Emirates,76.193
2000,Женщины,United Arab Emirates,76.617
2001,Женщины,United Arab Emirates,76.998
2002,Женщины,United Arab Emirates,77.35
2003,Женщины,United Arab Emirates,78.521
2004,Женщины,United Arab Emirates,78.784
2005,Женщины,United Arab Emirates,79.033
2006,Женщины,United Arab Emirates,79.289
2007,Женщины,United Arab Emirates,79.52
2008,Женщины,United Arab Emirates,79.75
2009,Женщины,United Arab Emirates,79.982
2010,Женщины,United Arab Emirates,80.203
2011,Женщины,United Arab Emirates,80.415
2012,Женщины,United Arab Emirates,80.623
2013,Женщины,United Arab Emirates,80.828
2014,Женщины,United Arab Emirates,81.023
2015,Женщины,United Arab Emirates,81.212
2016,Женщины,United Arab Emirates,81.396
2017,Женщины,United Arab Emirates,81.626
2018,Женщины,United Arab Emirates,81.79
2019,Женщины,United Arab Emirates,81.907
2020,Женщины,United Arab Emirates,81.112
2021,Женщины,United Arab Emirates,80.937
1998,Всего,United Arab Emirates,73.066
1999,Всего,United Arab Emirates,73.67
2000,Всего,United Arab Emirates,74.38
2001,Всего,United Arab Emirates,74.636
2002,Всего,United Arab Emirates,74.901
2003,Всего,United Arab Emirates,76.222
2004,Всего,United Arab Emirates,76.453
2005,Всего,United Arab Emirates,76.683
2006,Всего,United Arab Emirates,76.909
2007,Всего,United Arab Emirates,77.129
2008,Всего,United Arab Emirates,77.488
2009,Всего,United Arab Emirates,78.003
2010,Всего,United Arab Emirates,78.334
2011,Всего,United Arab Emirates,78.517
2012,Всего,United Arab Emirates,78.716
2013,Всего,United Arab Emirates,78.853
2014,Всего,United Arab Emirates,79.044
2015,Всего,United Arab Emirates,79.223
2016,Всего,United Arab Emirates,79.335
2017,Всего,United Arab Emirates,79.504
2018,Всего,United Arab Emirates,79.627
2019,Всего,United Arab Emirates,79.726
2020,Всего,United Arab Emirates,78.946
2021,Всего,United Arab Emirates,78.71
1998,Мужчины,United Arab Emirates,71.704
1999,Мужчины,United Arab Emirates,72.348
2000,Мужчины,United Arab Emirates,73.166
2001,Мужчины,United Arab Emirates,73.388
2002,Мужчины,United Arab Emirates,73.631
2003,Мужчины,United Arab Emirates,74.984
2004,Мужчины,United Arab Emirates,75.202
2005,Мужчины,United Arab Emirates,75.417
2006,Мужчины,United Arab Emirates,75.639
2007,Мужчины,United Arab Emirates,75.825
2008,Мужчины,United Arab Emirates,76.027
2009,Мужчины,United Arab Emirates,76.233
2010,Мужчины,United Arab Emirates,76.459
2011,Мужчины,United Arab Emirates,76.665
2012,Мужчины,United Arab Emirates,76.931
2013,Мужчины,United Arab Emirates,77.084
2014,Мужчины,United Arab Emirates,77.331
2015,Мужчины,United Arab Emirates,77.563
2016,Мужчины,United Arab Emirates,77.684
2017,Мужчины,United Arab Emirates,77.871
2018,Мужчины,United Arab Emirates,78.028
2019,Мужчины,United Arab Emirates,78.175
2020,Мужчины,United Arab Emirates,77.464
2021,Мужчины,United Arab Emirates,77.216
1998,Женщины,Viet Nam,76.761
1999,Женщины,Viet Nam,77.023
2000,Женщины,Viet Nam,77.114
2001,Женщины,Viet Nam,77.309
2002,Женщины,Viet Nam,77.504
2003,Женщины,Viet Nam,77.718
2004,Женщины,Viet Nam,77.919
2005,Женщины,Viet Nam,77.988
2006,Женщины,Viet Nam,78.06
2007,Женщины,Viet Nam,78.212
2008,Женщины,Viet Nam,78.237
2009,Женщины,Viet Nam,78.266
2010,Женщины,Viet Nam,78.264
2011,Женщины,Viet Nam,78.415
2012,Женщины,Viet Nam,78.422
2013,Женщины,Viet Nam,78.478
2014,Женщины,Viet Nam,78.593
2015,Женщины,Viet Nam,78.656
2016,Женщины,Viet Nam,78.755
2017,Женщины,Viet Nam,78.72
2018,Женщины,Viet Nam,78.777
2019,Женщины,Viet Nam,78.888
2020,Женщины,Viet Nam,79.92
2021,Женщины,Viet Nam,78.235
1998,Всего,Viet Nam,72.107
1999,Всего,Viet Nam,72.317
2000,Всего,Viet Nam,72.462
2001,Всего,Viet Nam,72.647
2002,Всего,Viet Nam,72.801
2003,Всего,Viet Nam,72.98
2004,Всего,Viet Nam,73.135
2005,Всего,Viet Nam,73.271
2006,Всего,Viet Nam,73.319
2007,Всего,Viet Nam,73.436
2008,Всего,Viet Nam,73.411
2009,Всего,Viet Nam,73.498
2010,Всего,Viet Nam,73.513
2011,Всего,Viet Nam,73.692
2012,Всего,Viet Nam,73.704
2013,Всего,Viet Nam,73.775
2014,Всего,Viet Nam,73.855
2015,Всего,Viet Nam,73.876
2016,Всего,Viet Nam,73.938
2017,Всего,Viet Nam,73.963
2018,Всего,Viet Nam,73.976
2019,Всего,Viet Nam,74.093
2020,Всего,Viet Nam,75.378
2021,Всего,Viet Nam,73.618
1998,Мужчины,Viet Nam,67.427
1999,Мужчины,Viet Nam,67.589
2000,Мужчины,Viet Nam,67.773
2001,Мужчины,Viet Nam,67.952
2002,Мужчины,Viet Nam,68.075
2003,Мужчины,Viet Nam,68.228
2004,Мужчины,Viet Nam,68.348
2005,Мужчины,Viet Nam,68.543
2006,Мужчины,Viet Nam,68.579
2007,Мужчины,Viet Nam,68.67
2008,Мужчины,Viet Nam,68.613
2009,Мужчины,Viet Nam,68.751
2010,Мужчины,Viet Nam,68.784
2011,Мужчины,Viet Nam,68.984
2012,Мужчины,Viet Nam,69.007
2013,Мужчины,Viet Nam,69.094
2014,Мужчины,Viet Nam,69.149
2015,Мужчины,Viet Nam,69.144
2016,Мужчины,Viet Nam,69.18
2017,Мужчины,Viet Nam,69.26
2018,Мужчины,Viet Nam,69.245
2019,Мужчины,Viet Nam,69.369
2020,Мужчины,Viet Nam,70.787
2021,Мужчины,Viet Nam,69.117
1998,Женщины,Austria,81.0
1999,Женщины,Austria,81.0
2000,Женщины,Austria,81.2
2001,Женщины,Austria,81.7
2002,Женщины,Austria,81.7
2003,Женщины,Austria,81.5
2004,Женщины,Austria,82.1
2005,Женщины,Austria,82.2
2006,Женщины,Austria,82.8
2007,Женщины,Austria,83.1
2008,Женщины,Austria,83.3
2009,Женщины,Austria,83.2
2010,Женщины,Austria,83.5
2011,Женщины,Austria,83.8
2012,Женщины,Austria,83.6
2013,Женщины,Austria,83.8
2014,Женщины,Austria,84.0
2015,Женщины,Austria,83.7
2016,Женщины,Austria,84.1
2017,Женщины,Austria,84.0
2018,Женщины,Austria,84.1
2019,Женщины,Austria,84.2
2020,Женщины,Austria,83.6
2021,Женщины,Austria,83.8
1998,Всего,Austria,77.67073171
1999,Всего,Austria,77.87560976
2000,Всего,Austria,78.12682927
2001,Всего,Austria,78.57560976
2002,Всего,Austria,78.67804878
2003,Всего,Austria,78.63170732
2004,Всего,Austria,79.1804878
2005,Всего,Austria,79.33170732
2006,Всего,Austria,79.8804878
2007,Всего,Austria,80.1804878
2008,Всего,Austria,80.43170732
2009,Всего,Austria,80.33170732
2010,Всего,Austria,80.5804878
2011,Всего,Austria,80.98292683
2012,Всего,Austria,80.93658537
2013,Всего,Austria,81.13658537
2014,Всего,Austria,81.4902439
2015,Всего,Austria,81.1902439
2016,Всего,Austria,81.64146341
2017,Всего,Austria,81.64390244
2018,Всего,Austria,81.69268293
2019,Всего,Austria,81.89512195
2020,Всего,Austria,81.19268293
2021,Всего,Austria,81.23902439
1998,Мужчины,Austria,74.5
1999,Мужчины,Austria,74.9
2000,Мужчины,Austria,75.2
2001,Мужчины,Austria,75.6
2002,Мужчины,Austria,75.8
2003,Мужчины,Austria,75.9
2004,Мужчины,Austria,76.4
2005,Мужчины,Austria,76.6
2006,Мужчины,Austria,77.1
2007,Мужчины,Austria,77.4
2008,Мужчины,Austria,77.7
2009,Мужчины,Austria,77.6
2010,Мужчины,Austria,77.8
2011,Мужчины,Austria,78.3
2012,Мужчины,Austria,78.4
2013,Мужчины,Austria,78.6
2014,Мужчины,Austria,79.1
2015,Мужчины,Austria,78.8
2016,Мужчины,Austria,79.3
2017,Мужчины,Austria,79.4
2018,Мужчины,Austria,79.4
2019,Мужчины,Austria,79.7
2020,Мужчины,Austria,78.9
2021,Мужчины,Austria,78.8
1998,Женщины,Belgium,80.7
1999,Женщины,Belgium,81.0
2000,Женщины,Belgium,81.0
2001,Женщины,Belgium,81.2
2002,Женщины,Belgium,81.2
2003,Женщины,Belgium,81.1
2004,Женщины,Belgium,81.9
2005,Женщины,Belgium,81.9
2006,Женщины,Belgium,82.3
2007,Женщины,Belgium,82.6
2008,Женщины,Belgium,82.6
2009,Женщины,Belgium,82.8
2010,Женщины,Belgium,83.0
