Year,SeriesCode,Страна ,Education level,Type of skill,Value
2018,SE_TOT_SESPI,Belgium,LOWSEC,SKILL_READ,0.67817
2019,SE_TOT_SESPI,Belgium,PRIMAR,SKILL_MATH,0.70971
2018,SE_TOT_SESPI,Bosnia and Herzegovina,LOWSEC,SKILL_READ,0.49884
2019,SE_TOT_SESPI,Bosnia and Herzegovina,PRIMAR,SKILL_MATH,0.88226
2000,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_READ,0.41866
2000,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_MATH,0.38653
2001,SE_TOT_SESPI,Bulgaria,PRIMAR,SKILL_READ,0.91162
2006,SE_TOT_SESPI,Bulgaria,PRIMAR,SKILL_READ,0.92698
2006,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_MATH,0.25503
2006,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_READ,0.29497
2009,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_READ,0.38274
2009,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_MATH,0.32491
2011,SE_TOT_SESPI,Bulgaria,PRIMAR,SKILL_READ,0.88319
2012,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_MATH,0.3614
2012,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_READ,0.37612
2015,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_READ,0.43001
2015,SE_TOT_SESPI,Bulgaria,PRIMAR,SKILL_MATH,0.70077
2015,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_MATH,0.46792
2016,SE_TOT_SESPI,Bulgaria,PRIMAR,SKILL_READ,0.91135
2018,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_MATH,0.44816
2018,SE_TOT_SESPI,Bulgaria,LOWSEC,SKILL_READ,0.39931
2019,SE_TOT_SESPI,Bulgaria,PRIMAR,SKILL_MATH,0.50452
2018,SE_TOT_SESPI,Belarus,LOWSEC,SKILL_READ,0.61239
2018,SE_TOT_SESPI,Belarus,LOWSEC,SKILL_MATH,0.54292
2000,SE_TOT_SESPI,Canada,LOWSEC,SKILL_READ,0.84563
2000,SE_TOT_SESPI,Canada,LOWSEC,SKILL_MATH,0.85115
2001,SE_TOT_SESPI,Canada,PRIMAR,SKILL_READ,0.95282
2003,SE_TOT_SESPI,Canada,LOWSEC,SKILL_MATH,0.85263
2003,SE_TOT_SESPI,Canada,LOWSEC,SKILL_READ,0.86096
2006,SE_TOT_SESPI,Canada,LOWSEC,SKILL_READ,0.84328
2006,SE_TOT_SESPI,Canada,LOWSEC,SKILL_MATH,0.85478
2009,SE_TOT_SESPI,Canada,LOWSEC,SKILL_MATH,0.83398
2009,SE_TOT_SESPI,Canada,LOWSEC,SKILL_READ,0.86881
2011,SE_TOT_SESPI,Canada,PRIMAR,SKILL_READ,0.97685
2012,SE_TOT_SESPI,Canada,LOWSEC,SKILL_READ,0.86355
2012,SE_TOT_SESPI,Canada,LOWSEC,SKILL_MATH,0.81555
2015,SE_TOT_SESPI,Canada,LOWSEC,SKILL_MATH,0.82466
2015,SE_TOT_SESPI,Canada,LOWSEC,SKILL_READ,0.86116
2015,SE_TOT_SESPI,Canada,PRIMAR,SKILL_MATH,0.69752
2016,SE_TOT_SESPI,Canada,PRIMAR,SKILL_READ,0.88805
2018,SE_TOT_SESPI,Canada,LOWSEC,SKILL_READ,0.85175
2018,SE_TOT_SESPI,Canada,LOWSEC,SKILL_MATH,0.80944
2019,SE_TOT_SESPI,Canada,PRIMAR,SKILL_MATH,0.73475
2000,SE_TOT_SESPI,Chile,LOWSEC,SKILL_READ,0.32557
2003,SE_TOT_SESPI,Chile,LOWSEC,SKILL_MATH,0.06235
2006,SE_TOT_SESPI,Chile,LOWSEC,SKILL_READ,0.50742
2009,SE_TOT_SESPI,Chile,LOWSEC,SKILL_READ,0.54727
2011,SE_TOT_SESPI,Chile,LOWSEC,SKILL_MATH,0.18592
2012,SE_TOT_SESPI,Chile,LOWSEC,SKILL_READ,0.49513
2015,SE_TOT_SESPI,Chile,LOWSEC,SKILL_READ,0.6229
2015,SE_TOT_SESPI,Chile,LOWSEC,SKILL_MATH,0.27705
2018,SE_TOT_SESPI,Chile,LOWSEC,SKILL_READ,0.63246
2019,SE_TOT_SESPI,Chile,LOWSEC,SKILL_MATH,0.28496
2006,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_READ,0.4259
2006,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_MATH,0.23413
2009,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_READ,0.42887
2009,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_MATH,0.19478
2012,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_MATH,0.22206
2012,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_READ,0.38962
2015,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_READ,0.51833
2015,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_MATH,0.33123
2018,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_MATH,0.33675
2018,SE_TOT_SESPI,Colombia,LOWSEC,SKILL_READ,0.44042
2019,SE_TOT_SESPI,Colombia,GRAD23,SKILL_READ,0.49966
2019,SE_TOT_SESPI,Colombia,PRIMAR,SKILL_MATH,0.17141
2019,SE_TOT_SESPI,Colombia,GRAD23,SKILL_MATH,0.4679
2019,SE_TOT_SESPI,Colombia,PRIMAR,SKILL_READ,0.32337
2009,SE_TOT_SESPI,Costa Rica,LOWSEC,SKILL_READ,0.57799
2009,SE_TOT_SESPI,Costa Rica,LOWSEC,SKILL_MATH,0.34397
2012,SE_TOT_SESPI,Costa Rica,LOWSEC,SKILL_READ,0.58123
2012,SE_TOT_SESPI,Costa Rica,LOWSEC,SKILL_MATH,0.2831
2015,SE_TOT_SESPI,Costa Rica,LOWSEC,SKILL_MATH,0.36292
2015,SE_TOT_SESPI,Costa Rica,LOWSEC,SKILL_READ,0.51293
2018,SE_TOT_SESPI,Costa Rica,LOWSEC,SKILL_READ,0.49944
2018,SE_TOT_SESPI,Costa Rica,LOWSEC,SKILL_MATH,0.36612
2019,SE_TOT_SESPI,Costa Rica,PRIMAR,SKILL_MATH,0.15478
2019,SE_TOT_SESPI,Costa Rica,PRIMAR,SKILL_READ,0.43721
2019,SE_TOT_SESPI,Costa Rica,GRAD23,SKILL_MATH,0.59329
2019,SE_TOT_SESPI,Costa Rica,GRAD23,SKILL_READ,0.67855
2006,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_MATH,0.61525
2006,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_READ,0.71148
2009,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_MATH,0.6058
2009,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_READ,0.6976
2011,SE_TOT_SESPI,Croatia,PRIMAR,SKILL_MATH,0.70336
2011,SE_TOT_SESPI,Croatia,PRIMAR,SKILL_READ,0.98571
2012,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_MATH,0.62327
2012,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_READ,0.75762
2015,SE_TOT_SESPI,Croatia,PRIMAR,SKILL_MATH,0.82587
2015,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_READ,0.77042
2015,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_MATH,0.66021
2018,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_READ,0.80376
2018,SE_TOT_SESPI,Croatia,LOWSEC,SKILL_MATH,0.68355
2019,SE_TOT_SESPI,Croatia,PRIMAR,SKILL_MATH,0.97937
2001,SE_TOT_SESPI,Cyprus,PRIMAR,SKILL_READ,0.89303
2003,SE_TOT_SESPI,Cyprus,PRIMAR,SKILL_MATH,0.79744
2015,SE_TOT_SESPI,Cyprus,PRIMAR,SKILL_MATH,0.79266
2018,SE_TOT_SESPI,Cyprus,LOWSEC,SKILL_READ,0.58378
2019,SE_TOT_SESPI,Cyprus,PRIMAR,SKILL_MATH,0.67098
2000,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_READ,0.67537
2000,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_MATH,0.58592
2001,SE_TOT_SESPI,Czechia,PRIMAR,SKILL_READ,0.96873
2003,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_MATH,0.71907
2003,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_READ,0.71572
2006,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_READ,0.67431
2006,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_MATH,0.6769
2007,SE_TOT_SESPI,Czechia,PRIMAR,SKILL_MATH,0.60901
2009,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_READ,0.69716
2009,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_MATH,0.66484
2011,SE_TOT_SESPI,Czechia,PRIMAR,SKILL_MATH,0.7746
2011,SE_TOT_SESPI,Czechia,PRIMAR,SKILL_READ,0.93666
2012,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_READ,0.74042
2012,SE_TOT_SESPI,Czechia,LOWSEC,SKILL_MATH,0.6652
2015,SE_TOT_SESPI,Czechia,PRIMAR,SKILL_MATH,0.68722
