Year,SeriesCode,Страна ,Migratory status,Sex,Value
2014,SL_EMP_INJUR,Finland,_T,BOTHSEX,1824.89
2014,SL_EMP_INJUR,Finland,NONMIG,BOTHSEX,1867.54
2014,SL_EMP_INJUR,Finland,_T,MALE,2438.76
2014,SL_EMP_INJUR,Finland,NONMIG,MALE,2509.02
2014,SL_EMP_INJUR,Finland,_T,FEMALE,1175.7
2002,SL_EMP_INJUR,Portugal,_T,BOTHSEX,4016.0
2002,SL_EMP_INJUR,Portugal,_T,FEMALE,1884.0
2003,SL_EMP_INJUR,Portugal,_T,MALE,5516.0
2003,SL_EMP_INJUR,Portugal,_T,BOTHSEX,3931.0
2003,SL_EMP_INJUR,Portugal,_T,FEMALE,1807.0
2004,SL_EMP_INJUR,Portugal,_T,BOTHSEX,3947.0
2004,SL_EMP_INJUR,Portugal,_T,MALE,5448.0
2004,SL_EMP_INJUR,Portugal,_T,FEMALE,1896.0
2014,SL_EMP_INJUR,Finland,NONMIG,FEMALE,1197.96
2015,SL_EMP_INJUR,Finland,NONMIG,MALE,2317.91
2015,SL_EMP_INJUR,Finland,_T,FEMALE,1161.86
2015,SL_EMP_INJUR,Finland,NONMIG,FEMALE,1187.02
2015,SL_EMP_INJUR,Finland,_T,BOTHSEX,1726.44
2015,SL_EMP_INJUR,Finland,NONMIG,BOTHSEX,1764.09
2015,SL_EMP_INJUR,Finland,_T,MALE,2263.59
2016,SL_EMP_INJUR,Finland,_T,BOTHSEX,1676.29
2017,SL_EMP_INJUR,Finland,_T,BOTHSEX,1699.0
2018,SL_EMP_INJUR,Finland,NONMIG,FEMALE,1125.73
2018,SL_EMP_INJUR,Finland,_T,BOTHSEX,1636.94
2018,SL_EMP_INJUR,Finland,MIGPER,BOTHSEX,1340.59
2018,SL_EMP_INJUR,Finland,NONMIG,BOTHSEX,1649.38
2018,SL_EMP_INJUR,Finland,_T,MALE,2125.85
2018,SL_EMP_INJUR,Finland,MIGPER,MALE,1827.12
2018,SL_EMP_INJUR,Finland,NONMIG,MALE,2141.77
2018,SL_EMP_INJUR,Finland,_T,FEMALE,1110.36
2018,SL_EMP_INJUR,Finland,MIGPER,FEMALE,657.14
2019,SL_EMP_INJUR,Finland,NONMIG,BOTHSEX,1810.17
