Year,SeriesCode,Страна ,Type of waste treatment,Value
2012,EN_HAZ_TREATV,Armenia,INCINRT,167.39999
2012,EN_HAZ_TREATV,Armenia,RECYCL,7983.0
2013,EN_HAZ_TREATV,Armenia,INCINRT,17.0
2013,EN_HAZ_TREATV,Armenia,RECYCL,4059.0
2013,EN_HAZ_TREATV,Armenia,LANDFIL,574973.8125
2014,EN_HAZ_TREATV,Armenia,RECYCL,2290.0
2014,EN_HAZ_TREATV,Armenia,INCINRT,2379.0
2014,EN_HAZ_TREATV,Armenia,LANDFIL,571750.375
2015,EN_HAZ_TREATV,Armenia,LANDFIL,551020.0625
2015,EN_HAZ_TREATV,Armenia,RECYCL,3766.80005
2015,EN_HAZ_TREATV,Armenia,INCINRT,289.70001
2016,EN_HAZ_TREATV,Armenia,INCINRT,604.90002
2018,EN_HAZ_TREATV,Poland,INCINRT,194741.0
2018,EN_HAZ_TREATV,Poland,LANDFIL,256242.0
2020,EN_HAZ_TREATV,Poland,INCINRT_EGY,3557.0
2020,EN_HAZ_TREATV,Poland,RECYCL,135215.0
2020,EN_HAZ_TREATV,Poland,INCINRT,164955.0
2020,EN_HAZ_TREATV,Poland,OTHERWM,0.0
2020,EN_HAZ_TREATV,Poland,LANDFIL,295078.0
2004,EN_HAZ_TREATV,Portugal,LANDFIL,1352913.0
2004,EN_HAZ_TREATV,Portugal,OTHERWM,43183.0
2004,EN_HAZ_TREATV,Portugal,INCINRT_EGY,57641.0
2004,EN_HAZ_TREATV,Portugal,INCINRT,6611.0
2006,EN_HAZ_TREATV,Portugal,LANDFIL,1583826.0
2016,EN_HAZ_TREATV,Armenia,LANDFIL,601917.375
2016,EN_HAZ_TREATV,Armenia,RECYCL,12948.29981
2017,EN_HAZ_TREATV,Armenia,INCINRT,582.79999
2017,EN_HAZ_TREATV,Armenia,LANDFIL,535594.0
2017,EN_HAZ_TREATV,Armenia,RECYCL,1636.90002
2018,EN_HAZ_TREATV,Armenia,LANDFIL,504833.59375
2018,EN_HAZ_TREATV,Armenia,INCINRT,1680.40002
2018,EN_HAZ_TREATV,Armenia,RECYCL,4344.5
2019,EN_HAZ_TREATV,Armenia,INCINRT,929.40002
2019,EN_HAZ_TREATV,Armenia,RECYCL,16063.0
2019,EN_HAZ_TREATV,Armenia,LANDFIL,553544.625
2004,EN_HAZ_TREATV,Belgium,INCINRT_EGY,165211.0
2004,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2004,EN_HAZ_TREATV,Belgium,LANDFIL,1306543.0
2004,EN_HAZ_TREATV,Belgium,INCINRT,193790.0
2006,EN_HAZ_TREATV,Belgium,INCINRT,160202.0
2006,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2006,EN_HAZ_TREATV,Belgium,INCINRT_EGY,442981.0
2006,EN_HAZ_TREATV,Belgium,LANDFIL,283073.0
2008,EN_HAZ_TREATV,Belgium,INCINRT_EGY,368644.0
2008,EN_HAZ_TREATV,Belgium,LANDFIL,443605.0
2008,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2008,EN_HAZ_TREATV,Belgium,INCINRT,155556.0
2010,EN_HAZ_TREATV,Belgium,INCINRT,158400.0
2010,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2006,EN_HAZ_TREATV,Portugal,INCINRT,28159.0
2006,EN_HAZ_TREATV,Portugal,OTHERWM,113.0
2006,EN_HAZ_TREATV,Portugal,INCINRT_EGY,101476.0
2008,EN_HAZ_TREATV,Portugal,INCINRT_EGY,10665.0
2008,EN_HAZ_TREATV,Portugal,INCINRT,4849.0
2008,EN_HAZ_TREATV,Portugal,LANDFIL,53208.0
2010,EN_HAZ_TREATV,Portugal,INCINRT_EGY,29420.0
2010,EN_HAZ_TREATV,Portugal,INCINRT,12418.0
2010,EN_HAZ_TREATV,Portugal,RECYCL,240506.0
2010,EN_HAZ_TREATV,Portugal,LANDFIL,87075.0
2010,EN_HAZ_TREATV,Portugal,OTHERWM,0.0
2012,EN_HAZ_TREATV,Portugal,OTHERWM,0.0
2012,EN_HAZ_TREATV,Portugal,INCINRT_EGY,45485.0
2010,EN_HAZ_TREATV,Belgium,INCINRT_EGY,214337.0
2010,EN_HAZ_TREATV,Belgium,LANDFIL,981568.0
2010,EN_HAZ_TREATV,Belgium,RECYCL,58195.0
2012,EN_HAZ_TREATV,Belgium,INCINRT_EGY,114014.0
2012,EN_HAZ_TREATV,Belgium,INCINRT,186829.0
2012,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2012,EN_HAZ_TREATV,Belgium,LANDFIL,739347.0
2012,EN_HAZ_TREATV,Belgium,RECYCL,61337.0
2014,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2014,EN_HAZ_TREATV,Belgium,INCINRT_EGY,134510.0
2014,EN_HAZ_TREATV,Belgium,RECYCL,151901.0
2014,EN_HAZ_TREATV,Belgium,LANDFIL,960148.0
2014,EN_HAZ_TREATV,Belgium,INCINRT,287112.0
2012,EN_HAZ_TREATV,Portugal,INCINRT,14527.0
2012,EN_HAZ_TREATV,Portugal,RECYCL,202734.0
2012,EN_HAZ_TREATV,Portugal,LANDFIL,194056.0
2014,EN_HAZ_TREATV,Portugal,INCINRT_EGY,24143.0
2014,EN_HAZ_TREATV,Portugal,INCINRT,16379.0
2014,EN_HAZ_TREATV,Portugal,RECYCL,190958.0
2014,EN_HAZ_TREATV,Portugal,OTHERWM,0.0
2014,EN_HAZ_TREATV,Portugal,LANDFIL,209651.0
2016,EN_HAZ_TREATV,Portugal,RECYCL,72518.0
2016,EN_HAZ_TREATV,Portugal,LANDFIL,248366.0
2016,EN_HAZ_TREATV,Portugal,INCINRT_EGY,29049.0
2016,EN_HAZ_TREATV,Portugal,OTHERWM,0.0
2016,EN_HAZ_TREATV,Portugal,INCINRT,17464.0
2016,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2016,EN_HAZ_TREATV,Belgium,INCINRT,258006.0
2016,EN_HAZ_TREATV,Belgium,LANDFIL,1219738.0
2016,EN_HAZ_TREATV,Belgium,RECYCL,112277.0
2016,EN_HAZ_TREATV,Belgium,INCINRT_EGY,160745.0
2018,EN_HAZ_TREATV,Belgium,RECYCL,253467.0
2018,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2018,EN_HAZ_TREATV,Belgium,INCINRT_EGY,142024.0
2018,EN_HAZ_TREATV,Belgium,LANDFIL,1538654.0
2018,EN_HAZ_TREATV,Belgium,INCINRT,357688.0
2020,EN_HAZ_TREATV,Belgium,INCINRT_EGY,175783.0
2020,EN_HAZ_TREATV,Belgium,INCINRT,141517.0
2020,EN_HAZ_TREATV,Belgium,RECYCL,332170.0
2020,EN_HAZ_TREATV,Belgium,OTHERWM,0.0
2020,EN_HAZ_TREATV,Belgium,LANDFIL,1266537.0
