Year,SeriesCode,Страна ,Age,Freq,Location,Sex,Type of speed,Value
2007,IT_NET_BBND,Chile,,,,,2MT10MBPS,0.21418
2015,IT_NET_BBND,Hungary,,,,,10MBPS,23.72624
2015,IT_NET_BBND,Hungary,,,,,2MT10MBPS,3.07135
2015,IT_NET_BBND,Hungary,,,,,256KT2MBPS,0.82052
2015,IT_NET_BBND,Hungary,,,,,ANYS,27.6181
2016,IT_NET_BBND,Hungary,,,,,ANYS,28.67543
2016,IT_NET_BBND,Hungary,,,,,10MBPS,25.4608
2016,IT_NET_BBND,Hungary,,,,,2MT10MBPS,2.52653
2016,IT_NET_BBND,Hungary,,,,,256KT2MBPS,0.68809
2017,IT_NET_BBND,Hungary,,,,,ANYS,30.20332
2021,IT_NET_BBND,Albania,,,,,256KT2MBPS,0.04148
2002,IT_NET_BBND,Azerbaijan,,,,,ANYS,0.01194
2005,IT_NET_BBND,Azerbaijan,,,,,ANYS,0.02523
2006,IT_NET_BBND,Azerbaijan,,,,,ANYS,0.04513
2007,IT_NET_BBND,Azerbaijan,,,,,ANYS,0.16444
2008,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,0.03333
2008,IT_NET_BBND,Azerbaijan,,,,,10MBPS,0.13334
2008,IT_NET_BBND,Azerbaijan,,,,,ANYS,0.66669
2008,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,0.62002
2008,IT_NET_BBND,Chile,,,,,ANYS,8.56574
2008,IT_NET_BBND,Chile,,,,,2MT10MBPS,1.86718
2008,IT_NET_BBND,Chile,,,,,10MBPS,0.00325
2009,IT_NET_BBND,Chile,,,,,ANYS,9.82969
2009,IT_NET_BBND,Chile,,,,,10MBPS,0.0357
2009,IT_NET_BBND,Chile,,,,,2MT10MBPS,2.23256
2009,IT_NET_BBND,Chile,,,,,256KT2MBPS,7.56144
2010,IT_NET_BBND,Chile,,,,,ANYS,10.52304
2010,IT_NET_BBND,Chile,,,,,2MT10MBPS,4.13272
2017,IT_NET_BBND,Hungary,,,,,10MBPS,27.55451
2017,IT_NET_BBND,Hungary,,,,,2MT10MBPS,2.07291
2017,IT_NET_BBND,Hungary,,,,,256KT2MBPS,0.57589
2018,IT_NET_BBND,Hungary,,,,,10MBPS,29.38694
2018,IT_NET_BBND,Hungary,,,,,256KT2MBPS,0.43635
2018,IT_NET_BBND,Hungary,,,,,2MT10MBPS,1.67668
2018,IT_NET_BBND,Hungary,,,,,ANYS,31.49996
2019,IT_NET_BBND,Hungary,,,,,256KT2MBPS,0.35305
2019,IT_NET_BBND,Hungary,,,,,ANYS,32.64179
2009,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,0.05483
2009,IT_NET_BBND,Azerbaijan,,,,,ANYS,1.09654
2009,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,1.01978
2009,IT_NET_BBND,Azerbaijan,,,,,10MBPS,0.02193
2010,IT_NET_BBND,Azerbaijan,,,,,ANYS,5.14544
2010,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,0.25696
2010,IT_NET_BBND,Azerbaijan,,,,,10MBPS,0.14143
2010,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,4.58147
2011,IT_NET_BBND,Azerbaijan,,,,,ANYS,10.40568
2010,IT_NET_BBND,Chile,,,,,256KT2MBPS,5.60175
2010,IT_NET_BBND,Chile,,,,,10MBPS,0.78857
2011,IT_NET_BBND,Chile,,,,,2MT10MBPS,5.83769
2011,IT_NET_BBND,Chile,,,,,ANYS,11.71127
2011,IT_NET_BBND,Chile,,,,,10MBPS,1.55859
2011,IT_NET_BBND,Chile,,,,,256KT2MBPS,4.23826
2012,IT_NET_BBND,Chile,,,,,10MBPS,2.47542
2012,IT_NET_BBND,Chile,,,,,256KT2MBPS,3.48862
2012,IT_NET_BBND,Chile,,,,,2MT10MBPS,6.45777
2012,IT_NET_BBND,Chile,,,,,ANYS,12.49198
2013,IT_NET_BBND,Chile,,,,,2MT10MBPS,6.60927
2013,IT_NET_BBND,Chile,,,,,10MBPS,3.06373
2013,IT_NET_BBND,Chile,,,,,256KT2MBPS,3.36336
2013,IT_NET_BBND,Chile,,,,,ANYS,13.10782
2014,IT_NET_BBND,Chile,,,,,2MT10MBPS,8.23002
2014,IT_NET_BBND,Chile,,,,,ANYS,14.07645
2014,IT_NET_BBND,Chile,,,,,256KT2MBPS,1.16757
2014,IT_NET_BBND,Chile,,,,,10MBPS,4.67886
2019,IT_NET_BBND,Hungary,,,,,2MT10MBPS,1.24205
2019,IT_NET_BBND,Hungary,,,,,10MBPS,31.04669
2020,IT_NET_BBND,Hungary,,,,,10MBPS,31.86792
2020,IT_NET_BBND,Hungary,,,,,256KT2MBPS,0.33892
2020,IT_NET_BBND,Hungary,,,,,ANYS,33.48837
2020,IT_NET_BBND,Hungary,,,,,2MT10MBPS,1.28154
2021,IT_NET_BBND,Hungary,,,,,10MBPS,32.52508
2021,IT_NET_BBND,Hungary,,,,,2MT10MBPS,1.10225
2021,IT_NET_BBND,Hungary,,,,,256KT2MBPS,0.24769
2011,IT_NET_BBND,Azerbaijan,,,,,10MBPS,0.30295
2011,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,1.07398
2011,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,9.29017
2012,IT_NET_BBND,Azerbaijan,,,,,10MBPS,0.42419
2012,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,1.76415
2012,IT_NET_BBND,Azerbaijan,,,,,ANYS,14.4387
2012,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,11.31147
2013,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,5.2424
2013,IT_NET_BBND,Azerbaijan,,,,,10MBPS,1.02187
2015,IT_NET_BBND,Chile,,,,,ANYS,15.2178
2015,IT_NET_BBND,Chile,,,,,256KT2MBPS,0.84787
2015,IT_NET_BBND,Chile,,,,,10MBPS,7.02439
2015,IT_NET_BBND,Chile,,,,,2MT10MBPS,7.34553
2016,IT_NET_BBND,Chile,,,,,ANYS,16.06171
2016,IT_NET_BBND,Chile,,,,,256KT2MBPS,0.68803
2016,IT_NET_BBND,Chile,,,,,2MT10MBPS,5.84631
2016,IT_NET_BBND,Chile,,,,,10MBPS,9.52737
2017,IT_NET_BBND,Chile,,,,,ANYS,16.67191
2013,IT_NET_BBND,Azerbaijan,,,,,ANYS,17.80832
2013,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,10.41223
2014,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,7.17286
2014,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,10.84463
2014,IT_NET_BBND,Azerbaijan,,,,,10MBPS,1.46612
2014,IT_NET_BBND,Azerbaijan,,,,,ANYS,19.48361
2015,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,10.30274
2015,IT_NET_BBND,Azerbaijan,,,,,10MBPS,1.55986
2015,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,7.39486
2021,IT_NET_BBND,Hungary,,,,,ANYS,34.83224
2000,IT_NET_BBND,Iceland,,,,,ANYS,0.83777
2001,IT_NET_BBND,Iceland,,,,,ANYS,3.65449
2002,IT_NET_BBND,Iceland,,,,,ANYS,8.433
2003,IT_NET_BBND,Iceland,,,,,ANYS,14.34467
2004,IT_NET_BBND,Iceland,,,,,ANYS,19.07374
2005,IT_NET_BBND,Iceland,,,,,ANYS,26.26587
2006,IT_NET_BBND,Iceland,,,,,ANYS,28.85454
2007,IT_NET_BBND,Iceland,,,,,ANYS,32.07473
2015,IT_NET_BBND,Azerbaijan,,,,,ANYS,19.25746
2016,IT_NET_BBND,Azerbaijan,,,,,10MBPS,1.44637
2016,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,6.87024
2016,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,9.76296
2016,IT_NET_BBND,Azerbaijan,,,,,ANYS,18.07956
2017,IT_NET_BBND,Azerbaijan,,,,,10MBPS,1.45567
2017,IT_NET_BBND,Azerbaijan,,,,,2MT10MBPS,7.32702
2017,IT_NET_BBND,Azerbaijan,,,,,ANYS,17.92386
2017,IT_NET_BBND,Azerbaijan,,,,,256KT2MBPS,9.14117
2017,IT_NET_BBND,Chile,,,,,256KT2MBPS,0.31611
2017,IT_NET_BBND,Chile,,,,,10MBPS,11.96213
2017,IT_NET_BBND,Chile,,,,,2MT10MBPS,4.39367
2018,IT_NET_BBND,Chile,,,,,ANYS,17.38308
2018,IT_NET_BBND,Chile,,,,,10MBPS,14.0179
2018,IT_NET_BBND,Chile,,,,,2MT10MBPS,3.21678
2018,IT_NET_BBND,Chile,,,,,256KT2MBPS,0.1484
2019,IT_NET_BBND,Chile,,,,,256KT2MBPS,0.10469
2019,IT_NET_BBND,Chile,,,,,2MT10MBPS,2.70347
2019,IT_NET_BBND,Chile,,,,,10MBPS,15.20529
2019,IT_NET_BBND,Chile,,,,,ANYS,18.01345
2020,IT_NET_BBND,Chile,,,,,ANYS,19.50137
2020,IT_NET_BBND,Chile,,,,,256KT2MBPS,0.07848
2020,IT_NET_BBND,Chile,,,,,2MT10MBPS,1.95273
2020,IT_NET_BBND,Chile,,,,,10MBPS,17.47016
2021,IT_NET_BBND,Chile,,,,,2MT10MBPS,1.32902
2021,IT_NET_BBND,Chile,,,,,10MBPS,20.57715
2021,IT_NET_BBND,Chile,,,,,ANYS,21.97243
2008,IT_NET_BBND,Iceland,,,,,2MT10MBPS,17.55284
2008,IT_NET_BBND,Iceland,,,,,256KT2MBPS,8.83024
2008,IT_NET_BBND,Iceland,,,,,10MBPS,4.70201
2008,IT_NET_BBND,Iceland,,,,,ANYS,33.36859
2009,IT_NET_BBND,Iceland,,,,,ANYS,33.58595
