Year,SeriesCode,Страна ,Education level,Location,Quantile,Value
2009,SE_AGP_CPRA,Albania,UPPSEC,URBAN,_T,1.00711
2009,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,0.90918
2009,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,Q4,0.98892
2009,SE_AGP_CPRA,Albania,LOWSEC,URBAN,Q3,1.01104
2009,SE_AGP_CPRA,Albania,PRIMAR,RURAL,_T,1.00404
2009,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,Q3,1.00155
2009,SE_AGP_CPRA,Albania,LOWSEC,RURAL,Q2,0.72212
2002,SE_AGP_CPRA,Costa Rica,LOWSEC,URBAN,_T,1.0785
2002,SE_AGP_CPRA,Costa Rica,LOWSEC,ALLAREA,_T,1.1623
2002,SE_AGP_CPRA,Costa Rica,UPPSEC,RURAL,_T,1.2032
2002,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.0452
2002,SE_AGP_CPRA,Costa Rica,UPPSEC,URBAN,_T,1.093
2002,SE_AGP_CPRA,Costa Rica,PRIMAR,URBAN,_T,1.0201
2003,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.0382
2003,SE_AGP_CPRA,Costa Rica,UPPSEC,RURAL,_T,1.3632
2003,SE_AGP_CPRA,Costa Rica,LOWSEC,ALLAREA,_T,1.1846
2000,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,0.96429
2000,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.0
2000,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.0
2001,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.0
2001,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.0
2001,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,0.9677
2002,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,0.97216
2002,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.0
2002,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.0
2009,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q5,0.98018
2009,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,Q1,0.69309
2009,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,Q1,0.9969
2009,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,Q2,0.9125
2009,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,Q2,0.98347
2009,SE_AGP_CPRA,Albania,UPPSEC,RURAL,Q1,0.69724
2010,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,0.93376
2010,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01247
2010,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.00716
2011,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.00817
2011,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01246
2011,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,0.9549
2012,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,0.97755
2012,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01245
2012,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.00817
2013,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.00919
2013,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01244
2003,SE_AGP_CPRA,Costa Rica,LOWSEC,URBAN,_T,1.0987
2003,SE_AGP_CPRA,Costa Rica,LOWSEC,RURAL,_T,1.3565
2003,SE_AGP_CPRA,Costa Rica,PRIMAR,URBAN,_T,1.0324
2003,SE_AGP_CPRA,Costa Rica,UPPSEC,URBAN,_T,1.1307
2003,SE_AGP_CPRA,Costa Rica,PRIMAR,RURAL,_T,1.0437
2003,SE_AGP_CPRA,Costa Rica,UPPSEC,ALLAREA,_T,1.1717
2004,SE_AGP_CPRA,Costa Rica,UPPSEC,RURAL,_T,1.2496
2004,SE_AGP_CPRA,Costa Rica,PRIMAR,ALLAREA,_T,1.0384
2004,SE_AGP_CPRA,Costa Rica,UPPSEC,URBAN,_T,1.1371
2013,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,1.00289
2014,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01242
2014,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.01021
2014,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,1.02195
2015,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.01021
2015,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01344
2015,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,1.03801
2016,SE_AGP_CPRA,Albania,UPPSEC,ALLAREA,_T,1.04551
2016,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,_T,1.01343
2003,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.0
2003,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.0
2003,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,0.97658
2004,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,0.98345
2004,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.0
2004,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.0
2005,SE_AGP_CPRA,Austria,PRIMAR,ALLAREA,_T,1.0
2005,SE_AGP_CPRA,Austria,LOWSEC,ALLAREA,_T,1.0
2005,SE_AGP_CPRA,Austria,UPPSEC,ALLAREA,_T,0.9881
2016,SE_AGP_CPRA,Albania,PRIMAR,ALLAREA,_T,1.01124
2017,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q2,0.99709
2017,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q3,1.05831
2017,SE_AGP_CPRA,Albania,UPPSEC,RURAL,Q5,0.0
2017,SE_AGP_CPRA,Albania,LOWSEC,RURAL,_T,0.99103
2017,SE_AGP_CPRA,Albania,LOWSEC,ALLAREA,Q4,1.00704
2017,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q2,1.22043
2017,SE_AGP_CPRA,Albania,UPPSEC,URBAN,Q3,1.0883
2004,SE_AGP_CPRA,Costa Rica,PRIMAR,URBAN,_T,1.0029
2004,SE_AGP_CPRA,Costa Rica,UPPSEC,ALLAREA,_T,1.1689
2004,SE_AGP_CPRA,Costa Rica,PRIMAR,RURAL,_T,1.0784
2004,SE_AGP_CPRA,Costa Rica,LOWSEC,RURAL,_T,1.1318
2004,SE_AGP_CPRA,Costa Rica,LOWSEC,URBAN,_T,1.1688
2004,SE_AGP_CPRA,Costa Rica,LOWSEC,ALLAREA,_T,1.17
