Year,SeriesCode,Country,Counterpart,Value
2019,SI_RMT_COST_BC,United Arab Emirates,LK,2.46643
2019,SI_RMT_COST_BC,United Arab Emirates,IN,2.34708
2019,SI_RMT_COST_BC,United Arab Emirates,PK,3.34718
2019,SI_RMT_COST_BC,United Arab Emirates,YE,5.51619
2019,SI_RMT_COST_BC,United Arab Emirates,BD,1.96191
2019,SI_RMT_COST_BC,United Arab Emirates,SD,9.24827
2019,SI_RMT_COST_BC,United Arab Emirates,EG,3.34383
2019,SI_RMT_COST_BC,United Arab Emirates,PH,2.86656
2019,SI_RMT_COST_BC,United Arab Emirates,NP,3.96642
2019,SI_RMT_COST_BC,United Arab Emirates,ID,4.41335
2019,SI_RMT_COST_BC,United Arab Emirates,SS,8.14877
2019,SI_RMT_COST_BC,United Arab Emirates,JO,3.80867
2020,SI_RMT_COST_BC,United Arab Emirates,NP,3.88392
2020,SI_RMT_COST_BC,United Arab Emirates,YE,6.7039
2020,SI_RMT_COST_BC,United Arab Emirates,PK,4.12537
2020,SI_RMT_COST_BC,United Arab Emirates,IN,2.96686
2020,SI_RMT_COST_BC,United Arab Emirates,LK,2.37421
2020,SI_RMT_COST_BC,United Arab Emirates,JO,6.26559
2020,SI_RMT_COST_BC,United Arab Emirates,SS,9.18663
2020,SI_RMT_COST_BC,United Arab Emirates,BD,2.33507
2020,SI_RMT_COST_BC,United Arab Emirates,SD,10.0971
2020,SI_RMT_COST_BC,United Arab Emirates,ID,5.23047
2020,SI_RMT_COST_BC,United Arab Emirates,PH,3.07401
2020,SI_RMT_COST_BC,United Arab Emirates,EG,3.95522
2021,SI_RMT_COST_BC,United Arab Emirates,YE,5.66667
2021,SI_RMT_COST_BC,United Arab Emirates,PK,2.98588
2021,SI_RMT_COST_BC,United Arab Emirates,BD,5.41
2021,SI_RMT_COST_BC,United Arab Emirates,SS,3.32333
2021,SI_RMT_COST_BC,United Arab Emirates,ID,7.15875
2021,SI_RMT_COST_BC,United Arab Emirates,SD,5.8675
2021,SI_RMT_COST_BC,United Arab Emirates,PH,2.88211
2021,SI_RMT_COST_BC,United Arab Emirates,NP,3.09111
2021,SI_RMT_COST_BC,United Arab Emirates,EG,5.31267
2021,SI_RMT_COST_BC,United Arab Emirates,IN,3.50286
2021,SI_RMT_COST_BC,United Arab Emirates,LK,2.28647
2021,SI_RMT_COST_BC,United Arab Emirates,JO,5.04667
2016,SI_RMT_COST_BC,Türkiye,BG,10.37941
2017,SI_RMT_COST_BC,Türkiye,BG,10.40887
2018,SI_RMT_COST_BC,Türkiye,BG,13.09107
2019,SI_RMT_COST_BC,Türkiye,BG,13.60294
2020,SI_RMT_COST_BC,Türkiye,BG,11.11484
2021,SI_RMT_COST_BC,Türkiye,BG,22.44455
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,AL,8.57443
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,VN,8.31491
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SL,7.48717
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,GH,6.07414
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LK,5.12637
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,GM,12.46131
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PH,6.99734
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BD,4.55477
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZA,7.07212
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,IN,4.18821
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,TZ,11.64004
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,AF,9.5771
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,RO,9.39808
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ER,8.80033
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,JM,8.07002
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ET,9.42892
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZW,8.03637
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PK,4.12417
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BG,10.00002
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PL,5.31171
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,NP,5.99368
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,TH,9.86149
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,CN,6.61364
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,KE,6.44315
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SO,7.83798
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LT,6.74309
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BR,6.57066
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZM,9.05203
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,NG,8.01291
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,UG,8.81468
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,RW,13.04338
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LB,14.83535
2016,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SS,11.03166
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,CN,8.85495
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,NP,6.12398
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,GH,6.01555
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LB,14.82614
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SO,7.46448
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZW,7.99592
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,TZ,9.47947
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BG,9.35523
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BD,4.48675
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ZA,8.45322
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,TH,9.90314
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LK,5.0389
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SL,8.30958
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,IN,4.02775
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,PL,5.69212
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,RW,10.05452
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,VN,9.74191
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,BR,4.21538
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,KE,5.21103
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,NG,4.84922
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,JM,9.05192
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,AF,10.34954
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,RO,7.04173
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,ET,8.79886
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,GM,9.71662
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,SS,10.9998
2017,SI_RMT_COST_BC,United Kingdom of Great Britain and Northern Ireland,LT,6.90961
