Year,SeriesCode,Country,Sex,Value
2009,IC_GEN_MGTN_19ICLS,Greece,Female,29.8
2010,IC_GEN_MGTN_19ICLS,Greece,Female,29.85
2011,IC_GEN_MGTN_19ICLS,Greece,Female,22.08
2012,IC_GEN_MGTN_19ICLS,Greece,Female,22.17
2013,IC_GEN_MGTN_19ICLS,Greece,Female,25.66
2014,IC_GEN_MGTN_19ICLS,Greece,Female,27.75
2015,IC_GEN_MGTN_19ICLS,Greece,Female,24.76
2016,IC_GEN_MGTN_19ICLS,Greece,Female,24.7
2017,IC_GEN_MGTN_19ICLS,Greece,Female,29.88
2018,IC_GEN_MGTN_19ICLS,Greece,Female,30.4
2019,IC_GEN_MGTN_19ICLS,Greece,Female,30.54
2020,IC_GEN_MGTN_19ICLS,Greece,Female,28.44
2021,IC_GEN_MGTN_19ICLS,Greece,Female,29.44
2000,IC_GEN_MGTN_19ICLS,Hungary,Female,34.19
2001,IC_GEN_MGTN_19ICLS,Hungary,Female,37.65
2002,IC_GEN_MGTN_19ICLS,Hungary,Female,37.86
2003,IC_GEN_MGTN_19ICLS,Hungary,Female,37.19
2004,IC_GEN_MGTN_19ICLS,Hungary,Female,36.65
2005,IC_GEN_MGTN_19ICLS,Hungary,Female,39.4
2006,IC_GEN_MGTN_19ICLS,Hungary,Female,40.94
2007,IC_GEN_MGTN_19ICLS,Hungary,Female,39.04
2008,IC_GEN_MGTN_19ICLS,Hungary,Female,40.78
2009,IC_GEN_MGTN_19ICLS,Hungary,Female,39.9
2010,IC_GEN_MGTN_19ICLS,Hungary,Female,39.96
2011,IC_GEN_MGTN_19ICLS,Hungary,Female,38.22
2012,IC_GEN_MGTN_19ICLS,Hungary,Female,36.26
2013,IC_GEN_MGTN_19ICLS,Hungary,Female,38.26
2014,IC_GEN_MGTN_19ICLS,Hungary,Female,37.59
2015,IC_GEN_MGTN_19ICLS,Hungary,Female,39.06
2016,IC_GEN_MGTN_19ICLS,Hungary,Female,37.72
2017,IC_GEN_MGTN_19ICLS,Hungary,Female,37.64
2018,IC_GEN_MGTN_19ICLS,Hungary,Female,37.05
2019,IC_GEN_MGTN_19ICLS,Hungary,Female,35.9
2020,IC_GEN_MGTN_19ICLS,Hungary,Female,36.78
2021,IC_GEN_MGTN_19ICLS,Hungary,Female,36.02
2000,IC_GEN_MGTN_19ICLS,Iceland,Female,30.41
2001,IC_GEN_MGTN_19ICLS,Iceland,Female,30.18
2002,IC_GEN_MGTN_19ICLS,Iceland,Female,32.26
2003,IC_GEN_MGTN_19ICLS,Iceland,Female,40.0
2004,IC_GEN_MGTN_19ICLS,Iceland,Female,38.12
2005,IC_GEN_MGTN_19ICLS,Iceland,Female,30.04
2006,IC_GEN_MGTN_19ICLS,Iceland,Female,33.97
2007,IC_GEN_MGTN_19ICLS,Iceland,Female,33.05
2008,IC_GEN_MGTN_19ICLS,Iceland,Female,36.96
2009,IC_GEN_MGTN_19ICLS,Iceland,Female,38.35
2010,IC_GEN_MGTN_19ICLS,Iceland,Female,37.14
2011,IC_GEN_MGTN_19ICLS,Iceland,Female,39.09
2012,IC_GEN_MGTN_19ICLS,Iceland,Female,38.2
2013,IC_GEN_MGTN_19ICLS,Iceland,Female,37.83
2014,IC_GEN_MGTN_19ICLS,Iceland,Female,38.24
2015,IC_GEN_MGTN_19ICLS,Iceland,Female,39.51
2016,IC_GEN_MGTN_19ICLS,Iceland,Female,34.76
2017,IC_GEN_MGTN_19ICLS,Iceland,Female,32.96
2018,IC_GEN_MGTN_19ICLS,Iceland,Female,43.05
2019,IC_GEN_MGTN_19ICLS,Iceland,Female,44.01
2020,IC_GEN_MGTN_19ICLS,Iceland,Female,38.62
2021,IC_GEN_MGTN_19ICLS,Iceland,Female,37.34
2000,IC_GEN_MGTN_19ICLS,Ireland,Female,35.23
2001,IC_GEN_MGTN_19ICLS,Ireland,Female,39.89
2002,IC_GEN_MGTN_19ICLS,Ireland,Female,38.66
2003,IC_GEN_MGTN_19ICLS,Ireland,Female,40.8
2004,IC_GEN_MGTN_19ICLS,Ireland,Female,39.72
2005,IC_GEN_MGTN_19ICLS,Ireland,Female,42.76
2006,IC_GEN_MGTN_19ICLS,Ireland,Female,41.79
2007,IC_GEN_MGTN_19ICLS,Ireland,Female,40.26
2008,IC_GEN_MGTN_19ICLS,Ireland,Female,42.22
2009,IC_GEN_MGTN_19ICLS,Ireland,Female,40.97
