Year,SeriesCode,Country,Activity,Level of requirement,Value
2020,EN_SCP_FRMN,Austria,ISIC4_B,TOTAL,2
2021,EN_SCP_FRMN,Austria,ISIC4_L,TOTAL,3
2021,EN_SCP_FRMN,Austria,ISIC4_H,TOTAL,2
2021,EN_SCP_FRMN,Austria,ISIC4_F,TOTAL,2
2021,EN_SCP_FRMN,Austria,ISIC4_C,TOTAL,16
2021,EN_SCP_FRMN,Austria,ISIC4_J,TOTAL,1
2021,EN_SCP_FRMN,Austria,ISIC4_I,TOTAL,1
2021,EN_SCP_FRMN,Austria,ISIC4_B,TOTAL,2
2021,EN_SCP_FRMN,Austria,ISIC4_G,TOTAL,34
2021,EN_SCP_FRMN,Austria,ISIC4_K,TOTAL,5
2021,EN_SCP_FRMN,Austria,TOTAL,TOTAL,34
2016,EN_SCP_FRMN,Belgium,ISIC4_J,TOTAL,1
2016,EN_SCP_FRMN,Belgium,ISIC4_G,TOTAL,15
2016,EN_SCP_FRMN,Belgium,ISIC4_H,TOTAL,2
2016,EN_SCP_FRMN,Belgium,ISIC4_K,TOTAL,1
2016,EN_SCP_FRMN,Belgium,ISIC4_C,TOTAL,7
2016,EN_SCP_FRMN,Belgium,TOTAL,TOTAL,15
2016,EN_SCP_FRMN,Belgium,ISIC4_L,TOTAL,2
2017,EN_SCP_FRMN,Belgium,ISIC4_K,TOTAL,1
2017,EN_SCP_FRMN,Belgium,ISIC4_J,TOTAL,1
2017,EN_SCP_FRMN,Belgium,TOTAL,TOTAL,17
2017,EN_SCP_FRMN,Belgium,ISIC4_H,TOTAL,2
2017,EN_SCP_FRMN,Belgium,ISIC4_F,TOTAL,1
2017,EN_SCP_FRMN,Belgium,ISIC4_G,TOTAL,17
2017,EN_SCP_FRMN,Belgium,ISIC4_L,TOTAL,2
2017,EN_SCP_FRMN,Belgium,ISIC4_C,TOTAL,8
2018,EN_SCP_FRMN,Belgium,ISIC4_J,TOTAL,2
2018,EN_SCP_FRMN,Belgium,ISIC4_C,TOTAL,14
2018,EN_SCP_FRMN,Belgium,TOTAL,TOTAL,32
2018,EN_SCP_FRMN,Belgium,ISIC4_F,TOTAL,2
2018,EN_SCP_FRMN,Belgium,ISIC4_K,TOTAL,2
2018,EN_SCP_FRMN,Belgium,ISIC4_H,TOTAL,2
2018,EN_SCP_FRMN,Belgium,ISIC4_G,TOTAL,32
2018,EN_SCP_FRMN,Belgium,ISIC4_L,TOTAL,6
2018,EN_SCP_FRMN,Belgium,ISIC4_M,TOTAL,2
2019,EN_SCP_FRMN,Belgium,ISIC4_K,TOTAL,3
2019,EN_SCP_FRMN,Belgium,ISIC4_H,TOTAL,2
2019,EN_SCP_FRMN,Belgium,ISIC4_G,TOTAL,36
2019,EN_SCP_FRMN,Belgium,ISIC4_F,TOTAL,2
2019,EN_SCP_FRMN,Belgium,ISIC4_L,TOTAL,7
2019,EN_SCP_FRMN,Belgium,ISIC4_J,TOTAL,3
2019,EN_SCP_FRMN,Belgium,ISIC4_M,TOTAL,2
2019,EN_SCP_FRMN,Belgium,TOTAL,TOTAL,36
2019,EN_SCP_FRMN,Belgium,ISIC4_C,TOTAL,15
2020,EN_SCP_FRMN,Belgium,ISIC4_M,TOTAL,2
2020,EN_SCP_FRMN,Belgium,ISIC4_H,TOTAL,2
2020,EN_SCP_FRMN,Belgium,ISIC4_J,TOTAL,4
2020,EN_SCP_FRMN,Belgium,ISIC4_L,TOTAL,8
2020,EN_SCP_FRMN,Belgium,TOTAL,TOTAL,38
2020,EN_SCP_FRMN,Belgium,ISIC4_K,TOTAL,3
2020,EN_SCP_FRMN,Belgium,ISIC4_F,TOTAL,2
2020,EN_SCP_FRMN,Belgium,ISIC4_G,TOTAL,38
2020,EN_SCP_FRMN,Belgium,ISIC4_C,TOTAL,15
2021,EN_SCP_FRMN,Belgium,ISIC4_C,TOTAL,17
2021,EN_SCP_FRMN,Belgium,ISIC4_L,TOTAL,8
2021,EN_SCP_FRMN,Belgium,ISIC4_F,TOTAL,2
2021,EN_SCP_FRMN,Belgium,ISIC4_H,TOTAL,2
2021,EN_SCP_FRMN,Belgium,ISIC4_G,TOTAL,41
2021,EN_SCP_FRMN,Belgium,ISIC4_J,TOTAL,4
2021,EN_SCP_FRMN,Belgium,TOTAL,TOTAL,41
2021,EN_SCP_FRMN,Belgium,ISIC4_M,TOTAL,2
2021,EN_SCP_FRMN,Belgium,ISIC4_K,TOTAL,3
2016,EN_SCP_FRMN,Canada,ISIC4_K,TOTAL,13
2016,EN_SCP_FRMN,Canada,ISIC4_M,TOTAL,4
2016,EN_SCP_FRMN,Canada,ISIC4_B,TOTAL,36
2016,EN_SCP_FRMN,Canada,ISIC4_H,TOTAL,3
2016,EN_SCP_FRMN,Canada,ISIC4_P,TOTAL,1
2016,EN_SCP_FRMN,Canada,ISIC4_L,TOTAL,1
2016,EN_SCP_FRMN,Canada,ISIC4_C,TOTAL,11
2016,EN_SCP_FRMN,Canada,ISIC4_J,TOTAL,6
2016,EN_SCP_FRMN,Canada,ISIC4_G,TOTAL,88
2016,EN_SCP_FRMN,Canada,TOTAL,TOTAL,88
2017,EN_SCP_FRMN,Canada,ISIC4_G,TOTAL,99
2017,EN_SCP_FRMN,Canada,ISIC4_K,TOTAL,13
2017,EN_SCP_FRMN,Canada,ISIC4_N,TOTAL,1
2017,EN_SCP_FRMN,Canada,ISIC4_M,TOTAL,3
2017,EN_SCP_FRMN,Canada,ISIC4_C,TOTAL,12
2017,EN_SCP_FRMN,Canada,ISIC4_J,TOTAL,6
2017,EN_SCP_FRMN,Canada,ISIC4_H,TOTAL,5
2017,EN_SCP_FRMN,Canada,TOTAL,TOTAL,99
2017,EN_SCP_FRMN,Canada,ISIC4_P,TOTAL,1
2017,EN_SCP_FRMN,Canada,ISIC4_B,TOTAL,43
2017,EN_SCP_FRMN,Canada,ISIC4_L,TOTAL,1
2018,EN_SCP_FRMN,Canada,TOTAL,TOTAL,119
2018,EN_SCP_FRMN,Canada,ISIC4_F,TOTAL,1
2018,EN_SCP_FRMN,Canada,ISIC4_L,TOTAL,6
2018,EN_SCP_FRMN,Canada,ISIC4_G,TOTAL,119
2018,EN_SCP_FRMN,Canada,ISIC4_K,TOTAL,15
2018,EN_SCP_FRMN,Canada,ISIC4_J,TOTAL,5
2018,EN_SCP_FRMN,Canada,ISIC4_N,TOTAL,1
2018,EN_SCP_FRMN,Canada,ISIC4_P,TOTAL,1
2018,EN_SCP_FRMN,Canada,ISIC4_H,TOTAL,4
2018,EN_SCP_FRMN,Canada,ISIC4_B,TOTAL,47
2018,EN_SCP_FRMN,Canada,ISIC4_C,TOTAL,16
2018,EN_SCP_FRMN,Canada,ISIC4_M,TOTAL,4
2019,EN_SCP_FRMN,Canada,ISIC4_N,TOTAL,1
2019,EN_SCP_FRMN,Canada,ISIC4_C,TOTAL,25
2019,EN_SCP_FRMN,Canada,ISIC4_K,TOTAL,16
2019,EN_SCP_FRMN,Canada,ISIC4_G,TOTAL,159
2019,EN_SCP_FRMN,Canada,ISIC4_M,TOTAL,4
2019,EN_SCP_FRMN,Canada,TOTAL,TOTAL,159
2019,EN_SCP_FRMN,Canada,ISIC4_L,TOTAL,15
2019,EN_SCP_FRMN,Canada,ISIC4_F,TOTAL,1
